URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/411840-99999_fig2.png,411840,99999,0,HpAc,100950,19.4,55.5,34,[,35,1899,3488,],3,20,30,39,52,[,192,137,],34,362,[,0,26,0,91,43,16,186,],240,210,25.613,55.939,31,1987,2020,AE,,RAS AL KHAIMAH INTL,,411840-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411940-99999_fig2.png,411940,99999,0,HpAc,100814,19.4,55.6,34,[,13,1937,3767,],6,22,29,36,52,[,176,117,],34,364,[,0,12,0,94,48,20,190,],255,216,25.255,55.364,10,1987,2020,AE,,DUBAI INTL,,411940-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411945-99999_fig2.png,411945,99999,0,HpAc,101106,19.4,55.5,10,[,27,1905,2902,],6,22,32,40,54,[,180,124,],10,362,[,0,27,0,92,39,27,177,],240,193,24.886,55.172,19,2011,2020,AE,,AL MAKTOUM INTL AIRPORT,,411945-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411960-99999_fig2.png,411960,99999,0,HpAc,100502,19.4,55.7,34,[,46,1755,3213,],5,19,30,38,53,[,180,123,],34,364,[,0,31,0,94,43,21,176,],236,197,25.329,55.517,34,1987,2020,AE,,SHARJAH INTL,,411960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411980-99999_fig2.png,411980,99999,1,__Ac,100591,19.4,55.7,27,[,3,1667,4446,],6,15,20,24,47,[,151,100,],29,312,[,0,3,0,71,49,17,172,],230,202,25.112,56.324,46,1996,2020,AE,,FUJAIRAH INTL,,411980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412160-99999_fig2.png,412160,99999,1,HpAc,100847,19.4,55.6,28,[,10,1530,3409,],5,16,22,29,41,[,149,104,],31,293,[,0,10,0,76,38,9,160,],202,182,24.428,54.458,5,1987,2020,AE,,BATEEN,,412160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412161-99999_fig2.png,412161,99999,3,HpAc,101143,19.4,55.5,7,[,44,700,1704,],0,9,13,16,24,[,71,36,],2,177,[,0,21,0,41,26,6,83,],112,96,24.074,52.464,15,2013,2013,AE,,AL HAMRA AUX,,412161-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412162-99999_fig2.png,412162,99999,0,HpAc,101047,19.4,55.5,11,[,29,2015,2966,],8,22,32,40,54,[,178,124,],2,365,[,0,24,0,84,45,27,185,],254,197,24.248,54.548,23,2012,2013,AE,,AL DHAFRA,,412162-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412163-99999_fig2.png,412163,99999,2,HpAc,101025,19.4,55.5,8,[,23,1260,3107,],5,14,18,21,35,[,118,75,],3,239,[,0,17,0,54,30,3,135,],162,154,24.51,52.335,25,2012,2013,AE,,DELMA,,412163-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412164-99999_fig2.png,412164,99999,0,HpAc,100722,19.4,55.6,11,[,42,1925,2559,],9,23,32,41,56,[,175,119,],2,363,[,0,31,0,85,44,33,169,],244,184,25.027,55.366,50,2012,2013,AE,,DUBAI MINHAD AB,,412164-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412165-99999_fig2.png,412165,99999,3,__Ac,101241,19.4,55.4,5,[,0,389,1340,],2,4,6,7,10,[,42,26,],4,76,[,0,1,0,12,13,1,49,],59,61,25.217,54.234,7,2013,2013,AE,,SIR ABU NAIR,,412165-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412170-99999_fig2.png,412170,99999,0,HpAc,100569,19.4,55.7,34,[,25,1884,3568,],5,20,29,38,53,[,184,128,],34,364,[,0,21,0,91,44,20,188,],248,210,24.433,54.651,27,1987,2020,AE,,ABU DHABI INTL,,412170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412180-99999_fig2.png,412180,99999,0,HpAc,97932,19.4,56.7,26,[,46,2227,1759,],12,29,38,45,55,[,163,95,],26,362,[,0,29,0,82,35,67,149,],250,155,24.262,55.609,265,1995,2020,AE,,AL AIN INTL,,412180-99999_fig2.png
