URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/603510-99999_fig2.png,603510,99999,3,HpAc,101190,19.4,55.4,34,[,854,194,770,],2,12,22,30,44,[,20,2,],31,357,[,0,180,0,73,78,1,25,],81,98,36.795,5.874,11,1987,2020,AG,,FERHAT ABBAS AIRPORT,,603510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603530-99999_fig2.png,603530,99999,3,HpAc,101253,19.4,55.4,14,[,198,122,520,],0,5,9,10,15,[,10,1,],15,132,[,0,55,0,29,28,0,19,],41,46,36.817,5.883,6,2002,2017,AG,,JIJEL-PORT,,603530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603550-99999_fig2.png,603550,99999,3,HpAc,101290,19.4,55.4,34,[,702,183,818,],4,15,22,27,44,[,12,1,],27,355,[,0,171,0,79,82,1,23,],83,101,36.933,6.95,7,1987,2020,AG,,SKIKDA,,603550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603600-99999_fig2.png,603600,99999,3,HpAc,101260,19.4,55.4,34,[,952,151,695,],1,11,22,31,45,[,24,3,],34,363,[,0,192,0,73,79,1,18,],75,92,36.822,7.809,5,1987,2020,AG,,ANNABA,,603600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603670-99999_fig2.png,603670,99999,3,HpAc,101169,19.4,55.4,17,[,209,78,353,],0,4,7,9,14,[,8,1,],15,108,[,0,53,0,19,25,0,10,],28,35,36.9,8.45,13,2004,2012,AG,,EL-KALA,,603670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603690-99999_fig2.png,603690,99999,3,HpEv,101181,19.4,55.4,19,[,210,85,342,],4,7,9,11,18,[,4,0,],25,151,[,0,66,0,41,33,2,10,],37,38,36.767,3.1,12,2002,2020,AG,,ALGER-PORT,,603690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603710-99999_fig2.png,603710,99999,3,HpVt,99277,19.4,56.1,4,[,153,23,115,],2,3,4,6,9,[,1,0,],5,70,[,0,36,0,16,17,0,1,],14,17,36.783,3.033,172,2013,2013,AG,,OUED KORICHE,,603710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603720-99999_fig2.png,603720,99999,3,HpVt,100671,19.4,55.6,3,[,239,13,134,],0,2,3,5,9,[,1,0,],5,71,[,0,42,0,9,18,0,2,],5,19,36.783,3,55,2013,2013,AG,,BOUZAREAH,,603720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603730-99999_fig2.png,603730,99999,3,HpVt,100486,19.4,55.7,4,[,200,20,157,],0,2,3,5,9,[,3,1,],5,71,[,0,39,0,11,19,0,2,],12,20,36.7,2.883,70,2013,2013,AG,,MEHELMA,,603730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603740-99999_fig2.png,603740,99999,3,HpVt,100929,19.4,55.5,7,[,174,36,305,],0,2,4,6,10,[,6,1,],13,84,[,0,41,0,14,21,0,8,],19,28,36.783,2.883,33,2011,2013,AG,,AIN BENAIN,,603740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603760-99999_fig2.png,603760,99999,3,HpVt,100630,19.4,55.6,7,[,173,25,312,],0,1,3,4,8,[,5,1,],15,72,[,0,36,0,10,18,0,8,],14,25,36.783,3.25,58,2011,2013,AG,,BORDJ-EL-BAHRI,,603760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603790-99999_fig2.png,603790,99999,3,HpVt,99392,19.4,56.1,2,[,158,23,0,],0,0,0,0,0,[,0,0,],4,66,[,0,41,0,7,18,0,0,],18,25,36.767,3.333,162,2013,2013,AG,,REGHAIA,,603790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603800-99999_fig2.png,603800,99999,3,HpVt,101120,19.4,55.5,4,[,211,21,103,],1,2,4,6,9,[,3,0,],5,71,[,0,39,0,14,17,0,1,],13,16,36.617,2.917,17,2013,2013,AG,,TESSALA EL MERDJA,,603800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603810-99999_fig2.png,603810,99999,3,HpVt,100714,19.4,55.6,4,[,179,23,122,],1,3,4,6,8,[,1,0,],5,71,[,0,36,0,15,18,0,2,],15,18,36.717,3.15,51,2013,2013,AG,,EL HARRACH,,603810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603900-99999_fig2.png,603900,99999,3,HpAc,101030,19.4,55.5,34,[,1003,183,615,],2,13,23,32,46,[,26,2,],34,364,[,0,192,0,77,72,2,21,],81,85,36.691,3.215,25,1987,2020,AG,,HOUARI BOUMEDIENE,,603900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603930-99999_fig2.png,603930,99999,3,HpVt,99558,19.4,56,2,[,738,138,556,],9,15,22,29,43,[,4,0,],1,343,[,0,163,0,82,89,1,8,],79,92,36.7,3.2,148,2013,2013,AG,,DAR EL BEIDA VILLE,,603930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603940-99999_fig2.png,603940,99999,3,HpVt,99839,19.4,55.9,4,[,189,25,118,],1,3,4,6,9,[,3,0,],5,71,[,0,37,0,15,17,0,2,],15,18,36.683,3.1,124,2013,2013,AG,,BARAKI,,603940-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/603950-99999_fig2.png,603950,99999,3,HpAc,99500,19.4,56.1,22,[,888,359,495,],6,15,26,34,44,[,43,5,],21,326,[,2,162,0,65,45,7,46,],94,74,36.7,4.133,153,2002,2020,AG,,TIZI-OUZOU,,603950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/604010-99999_fig2.png,604010,99999,3,HpAc,101277,19.4,55.4,5,[,223,230,612,],2,9,13,15,24,[,19,1,],4,169,[,0,63,0,46,22,0,37,],55,56,36.75,5.1,4,2003,2008,AG,,BEJAIA-PORT,,604010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/604020-99999_fig2.png,604020,99999,3,HpAc,101250,19.4,55.4,34,[,928,138,782,],3,12,21,28,44,[,15,1,],33,359,[,0,187,0,70,86,1,15,],72,98,36.712,5.07,6,1987,2020,AG,,SOUMMAM,,604020-99999_fig2.png
