URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/375750-99999_fig2.png,375750,99999,4,GsAc,96288,19.4,57.3,33,[,2074,175,83,],15,22,31,37,43,[,4,0,],25,334,[,40,167,0,65,36,12,14,],60,22,41.667,46.65,490,1987,2020,AJ,,ZAKATALA,,375750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/376610-99999_fig2.png,376610,99999,3,GsVt,94356,19.4,58.1,16,[,567,40,25,],3,6,8,9,11,[,1,0,],20,82,[,15,37,0,15,9,2,3,],15,6,41.217,47.167,641,2011,2016,AJ,,SHAKI,,376610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/376750-99999_fig2.png,376750,99999,3,GsVt,95333,19.4,57.7,19,[,1245,37,24,],5,7,12,16,18,[,1,0,],27,161,[,44,66,0,32,14,3,2,],18,7,41.367,48.517,552,2009,2020,AJ,,GUBA,,376750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377290-99999_fig2.png,377290,99999,3,Gs__,85414,19.4,62.3,16,[,564,0,9,],0,0,3,6,6,[,0,0,],18,57,[,22,26,0,7,2,0,0,],0,2,40.683,45.817,1476,2014,2016,AJ,,GADABAY,,377290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377350-99999_fig2.png,377350,99999,3,GsAc,98072,19.4,56.6,34,[,2030,211,180,],10,21,30,38,45,[,9,0,],23,347,[,38,170,0,64,42,9,23,],73,40,40.717,46.417,311,1987,2020,AJ,,GANDJA,,377350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377400-99999_fig2.png,377400,99999,3,GsVt,93934,19.4,58.3,19,[,737,47,31,],4,6,9,11,13,[,1,0,],14,96,[,23,41,0,15,10,2,6,],17,9,40.983,47.867,682,2011,2016,AJ,,QABALA,,377400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377470-99999_fig2.png,377470,99999,3,HpAc,101145,19.4,55.5,10,[,269,117,99,],2,4,6,7,9,[,6,0,],28,63,[,4,28,0,9,6,3,14,],22,16,40.617,47.15,15,2016,2020,AJ,,EVLAKH AIRPORT,,377470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377490-99999_fig2.png,377490,99999,3,GsAc,100717,19.4,55.6,19,[,852,164,120,],6,10,14,18,21,[,11,1,],27,160,[,17,72,0,26,18,8,18,],43,25,40.65,47.75,95,2009,2020,AJ,,GOYCHAY,,377490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377560-99999_fig2.png,377560,99999,3,GsVt,93088,19.4,58.6,18,[,1217,46,2,],5,1,9,12,13,[,0,0,],28,155,[,43,65,0,28,14,6,0,],20,1,40.533,48.933,755,2009,2020,AJ,,MARAZA,,377560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378320-99999_fig2.png,378320,99999,3,HpVt,100968,19.4,55.5,14,[,329,52,94,],0,3,5,6,7,[,7,0,],18,57,[,7,26,0,7,8,0,8,],16,15,40.367,47.117,69,2014,2016,AJ,,BARDA,,378320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378355-99999_fig2.png,378355,99999,4,GsAc,97330,19.4,56.9,8,[,2391,189,72,],10,18,32,39,45,[,6,0,],8,361,[,69,157,0,61,47,14,13,],73,22,40.817,47.733,338,2013,2020,AJ,,GABALA,,378355-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378510-99999_fig2.png,378510,99999,3,GsAc,101262,19.4,55.4,11,[,1942,294,536,],11,22,29,36,45,[,23,2,],4,334,[,33,164,0,45,47,2,43,],89,79,40.417,49.783,85,2011,2016,AJ,,BAKU (KHURDALAN),,378510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378630-99999_fig2.png,378630,99999,4,GsAc,97423,19.4,56.9,16,[,2136,272,81,],15,23,33,39,46,[,4,0,],16,363,[,43,172,0,64,41,25,18,],84,26,40.733,46.4,330,2005,2020,AJ,,GYANDZHA,,378630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378635-99999_fig2.png,378635,99999,4,GsEv,91272,19.4,59.4,14,[,2624,344,1,],11,NaN,44,50,51,[,2,0,],14,363,[,63,156,0,54,38,50,1,],89,1,39.189,45.458,873,2007,2020,AJ,,NAKHCHIVAN,,378635-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378640-99999_fig2.png,378640,99999,3,GsAc,101290,19.4,55.4,28,[,1561,190,587,],3,12,19,25,35,[,19,2,],25,291,[,26,147,0,40,48,1,29,],66,70,40.468,50.047,3,2001,2020,AJ,,HEYDAR ALIYEV,,378640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379050-99999_fig2.png,379050,99999,3,HpVt,100880,19.4,55.6,16,[,342,50,56,],1,3,5,6,8,[,4,0,],18,57,[,6,27,0,8,7,1,7,],15,10,39.767,47.75,71,2014,2016,AJ,,BEYLAGAN AERODROME,,379050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379070-99999_fig2.png,379070,99999,4,GsEv,96463,19.4,57.2,7,[,2366,132,43,],10,24,31,38,43,[,2,0,],5,358,[,64,163,0,72,42,10,7,],59,15,39.6,47.15,439,1987,1991,AJ,,FIZULY,,379070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379230-99999_fig2.png,379230,99999,3,HpVt,101964,19.4,55.2,14,[,321,53,113,],0,3,5,6,7,[,5,0,],18,57,[,5,28,0,6,9,0,8,],16,16,39.967,49.4,-16,2014,2016,AJ,,ALAT,,379230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379250-99999_fig2.png,379250,99999,3,HpVt,101995,19.4,55.2,16,[,385,57,202,],0,3,5,7,8,[,8,1,],19,70,[,6,35,0,7,13,0,9,],20,21,39.4,49.25,-24,2011,2016,AJ,,NEFTCHALA,,379250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379850-99999_fig2.png,379850,99999,3,GsAc,101932,19.4,55.2,34,[,1868,169,611,],1,13,23,30,41,[,15,0,],27,354,[,36,174,0,53,68,1,23,],72,83,38.733,48.833,-12,1987,2020,AJ,,LANKARAN,,379850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379890-99999_fig2.png,379890,99999,3,HpVt,102170,19.4,55.1,16,[,406,51,229,],1,3,5,7,10,[,5,0,],20,82,[,5,43,0,9,17,0,8,],20,24,38.45,48.883,-22,2011,2016,AJ,,ASTARA,,379890-99999_fig2.png
