URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/136000-99999_fig2.png,136000,99999,3,HpAc,101155,19.4,55.5,15,[,648,89,157,],1,6,11,15,18,[,10,1,],32,142,[,5,79,0,25,19,2,12,],30,25,42.1,19.533,43,1987,2020,AL,,SHKODRA,,136000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136010-99999_fig2.png,136010,99999,3,HpAc,100262,19.4,55.8,9,[,1240,301,576,],10,17,28,36,44,[,35,1,],9,359,[,2,191,0,69,50,2,45,],91,79,41.333,19.8,97,2012,2020,AL,,TIRANA-LA PRAKA,,136010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136100-99999_fig2.png,136100,99999,3,GsVt,97550,19.4,56.8,14,[,618,30,12,],4,2,9,12,13,[,2,0,],27,105,[,11,58,0,23,10,1,2,],14,5,42.033,20.417,354,2013,2020,AL,,KUKES,,136100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136110-99999_fig2.png,136110,99999,3,HpAc,100798,19.4,55.6,15,[,470,93,258,],1,6,10,13,16,[,10,1,],32,142,[,0,76,0,30,22,0,14,],32,34,41.3,19.45,12,1987,2020,AL,,DURRES,,136110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136150-99999_fig2.png,136150,99999,3,HpAc,100870,19.4,55.6,29,[,1316,123,449,],4,8,20,29,36,[,22,1,],28,307,[,8,175,0,53,53,1,17,],55,59,41.415,19.721,38,1987,2020,AL,,TIRANA RINAS,,136150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136190-99999_fig2.png,136190,99999,3,Gs__,94190,19.4,58.2,15,[,734,12,2,],3,0,8,11,11,[,0,0,],27,105,[,18,56,0,24,6,1,0,],8,1,41.683,20.433,653,2013,2020,AL,,PESHKOPI,,136190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136220-99999_fig2.png,136220,99999,3,HpAc,101442,19.4,55.3,15,[,436,102,157,],2,6,11,14,18,[,5,0,],32,143,[,0,74,0,32,22,1,14,],35,28,40.467,19.483,5,1987,2020,AL,,VLORE,,136220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136230-99999_fig2.png,136230,99999,3,HpEv,101586,19.4,55.3,10,[,395,73,52,],2,5,8,10,12,[,3,0,],33,97,[,1,55,0,18,13,4,6,],23,12,40.5,19.283,240,2012,2020,AL,,SAZAN ISLAND,,136230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136240-99999_fig2.png,136240,99999,3,HpEv,101146,19.4,55.5,15,[,557,73,88,],2,6,11,15,17,[,8,0,],31,136,[,2,77,0,28,19,1,9,],29,20,40.8,19.9,33,1987,2020,AL,,QYTETI STALIN,,136240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136250-99999_fig2.png,136250,99999,3,HpVt,99353,19.4,56.1,15,[,545,59,34,],2,3,10,12,14,[,5,0,],28,113,[,5,64,0,21,14,4,5,],22,8,40.083,20.15,194,2012,2020,AL,,GJIROKASTRA,,136250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/136290-99999_fig2.png,136290,99999,3,Gs__,91225,19.4,59.5,15,[,890,9,3,],2,1,6,9,10,[,0,0,],29,122,[,22,69,0,26,5,0,0,],6,1,40.6,20.767,899,1987,2020,AL,,KORCA,,136290-99999_fig2.png
