URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/353946-99999_fig2.png,353946,99999,4,GsEv,91356,19.4,59.4,16,[,2788,258,7,],15,28,41,47,48,[,3,0,],16,363,[,69,158,0,59,37,37,3,],78,3,40.147,44.396,865,2005,2020,AM,,ZVARTNOTS,,353946-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/376090-99999_fig2.png,376090,99999,4,Gs__,80015,19.4,65.2,7,[,2428,0,0,],0,0,0,0,0,[,0,0,],13,160,[,83,74,0,3,0,0,0,],0,0,41.029,43.876,2015,2015,2020,AM,,ASHOTSK,,376090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/376820-99999_fig2.png,376820,99999,5,Gs__,81362,19.4,64.4,26,[,3832,0,3,],1,0,8,18,20,[,0,0,],22,293,[,133,138,0,20,1,0,0,],0,1,40.95,43.783,1866,2003,2020,AM,,AMASIA,,376820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/376860-99999_fig2.png,376860,99999,6,Gs__,84614,19.4,62.7,4,[,4147,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],2,349,[,137,165,0,47,0,0,0,],0,0,40.783,43.833,1512,1987,1988,AM,,GUMRI,,376860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/376990-99999_fig2.png,376990,99999,3,Gs__,81145,19.4,64.6,12,[,983,0,0,],0,0,0,0,0,[,0,0,],28,76,[,18,53,0,5,0,0,0,],0,0,40.533,44.383,1892,2015,2020,AM,,APARAN,,376990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377040-99999_fig2.png,377040,99999,3,Gs__,86343,19.4,61.8,12,[,739,0,1,],1,1,3,5,5,[,0,0,],28,75,[,19,45,0,10,1,0,0,],0,0,40.817,44.436,1376,2015,2020,AM,,VANADZOR,,377040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377090-99999_fig2.png,377090,99999,5,Gs__,80762,19.4,64.8,11,[,3292,0,0,],0,0,0,0,0,[,0,0,],7,254,[,81,165,0,8,0,0,0,],0,0,40.55,44.933,1937,1987,1991,AM,,SEVAN,,377090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377110-99999_fig2.png,377110,99999,3,Gs__,93285,19.4,58.6,12,[,550,5,15,],2,3,5,8,9,[,1,0,],28,75,[,14,40,0,16,5,0,0,],4,4,40.867,45.15,733,2015,2020,AM,,IDJEVAN,,377110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377170-99999_fig2.png,377170,99999,6,Gs__,80892,19.4,64.7,19,[,4226,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],18,359,[,103,229,0,27,0,0,0,],0,0,40.567,45,1917,2003,2020,AM,,SEVAN OZERO,,377170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377850-99999_fig2.png,377850,99999,3,GsAc,89251,19.4,60.4,7,[,1246,73,222,],2,7,12,17,20,[,15,2,],13,160,[,38,67,0,24,20,0,11,],27,27,40.283,44.35,1090,2015,2020,AM,,ASHTARAK,,377850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377870-99999_fig2.png,377870,99999,3,HpVt,91841,19.4,59.2,11,[,595,27,1,],4,1,6,7,7,[,1,0,],28,75,[,6,42,0,15,8,3,1,],12,1,40.133,43.903,861,2015,2020,AM,,ARMAVIR,,377870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377880-99999_fig2.png,377880,99999,3,GsEv,91839,19.4,59.2,11,[,1457,139,10,],13,8,21,24,25,[,4,0,],17,191,[,39,81,0,29,21,17,4,],42,4,40.15,44.383,854,2003,2020,AM,,YEREVAN ZVARTNOTS,,377880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/377920-99999_fig2.png,377920,99999,3,Gs__,82449,19.4,63.8,7,[,773,0,0,],0,0,0,0,0,[,0,0,],33,63,[,24,33,0,6,0,0,0,],0,0,40.483,44.75,1761,2015,2020,AM,,HRAZDAN,,377920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378010-99999_fig2.png,378010,99999,3,Gs__,80471,19.4,65,7,[,873,0,0,],0,0,0,0,0,[,0,0,],32,66,[,27,38,0,1,0,0,0,],0,0,40.35,45.133,1962,2015,2020,AM,,GAVAR,,378010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378710-99999_fig2.png,378710,99999,3,GsVt,92117,19.4,59.1,7,[,1258,58,18,],6,8,15,20,21,[,6,0,],13,163,[,36,69,0,32,18,3,4,],25,5,39.95,44.55,833,2015,2020,AM,,ARTASHAT,,378710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/378970-99999_fig2.png,378970,99999,3,Gs__,84241,19.4,62.9,12,[,824,0,0,],0,0,0,0,0,[,0,0,],28,75,[,22,47,0,6,0,0,0,],0,0,39.533,46.017,1581,2015,2020,AM,,SISIAN,,378970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/379590-99999_fig2.png,379590,99999,3,Gs__,93738,19.4,58.4,12,[,542,8,41,],0,3,5,8,9,[,3,0,],28,75,[,18,32,0,15,9,0,0,],7,8,39.2,46.433,706,2015,2020,AM,,KAPAN,,379590-99999_fig2.png
