URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/661040-99999_fig2.png,661040,99999,3,__Ac,101084,19.4,55.5,10,[,0,224,1370,],0,2,4,5,7,[,36,0,],27,78,[,0,0,0,0,30,0,48,],71,78,-5.597,12.188,20,2015,2020,AO,,CABINDA,,661040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/661180-99999_fig2.png,661180,99999,3,__Vt,94698,19.4,58,5,[,0,18,0,],0,0,0,0,0,[,0,0,],22,14,[,0,0,0,0,14,0,0,],9,14,-6.27,14.247,567,2015,2015,AO,,MBANZA CONGO,,661180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/661361-99999_fig2.png,661361,99999,3,__Ac,100535,19.4,55.7,8,[,7,151,606,],0,7,9,11,15,[,5,0,],10,129,[,0,6,0,44,59,0,20,],66,77,-15.267,12.15,66,2015,2020,AO,,NAMIBE,,661361-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/661363-99999_fig2.png,661363,99999,3,__Vt,101193,19.4,55.4,1,[,0,286,0,],0,0,0,0,0,[,0,0,],7,120,[,0,0,0,0,120,0,0,],88,120,-11.167,13.85,11,2016,2019,AO,,SUMBE,,661363-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/661600-99999_fig2.png,661600,99999,3,__Ac,100438,19.4,55.7,17,[,0,289,1778,],0,6,8,11,15,[,46,1,],25,157,[,0,0,0,19,83,0,55,],106,138,-8.858,13.231,74,2002,2020,AO,,LUANDA 4 DE FEVEREIRO,,661600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/662150-99999_fig2.png,662150,99999,3,__Vt,87941,19.4,61,7,[,0,8,100,],0,0,1,1,1,[,0,0,],28,12,[,0,0,0,1,11,0,0,],6,10,-9.525,16.312,1179,2020,2020,AO,,MALANJE,,662150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/662260-99999_fig2.png,662260,99999,3,__Ac,88872,19.4,60.5,9,[,0,117,153,],0,3,4,5,6,[,0,0,],29,46,[,0,0,0,2,26,6,12,],41,30,-9.689,20.432,1092,2015,2020,AO,,SAURIMO,,662260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/662850-99999_fig2.png,662850,99999,3,__Vt,86347,19.4,61.8,8,[,0,55,117,],0,2,3,4,6,[,0,0,],23,66,[,0,1,0,19,40,1,4,],31,37,-11.768,19.898,1329,2014,2020,AO,,LUENA,,662850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/663100-99999_fig2.png,663100,99999,3,__Ac,100893,19.4,55.5,9,[,0,113,505,],0,2,3,4,5,[,8,0,],21,50,[,0,0,0,10,20,0,20,],34,40,-12.609,13.404,36,2015,2017,AO,,BENGUELA,,663100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/663180-99999_fig2.png,663180,99999,3,__Vt,82472,19.4,63.8,10,[,2,15,1,],1,2,5,6,6,[,0,0,],28,74,[,0,2,1,57,13,1,0,],14,1,-12.809,15.761,1703,2015,2020,AO,,HUAMBO,,663180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/663250-99999_fig2.png,663250,99999,3,__Vt,82376,19.4,63.9,6,[,2,16,42,],0,1,3,4,5,[,0,0,],32,43,[,0,2,1,24,15,1,0,],11,10,-12.405,16.947,1712,2015,2020,AO,,KUITO,,663250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/663900-99999_fig2.png,663900,99999,3,__Vt,81882,19.4,64.2,3,[,1,29,0,],0,0,0,0,0,[,0,0,],19,46,[,0,1,0,12,32,0,0,],17,23,-14.925,13.575,1761,2018,2020,AO,,LUBANGO,,663900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/664600-99999_fig2.png,664600,99999,3,__Ev,88931,19.4,60.5,7,[,0,196,53,],1,3,4,5,6,[,0,0,],29,47,[,0,0,0,5,13,21,7,],40,12,-17.043,15.684,1087,2015,2020,AO,,NGIVA,,664600-99999_fig2.png
