URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/855790-99999_fig2.png,855790,99999,3,Hp__,95563,19.4,57.6,9,[,164,12,0,],0,0,0,0,0,[,0,0,],12,59,[,0,34,0,19,5,1,0,],7,0,-33.493,-70.698,524,1987,2005,AR,,LOS CERRILLOS,,855790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870070-99999_fig2.png,870070,99999,3,Hp__,67098,19.4,74.3,25,[,1676,0,0,],0,0,0,0,0,[,0,0,],19,225,[,0,225,0,0,0,0,0,],0,0,-22.151,-65.578,3479,2006,2020,AR,,LA QUIACA,,870070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870160-99999_fig2.png,870160,99999,3,HpAc,96972,19.4,57,29,[,251,352,1367,],1,9,18,26,39,[,72,11,],21,277,[,0,74,0,64,83,4,53,],111,125,-23.153,-64.329,356,1987,2020,AR,,ORAN,,870160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870220-99999_fig2.png,870220,99999,2,HpAc,96069,19.4,57.4,34,[,335,429,1306,],1,12,23,33,48,[,74,6,],26,358,[,0,94,0,89,110,9,55,],138,147,-22.62,-63.794,449,1995,2020,AR,,GENERAL ENRIQUE MOSCONI TARTA,,870220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870221-99999_fig2.png,870221,99999,3,HpAc,100737,19.4,55.6,7,[,141,90,269,],0,4,7,9,13,[,11,2,],7,95,[,0,33,0,24,26,0,12,],30,34,-29.21,-59.68,49,2005,2006,AR,,RECONQUISTA,,870221-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870460-99999_fig2.png,870460,99999,3,HpEv,91140,19.4,59.5,33,[,678,137,356,],3,13,23,34,44,[,14,0,],33,361,[,1,145,0,114,87,5,9,],71,73,-24.393,-65.098,920,1987,2020,AR,,JUJUY,,870460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870470-99999_fig2.png,870470,99999,3,HpVt,87894,19.4,61,32,[,968,17,60,],4,11,22,32,38,[,1,0,],34,340,[,2,183,0,126,28,1,0,],15,22,-24.856,-65.486,1246,1987,2020,AR,,SALTA,,870470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870780-99999_fig2.png,870780,99999,3,HpAc,99711,19.4,56,23,[,180,464,1181,],1,9,16,22,30,[,72,17,],28,223,[,0,47,0,48,60,6,62,],114,109,-24.721,-60.549,130,1988,2020,AR,,ALFEREZ ARMANDO RODRIGUEZ,,870780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/870970-99999_fig2.png,870970,99999,2,HpAc,98229,19.4,56.5,33,[,314,232,1638,],0,9,19,31,42,[,77,2,],31,363,[,0,83,0,91,158,0,30,],124,182,-25.737,-54.473,279,1989,2020,AR,,CATARATAS DEL IGUAZU,,870970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871210-99999_fig2.png,871210,99999,2,HpAc,96132,19.4,57.4,34,[,620,252,896,],1,12,23,33,46,[,47,4,],34,364,[,0,141,0,91,96,4,32,],98,115,-26.841,-65.105,456,1987,2020,AR,,TENIENTE BENJAMIN MATIENZO,,871210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871290-99999_fig2.png,871290,99999,2,HpAc,98961,19.4,56.3,34,[,588,429,949,],1,14,25,36,48,[,71,14,],34,363,[,0,128,0,88,83,9,54,],127,114,-27.766,-64.31,200,1987,2020,AR,,SANTIAGO DEL ESTERO,,871290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871480-99999_fig2.png,871480,99999,2,HpAc,100297,19.4,55.8,19,[,475,455,1657,],1,12,22,33,46,[,98,25,],18,360,[,0,99,0,86,106,2,66,],143,158,-26.733,-60.483,91,2003,2020,AR,,PRESIDENCIA ROQUE SAENZ PENA,,871480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871490-99999_fig2.png,871490,99999,2,HpAc,100052,19.4,55.9,11,[,428,440,1786,],0,12,22,32,44,[,95,18,],10,361,[,0,98,0,80,114,2,67,],146,171,-26.757,-60.493,94,1987,1997,AR,,PRESIDENCIA ROQUE SAENZ PENA,,871490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871550-99999_fig2.png,871550,99999,2,HpAc,100688,19.4,55.6,34,[,472,380,1632,],1,11,21,32,44,[,87,15,],34,364,[,0,104,0,86,115,1,58,],135,162,-27.45,-59.056,53,1987,2020,AR,,RESISTENCIA,,871550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871620-99999_fig2.png,871620,99999,2,HpAc,100547,19.4,55.7,33,[,319,515,2110,],0,11,21,31,43,[,111,25,],34,353,[,0,80,0,77,114,1,81,],162,184,-26.213,-58.228,59,1987,2020,AR,,FORMOSA,,871620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871660-99999_fig2.png,871660,99999,2,HpAc,100585,19.4,55.7,32,[,393,415,1656,],0,12,22,31,44,[,79,12,],31,356,[,0,96,0,88,107,2,64,],138,158,-27.446,-58.762,62,1988,2020,AR,,CORRIENTES,,871660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/871780-99999_fig2.png,871780,99999,2,HpAc,99864,19.4,55.9,34,[,333,426,1507,],1,13,23,32,43,[,81,5,],34,364,[,0,85,0,96,117,3,63,],151,162,-27.386,-55.971,131,1987,2020,AR,,POSADAS,,871780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/872170-99999_fig2.png,872170,99999,2,HpAc,96215,19.4,57.3,34,[,659,546,753,],2,18,29,39,49,[,67,11,],34,362,[,0,134,0,82,66,17,63,],137,99,-29.382,-66.796,438,1987,2020,AR,,LA RIOJA,,872170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/872220-99999_fig2.png,872220,99999,2,HpAc,95858,19.4,57.5,34,[,545,595,524,],5,22,32,39,49,[,47,4,],34,358,[,0,120,2,86,63,27,60,],146,85,-28.596,-65.752,464,1987,2020,AR,,CATAMARCA,,872220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/872440-99999_fig2.png,872440,99999,3,HpAc,97526,19.4,56.8,25,[,696,163,480,],0,10,20,29,38,[,27,3,],20,291,[,2,131,0,77,59,2,20,],62,67,-29.9,-63.683,341,1989,2020,AR,,VILLA MARIA DEL RIO,,872440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/872570-99999_fig2.png,872570,99999,3,HpAc,100339,19.4,55.8,34,[,738,226,857,],1,11,22,33,44,[,46,5,],34,363,[,1,147,0,95,88,2,30,],90,103,-29.883,-61.95,88,1987,2020,AR,,CERES,,872570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/872700-99999_fig2.png,872700,99999,2,HpAc,100780,19.4,55.6,34,[,575,287,1253,],0,12,21,31,43,[,58,9,],32,361,[,0,125,0,92,102,1,41,],109,133,-29.183,-59.7,48,1987,2020,AR,,RECONQUISTA AERO,,872700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/872890-99999_fig2.png,872890,99999,2,HpAc,100615,19.4,55.7,34,[,587,258,1021,],1,12,22,32,43,[,50,6,],34,364,[,0,128,0,101,99,1,35,],104,121,-29.689,-57.152,70,1987,2020,AR,,PASO DE LOS LIBRES,,872890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/873110-99999_fig2.png,873110,99999,3,HpAc,94483,19.4,58.1,34,[,1180,342,65,],17,23,36,44,49,[,16,0,],34,364,[,1,174,5,79,53,37,15,],106,18,-31.571,-68.418,597,1987,2020,AR,,SAN JUAN,,873110-99999_fig2.png
