URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/941000-99999_fig2.png,941000,99999,1,__Ac,100756,19.4,55.6,18,[,5,1043,3371,],4,14,23,32,44,[,202,37,],17,348,[,0,4,0,67,93,5,179,],277,234,-14.3,126.633,24,2004,2020,AS,,KALUMBURU,,941000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941020-99999_fig2.png,941020,99999,1,__Ac,100997,19.4,55.5,22,[,0,1223,5244,],1,11,15,19,32,[,185,30,],24,296,[,0,0,0,7,66,2,220,],287,266,-13.75,126.15,8,1994,2020,AS,,TROUGHTON ISLAND,,941020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941030-99999_fig2.png,941030,99999,0,HpVt,101108,19.4,55.5,0,[,8,1541,0,],0,0,0,0,0,[,0,0,],1,334,[,0,167,0,0,167,0,0,],332,333,-14.117,123.533,5,1987,2019,AS,,BROWSE ISLAND AWS,,941030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941050-99999_fig2.png,941050,99999,3,__Ac,100767,19.4,55.6,7,[,0,491,1181,],0,3,5,8,11,[,61,16,],24,132,[,0,0,0,9,28,2,94,],126,115,-12.617,131.05,18,1987,2020,AS,,NOONAMAH AIRSTRIP,,941050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941060-99999_fig2.png,941060,99999,3,__Ac,100899,19.4,55.5,7,[,2,500,1187,],2,6,8,11,16,[,70,21,],18,120,[,0,1,0,21,21,4,73,],97,82,-14.717,134.75,14,2015,2020,AS,,NGUKURR AIRPORT,,941060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941080-99999_fig2.png,941080,99999,0,__Ac,100904,19.4,55.5,4,[,0,1303,6227,],3,14,19,24,39,[,224,11,],3,352,[,0,0,0,7,86,0,259,],342,333,-11.167,132.483,16,2016,2020,AS,,CROKER ISLAND AIRPORT,,941080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941090-99999_fig2.png,941090,99999,1,__Ac,100897,19.4,55.5,5,[,0,951,4784,],3,11,19,27,39,[,205,6,],5,353,[,0,0,0,37,104,0,212,],302,307,-11.55,132.927,12,2015,2020,AS,,MURGANELLA AIRSTRIP,,941090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941100-99999_fig2.png,941100,99999,3,__Ac,100922,19.4,55.5,3,[,0,477,812,],1,3,4,6,9,[,42,9,],15,116,[,0,0,0,5,28,5,78,],113,94,-12.333,133.007,9,2015,2020,AS,,OENPELLI AIRPORT,,941100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941110-99999_fig2.png,941110,99999,0,__Ac,100798,19.4,55.6,4,[,0,1242,5374,],0,15,20,25,41,[,204,9,],2,355,[,0,0,1,17,72,4,261,],306,328,-14.233,129.45,18,1987,1996,AS,,PORT KEATS AWS AUT,,941110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941160-99999_fig2.png,941160,99999,0,__Ac,100950,19.4,55.5,21,[,0,1242,5714,],0,12,19,25,40,[,226,4,],19,358,[,0,0,0,32,87,0,239,],319,310,-12.633,130.367,4,1999,2020,AS,,DUM IN MIRRIE,,941160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941170-99999_fig2.png,941170,99999,3,__Ac,100856,19.4,55.6,19,[,1,680,2491,],1,7,12,17,26,[,118,22,],15,204,[,0,1,0,28,46,4,125,],175,148,-13.733,130.683,16,1992,2004,AS,,MANGO FARM,,941170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941190-99999_fig2.png,941190,99999,2,__Ac,100808,19.4,55.6,25,[,0,795,4046,],1,8,13,19,30,[,168,9,],28,266,[,0,0,0,16,77,0,173,],246,241,-11.4,130.417,19,1993,2020,AS,,PIRLANGIMPI,,941190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/941200-99999_fig2.png,941200,99999,0,__Ac,100638,19.4,55.6,34,[,0,1231,5070,],1,12,20,28,41,[,226,6,],34,364,[,0,0,0,27,91,1,245,],337,304,-12.415,130.877,31,1987,2020,AS,,DARWIN INTL,,941200-99999_fig2.png
