URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/110010-99999_fig2.png,110010,99999,5,Gs__,94505,19.4,58,27,[,3085,7,2,],7,8,22,29,31,[,0,0,],26,310,[,101,167,0,38,4,0,0,],5,1,48.1,13.667,616,1996,2020,AU,,WOLFSEGG,,110010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110080-99999_fig2.png,110080,99999,4,Gs__,94732,19.4,57.9,27,[,2848,4,3,],5,3,18,24,25,[,0,0,],33,279,[,96,147,0,33,3,0,0,],3,1,48.567,14,602,1995,2020,AU,,ROHRBACH,,110080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110100-99999_fig2.png,110100,99999,5,Gs__,97803,19.4,56.7,33,[,3198,10,11,],7,11,26,35,37,[,0,0,],34,354,[,105,187,0,54,8,0,0,],7,5,48.233,14.188,298,1987,2020,AU,,LINZ,,110100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110120-99999_fig2.png,110120,99999,5,GsVt,97187,19.4,57,20,[,3252,8,8,],11,9,28,37,39,[,0,0,],16,359,[,98,200,0,47,13,0,1,],6,11,48.05,14.133,389,1991,2020,AU,,KREMSMUENSTER,,110120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110150-99999_fig2.png,110150,99999,5,Gs__,95217,19.4,57.7,20,[,3405,2,3,],2,0,22,29,30,[,0,0,],20,320,[,118,167,0,33,2,0,0,],2,1,48.5,14.5,548,1995,2013,AU,,FREISTADT,,110150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110162-99999_fig2.png,110162,99999,4,GsEv,98557,19.4,56.4,14,[,2097,128,41,],17,23,30,33,38,[,0,0,],15,312,[,41,168,0,61,25,8,9,],42,13,47.967,16.267,233,2008,2020,AU,,LUGPLATZ VOSLAU,,110162-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110165-99999_fig2.png,110165,99999,4,GsEv,98100,19.4,56.6,16,[,2603,96,51,],11,20,32,37,42,[,1,0,],16,359,[,63,189,0,69,25,4,9,],38,15,47.85,16.25,272,2005,2020,AU,,WIENER NEUSTADT,,110165-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110180-99999_fig2.png,110180,99999,4,Gs__,98663,19.4,56.4,27,[,2413,8,16,],4,8,20,28,30,[,1,0,],31,275,[,80,145,0,43,7,0,0,],6,5,48.1,14.9,271,1997,2020,AU,,AMSTETTEN,,110180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110190-99999_fig2.png,110190,99999,5,Gs__,94665,19.4,58,24,[,3412,4,3,],6,0,23,31,32,[,0,0,],26,328,[,114,175,0,36,3,0,0,],3,1,48.683,15.367,607,1995,2020,AU,,ALLENTSTEIG,,110190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110200-99999_fig2.png,110200,99999,4,Gs__,95834,19.4,57.5,26,[,2891,0,1,],1,0,11,19,19,[,0,0,],33,269,[,95,152,0,21,1,0,0,],0,1,48.617,15.2,506,1995,2020,AU,,STIFT ZWETTL,,110200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110210-99999_fig2.png,110210,99999,5,Gs__,95244,19.4,57.7,34,[,3778,3,3,],5,12,27,36,37,[,0,0,],29,355,[,126,192,0,34,3,0,0,],3,1,48.95,15.033,557,1991,2020,AU,,LITSCHAU,,110210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110220-99999_fig2.png,110220,99999,4,GsVt,97934,19.4,56.7,33,[,2992,22,18,],12,13,28,36,39,[,1,0,],29,343,[,87,185,0,58,11,1,1,],13,6,48.767,15.95,323,1987,2020,AU,,RETZ,,110220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110240-99999_fig2.png,110240,99999,5,Gs__,90676,19.4,59.7,28,[,3757,2,0,],2,0,15,20,20,[,0,0,],26,326,[,117,184,0,23,2,0,0,],2,0,48.333,15.333,959,1996,2020,AU,,JAUERLING,,110240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110250-99999_fig2.png,110250,99999,5,Gs__,95019,19.4,57.8,6,[,3230,9,1,],5,NaN,32,40,41,[,0,0,],5,347,[,96,196,0,48,7,0,0,],7,1,48.7,14.883,471,2015,2020,AU,,WEITRA,,110250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110270-99999_fig2.png,110270,99999,3,Gs__,99281,19.4,56.1,7,[,426,6,3,],2,1,5,6,7,[,0,0,],32,54,[,12,28,0,10,3,0,1,],3,2,48.4,16.2,205,2015,2020,AU,,STOCKERAU,,110270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110280-99999_fig2.png,110280,99999,5,GsVt,98278,19.4,56.5,19,[,3220,18,15,],10,16,28,36,39,[,0,0,],18,360,[,105,184,0,59,10,1,1,],11,5,48.183,15.617,284,1987,2004,AU,,ST. POELTEN,,110280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110300-99999_fig2.png,110300,99999,4,GsVt,99571,19.4,56,33,[,2861,25,31,],7,13,27,35,39,[,2,0,],33,348,[,81,191,0,60,13,0,3,],15,10,48.321,16.112,175,1987,2020,AU,,TULLN,,110300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110320-99999_fig2.png,110320,99999,4,GsVt,99318,19.4,56.1,33,[,2960,19,29,],8,13,26,35,38,[,1,0,],28,344,[,93,179,0,59,12,0,1,],12,10,48.667,16.633,207,1993,2020,AU,,POYSDORF,,110320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110340-99999_fig2.png,110340,99999,4,GsVt,99642,19.4,56,30,[,2567,54,69,],13,19,28,36,40,[,3,0,],27,355,[,61,196,0,70,22,1,5,],26,17,48.2,16.367,171,1991,2020,AU,,WIEN/INNERE STADT,,110340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110350-99999_fig2.png,110350,99999,4,GsVt,99271,19.4,56.2,33,[,2796,25,33,],10,15,27,35,38,[,1,0,],34,351,[,75,197,0,63,14,0,2,],15,10,48.25,16.367,200,1987,2020,AU,,WIEN/HOHE WARTE,,110350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110360-99999_fig2.png,110360,99999,4,GsVt,99153,19.4,56.2,33,[,2918,20,18,],8,13,27,35,39,[,1,0,],34,354,[,78,199,0,63,12,1,1,],13,7,48.11,16.57,183,1987,2020,AU,,SCHWECHAT,,110360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110370-99999_fig2.png,110370,99999,3,GsVt,99902,19.4,55.9,7,[,1280,21,18,],5,8,15,19,21,[,1,0,],10,173,[,32,95,0,34,10,0,2,],12,6,48.2,16.567,153,2015,2020,AU,,GROSSENZERSDORF,,110370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110400-99999_fig2.png,110400,99999,4,GsVt,99378,19.4,56.1,19,[,2820,32,41,],10,16,28,36,40,[,2,0,],19,359,[,74,197,0,68,16,0,3,],17,13,48.133,16.417,199,2002,2020,AU,,WIEN/UNTERLAA,,110400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110510-99999_fig2.png,110510,99999,5,Gs__,97072,19.4,57,25,[,3223,8,8,],8,15,27,37,39,[,0,0,],25,352,[,106,187,0,52,7,0,0,],6,4,48.217,13.033,388,1996,2020,AU,,RANSHOFEN,,110510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110530-99999_fig2.png,110530,99999,5,Gs__,96672,19.4,57.2,19,[,3227,9,11,],7,10,27,36,39,[,0,0,],18,354,[,106,188,0,53,7,0,0,],7,4,48.217,13.483,429,2002,2020,AU,,RIED IM INNKREIS,,110530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110550-99999_fig2.png,110550,99999,5,Gs__,98069,19.4,56.6,26,[,3146,7,11,],6,13,26,36,39,[,1,0,],26,351,[,104,187,0,53,7,0,0,],6,5,48.467,13.433,318,1995,2020,AU,,SCHAERDING,,110550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/110590-99999_fig2.png,110590,99999,3,Gs__,98043,19.4,56.6,7,[,1122,6,4,],3,0,10,14,15,[,0,0,],13,133,[,36,70,0,23,4,0,0,],4,2,48.167,14.067,314,2015,2020,AU,,WELS/SCHLEISSHEIM,,110590-99999_fig2.png
