URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/889630-99999_fig2.png,889630,99999,8,Gs__,98751,19.4,56.3,27,[,7913,0,0,],0,0,0,0,0,[,0,0,],26,344,[,275,69,0,0,0,0,0,],0,0,-63.4,-56.983,24,1987,2020,AY,,BASE ESPERANZA,,889630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890010-99999_fig2.png,890010,99999,8,____,100582,19.4,55.7,0,[,11386,0,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],2,316,[,NaN,316,NaN,0,0,NaN,NaN,],0,0,-70.3,-2.35,62,1987,1988,AY,,SANAE SAF-BASE,,890010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890020-99999_fig2.png,890020,99999,8,Gs__,97945,19.4,56.7,34,[,12293,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],34,358,[,345,13,0,0,0,0,0,],0,0,-70.667,-8.25,50,1987,2020,AY,,NEUMAYER,,890020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890030-99999_fig2.png,890030,99999,8,Gs__,90018,19.4,60,2,[,8972,0,0,],0,0,0,0,0,[,0,0,],4,250,[,65,185,0,0,0,0,0,],0,0,-71.15,-6.683,694,2009,2020,AY,,HALVFARRYGGEN (EP11),,890030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890040-99999_fig2.png,890040,99999,8,Gs__,88238,19.4,60.9,11,[,11930,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],10,340,[,155,185,0,0,0,0,0,],0,0,-71.7,-2.8,817,1999,2020,AY,,S.A.N.A.E. AWS,,890040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890130-99999_fig2.png,890130,99999,8,Gs__,76328,19.4,67.5,10,[,19754,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],7,351,[,147,204,0,0,0,0,0,],0,0,-82.767,-13.05,1968,2009,2020,AY,,BALDRICK AWS,,890130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890140-99999_fig2.png,890140,99999,8,Gs__,92666,19.4,58.8,17,[,11666,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],7,351,[,203,148,0,0,0,0,0,],0,0,-73.05,-13.383,497,2001,2019,AY,,NORDENSKIOLD BASE,,890140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890160-99999_fig2.png,890160,99999,8,____,94275,19.4,58.1,0,[,11502,0,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],4,342,[,NaN,342,NaN,0,0,NaN,NaN,],0,0,-73.117,-13.15,363,2009,2012,AY,,WASA EPS,,890160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890200-99999_fig2.png,890200,99999,8,Gs__,98535,19.4,56.4,6,[,13183,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],5,354,[,352,2,0,0,0,0,0,],0,0,-75.58,-26.17,10,2007,2011,AY,,BRUNT AWS,,890200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/890220-99999_fig2.png,890220,99999,8,Gs__,98373,19.4,56.5,32,[,13172,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],30,352,[,325,27,0,0,0,0,0,],0,0,-75.61,-26.272,30,1987,2020,AY,,HALLEY,,890220-99999_fig2.png
