URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/680240-99999_fig2.png,680240,99999,2,HpAc,89279,19.4,60.4,34,[,175,624,203,],5,15,28,37,47,[,4,0,],23,346,[,0,58,8,91,95,72,22,],176,61,-21.7,21.65,1100,1987,2012,BC,,GHANZI,,680240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680250-99999_fig2.png,680250,99999,2,HpAc,89179,19.4,60.4,3,[,31,592,554,],3,14,24,32,47,[,1,0,],2,343,[,0,20,0,102,136,49,35,],191,117,-18.27,25.633,1064,2005,2006,BC,,PANDAMATENGA,,680250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680260-99999_fig2.png,680260,99999,1,HpAc,89875,19.4,60.1,31,[,48,761,671,],3,15,27,35,48,[,13,0,],15,346,[,0,28,3,90,108,58,59,],212,124,-18.367,21.85,1000,1990,2009,BC,,SHAKAWE,,680260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680290-99999_fig2.png,680290,99999,1,HpAc,89961,19.4,60,34,[,15,721,656,],2,14,26,34,47,[,5,0,],29,352,[,0,14,3,95,139,62,38,],215,128,-17.833,25.162,1002,1988,2020,BC,,KASANE,,680290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680300-99999_fig2.png,680300,99999,2,HpAc,90058,19.4,60,18,[,46,480,599,],1,12,23,32,44,[,16,0,],12,311,[,0,30,1,88,126,36,29,],165,116,-18.533,25.633,1071,2001,2013,BC,,PANDAMATENGA,,680300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680320-99999_fig2.png,680320,99999,1,HpAc,90500,19.4,59.8,30,[,71,704,606,],3,14,26,35,48,[,20,0,],27,357,[,0,38,5,96,114,59,45,],202,112,-19.973,23.431,943,1987,2020,BC,,MAUN,,680320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680380-99999_fig2.png,680380,99999,1,HpAc,91024,19.4,59.6,27,[,48,803,638,],3,15,28,37,50,[,30,0,],14,348,[,0,30,2,101,98,58,59,],208,111,-20.553,26.116,910,1995,2013,BC,,SUA PAN,,680380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680400-99999_fig2.png,680400,99999,2,HpAc,90528,19.4,59.8,28,[,174,427,285,],5,15,26,36,46,[,9,0,],18,347,[,0,71,3,107,105,42,20,],152,74,-21.417,25.6,985,1995,2012,BC,,LETLHAKANE,,680400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680540-99999_fig2.png,680540,99999,2,HpAc,90079,19.4,60,33,[,211,427,267,],4,14,25,35,47,[,6,0,],29,358,[,0,81,3,110,102,44,18,],143,68,-21.16,27.475,1001,1987,2020,BC,,FRANCISTOWN,,680540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680700-99999_fig2.png,680700,99999,2,HpAc,91739,19.4,59.2,19,[,147,540,425,],4,17,28,36,49,[,15,0,],11,327,[,0,63,1,99,85,33,46,],153,90,-22.05,27.817,892,2003,2016,BC,,SELEBI-PHIKWE,,680700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681480-99999_fig2.png,681480,99999,2,HpAc,90386,19.4,59.8,33,[,216,433,178,],4,16,28,37,47,[,6,0,],14,328,[,0,76,3,105,81,44,20,],135,53,-23.083,26.8,1006,1987,2010,BC,,MAHALAPYE,,681480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682260-99999_fig2.png,682260,99999,2,HpAc,88790,19.4,60.6,30,[,141,759,79,],11,20,30,38,46,[,1,0,],11,331,[,0,48,24,80,70,95,13,],178,28,-24.017,21.883,1100,1987,2006,BC,,TSHANE,,682260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682340-99999_fig2.png,682340,99999,2,HpEv,88426,19.4,60.8,30,[,259,349,78,],5,17,26,33,41,[,1,0,],22,319,[,0,82,8,97,82,41,8,],125,32,-24.602,24.691,1189,1989,2012,BC,,JWANENG,,682340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682400-99999_fig2.png,682400,99999,2,HpEv,90105,19.4,60,31,[,420,310,103,],7,16,27,36,44,[,3,0,],30,357,[,0,114,6,104,90,37,7,],121,40,-24.555,25.918,1006,1987,2020,BC,,SIR SERETSE KHAMA INTL,,682400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682440-99999_fig2.png,682440,99999,3,HpEv,89875,19.4,60.1,11,[,62,107,47,],1,4,7,9,12,[,2,0,],24,81,[,0,21,1,25,19,9,7,],33,15,-24.667,25.917,1000,1987,1996,BC,,GABORONE,,682440-99999_fig2.png
