URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/064000-99999_fig2.png,64000,99999,4,Gs__,101259,19.4,55.4,34,[,2804,1,3,],5,17,24,34,35,[,0,0,],34,364,[,53,285,0,24,2,0,0,],1,2,51.09,2.653,6,1987,2020,BE,,KOKSIJDE,,064000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064070-99999_fig2.png,64070,99999,4,Gs__,101286,19.4,55.4,34,[,2869,1,3,],5,19,24,33,35,[,0,0,],34,364,[,54,286,0,22,2,0,0,],1,1,51.199,2.862,4,1987,2020,BE,,OOSTENDE,,064070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064080-99999_fig2.png,64080,99999,4,Gs__,101622,19.4,55.3,20,[,2586,1,8,],10,14,22,30,33,[,0,0,],15,354,[,42,277,0,31,4,0,0,],1,3,51.233,2.917,15,1987,2005,BE,,OOSTENDE (PIER),,064080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064140-99999_fig2.png,64140,99999,4,Gs__,101277,19.4,55.4,11,[,2673,5,5,],6,NaN,28,37,39,[,0,0,],11,357,[,55,260,0,38,4,0,0,],4,2,50.9,3.117,25,2009,2020,BE,,BEITEM,,064140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064180-99999_fig2.png,64180,99999,4,Gs__,101377,19.4,55.4,10,[,2519,1,5,],8,18,25,32,36,[,0,0,],10,357,[,41,278,0,36,2,0,0,],1,2,51.35,3.2,9,2010,2020,BE,,ZEEBRUGGE,,064180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064280-99999_fig2.png,64280,99999,4,Gs__,101159,19.4,55.5,32,[,2792,5,6,],9,12,26,34,36,[,0,0,],32,362,[,60,261,0,37,4,0,0,],3,2,50.933,3.667,38,1987,2020,BE,,SEMMERZAKE,,064280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064310-99999_fig2.png,64310,99999,4,Gs__,101438,19.4,55.4,31,[,2552,6,8,],9,14,26,34,37,[,0,0,],30,356,[,50,256,0,45,5,0,0,],4,3,51.183,3.8,8,1987,2018,BE,,GENT/INDUSTRIE-ZONE,,064310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064320-99999_fig2.png,64320,99999,4,Gs__,100629,19.4,55.6,34,[,2802,4,6,],6,20,25,35,37,[,0,0,],32,352,[,65,250,0,34,3,0,0,],3,2,50.576,3.831,59,1987,2020,BE,,CHIEVRES AB,,064320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064324-99999_fig2.png,64324,99999,4,Gs__,98934,19.4,56.3,11,[,2767,9,2,],8,NaN,28,34,37,[,0,0,],5,349,[,73,226,0,44,5,1,0,],6,2,50.633,5.45,201,2005,2009,BE,,LIEGE,,064324-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064325-99999_fig2.png,64325,99999,4,Gs__,100391,19.4,55.7,10,[,2606,11,6,],10,NaN,29,36,39,[,0,0,],10,352,[,54,251,0,40,6,1,0,],6,3,50.5,3.98,78,2011,2020,BE,,CASTEAU/HELI (MET),,064325-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064340-99999_fig2.png,64340,99999,4,Gs__,101395,19.4,55.4,10,[,2651,6,6,],10,NaN,28,37,39,[,0,0,],10,358,[,53,260,0,40,5,0,0,],4,3,50.983,3.817,15,2010,2020,BE,,MELLE,,064340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064390-99999_fig2.png,64390,99999,4,Gs__,101468,19.4,55.3,8,[,2565,11,10,],10,NaN,29,37,40,[,0,0,],7,359,[,48,258,0,46,6,0,1,],6,4,51.083,4.517,11,2013,2020,BE,,SINT KATELIJNE-WAVER,,064390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064470-99999_fig2.png,64470,99999,4,Gs__,100330,19.4,55.8,34,[,2791,7,5,],9,15,27,35,37,[,0,0,],33,363,[,60,257,0,41,5,0,0,],5,3,50.8,4.35,101,1987,2020,BE,,UCCLE,,064470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064490-99999_fig2.png,64490,99999,4,Gs__,99103,19.4,56.2,32,[,2976,7,6,],8,12,27,36,38,[,0,0,],32,364,[,73,249,0,37,5,0,0,],5,3,50.459,4.454,187,1987,2020,BE,,BRUSSELS SOUTH,,064490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064500-99999_fig2.png,64500,99999,4,Gs__,101182,19.4,55.4,34,[,2720,6,9,],9,14,26,35,37,[,0,0,],34,364,[,56,258,0,45,5,0,0,],4,4,51.189,4.46,12,1987,2020,BE,,DEURNE,,064500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064510-99999_fig2.png,64510,99999,4,Gs__,100653,19.4,55.6,34,[,2837,5,7,],7,13,26,35,37,[,0,0,],34,364,[,63,258,0,39,4,0,0,],4,3,50.901,4.484,56,1987,2020,BE,,BRUSSELS NATL,,064510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064520-99999_fig2.png,64520,99999,4,Gs__,101471,19.4,55.3,20,[,2791,3,4,],6,NaN,24,33,36,[,0,0,],7,353,[,66,248,0,35,4,0,0,],2,3,51.333,4.5,23,1988,2005,BE,,BRASSCHAAT (MIL),,064520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/064550-99999_fig2.png,64550,99999,4,Gs__,98753,19.4,56.3,10,[,3007,6,8,],7,NaN,26,35,39,[,0,0,],10,359,[,78,244,0,33,4,0,0,],4,3,50.1,4.6,233,2010,2020,BE,,DOURBES,,064550-99999_fig2.png
