URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/418500-99999_fig2.png,418500,99999,2,HpAc,99706,19.4,56,3,[,92,655,4139,],0,9,16,24,40,[,143,32,],2,329,[,0,46,0,75,63,0,145,],190,204,26.35,88.6,55,2017,2020,BG,,TETULIA  PANCHAGOR,,418500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418580-99999_fig2.png,418580,99999,3,__Ac,100327,19.4,55.8,10,[,10,164,882,],0,2,3,4,7,[,30,14,],29,56,[,0,6,0,10,11,0,29,],38,40,25.75,88.917,39,2014,2020,BG,,SAIDPUR,,418580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418590-99999_fig2.png,418590,99999,2,HpAc,100403,19.4,55.7,33,[,71,878,4760,],0,10,17,24,42,[,161,52,],6,319,[,0,34,0,53,66,1,165,],215,226,25.733,89.233,34,1992,2020,BG,,RANGPUR,,418590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418621-99999_fig2.png,418621,99999,2,HpAc,100407,19.4,55.7,5,[,69,721,4565,],0,9,15,23,39,[,155,49,],2,330,[,0,36,0,69,70,0,155,],197,221,25.8,89.55,31,2017,2020,BG,,RAJARHAT KURIGRAM,,418621-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418630-99999_fig2.png,418630,99999,3,__Ac,100324,19.4,55.8,9,[,16,160,724,],0,1,2,3,6,[,25,11,],28,56,[,0,8,0,11,11,0,26,],37,38,25.65,88.683,37,2014,2020,BG,,DINAJPUR,,418630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418830-99999_fig2.png,418830,99999,1,HpAc,100530,19.4,55.7,33,[,43,969,4999,],0,10,17,24,42,[,179,67,],8,317,[,0,22,0,57,57,0,181,],226,231,24.85,89.367,20,1992,2020,BG,,BOGRA,,418830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418860-99999_fig2.png,418860,99999,3,__Ac,100568,19.4,55.7,15,[,8,191,1140,],0,2,3,5,8,[,39,12,],23,71,[,0,5,0,13,15,0,38,],48,53,24.717,90.433,19,2014,2020,BG,,MYMENSINGH,,418860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418910-99999_fig2.png,418910,99999,2,HpAc,100412,19.4,55.7,33,[,19,740,4313,],1,9,17,25,41,[,156,42,],7,317,[,0,16,0,66,77,1,157,],216,228,24.963,91.867,15,1992,2020,BG,,OSMANY INTL,,418910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/418950-99999_fig2.png,418950,99999,3,__Ac,100508,19.4,55.7,10,[,13,181,969,],0,1,3,4,8,[,34,21,],29,57,[,0,7,0,8,9,0,33,],39,41,24.437,88.617,20,2014,2020,BG,,SHAH MOKHDUM,,418950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/419070-99999_fig2.png,419070,99999,2,HpAc,100532,19.4,55.7,34,[,80,984,4990,],0,10,17,25,44,[,187,85,],7,317,[,0,36,0,47,53,3,178,],217,226,24.153,89.049,14,1992,2020,BG,,ISHURDI,,419070-99999_fig2.png
