URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/850330-99999_fig2.png,850330,99999,3,__Ac,99536,19.4,56.1,22,[,1,340,1489,],0,2,5,7,10,[,66,4,],4,81,[,0,0,0,2,12,0,67,],78,78,-10.817,-65.35,130,2009,2009,BL,,GUAYARAMERIN,,850330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/850410-99999_fig2.png,850410,99999,1,__Ac,98204,19.4,56.6,33,[,8,1061,5709,],0,6,19,27,39,[,235,8,],29,357,[,0,4,0,16,101,0,236,],318,336,-11.04,-68.783,272,1991,2020,BL,,HEROES DEL ACRE,,850410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/850430-99999_fig2.png,850430,99999,0,__Ac,99595,19.4,56,34,[,5,1234,6029,],0,7,19,27,40,[,270,21,],29,358,[,0,3,0,14,70,0,271,],329,339,-11.017,-66.117,135,1991,2020,BL,,RIBERALTA,,850430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851040-99999_fig2.png,851040,99999,0,__Ac,99535,19.4,56.1,33,[,8,1364,5776,],0,8,21,27,42,[,251,17,],26,352,[,0,4,0,17,61,1,269,],319,324,-13.067,-64.667,140,1991,2019,BL,,SAN JOAQUIN,,851040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851090-99999_fig2.png,851090,99999,2,__Ac,99516,19.4,56.1,31,[,6,1125,4342,],0,6,17,22,34,[,185,16,],10,257,[,0,2,0,12,35,1,207,],237,236,-13.3,-64.7,140,2009,2019,BL,,SAN RAMON,,851090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851140-99999_fig2.png,851140,99999,0,__Ac,99519,19.4,56.1,34,[,8,1373,5994,],0,7,20,27,41,[,260,18,],28,358,[,0,4,0,17,58,1,278,],327,332,-13.333,-64.15,141,1991,2019,BL,,MAGDALENA,,851140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851160-99999_fig2.png,851160,99999,1,__Ac,99456,19.4,56.1,8,[,5,1436,5587,],0,6,21,28,44,[,235,79,],1,316,[,0,4,0,17,45,0,250,],280,290,-13.75,-65.433,144,2016,2016,BL,,BAURES,,851160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851230-99999_fig2.png,851230,99999,0,__Ac,99481,19.4,56.1,33,[,14,1333,5500,],0,9,21,28,42,[,234,14,],28,358,[,0,6,0,25,71,1,255,],312,320,-13.762,-65.435,144,1991,2019,BL,,SANTA ANA DEL YACUMA,,851230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851390-99999_fig2.png,851390,99999,1,__Ac,99202,19.4,56.2,10,[,11,1291,5322,],0,9,21,27,38,[,200,20,],2,314,[,0,5,0,16,58,1,233,],276,286,-14.067,-66.783,225,2014,2019,BL,,SANTA ROSA,,851390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851400-99999_fig2.png,851400,99999,1,__Ac,98901,19.4,56.3,30,[,17,1051,4792,],0,6,18,24,36,[,183,9,],30,320,[,0,8,0,23,88,0,201,],267,285,-14.3,-67.367,280,1991,2019,BL,,REYES,,851400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851410-99999_fig2.png,851410,99999,1,__Ac,98798,19.4,56.3,34,[,14,1122,6208,],0,5,18,25,37,[,227,37,],26,356,[,0,7,0,22,89,0,238,],298,326,-14.483,-67.483,202,1991,2019,BL,,RURRENABAQUE,,851410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851520-99999_fig2.png,851520,99999,2,__Ac,98866,19.4,56.3,30,[,15,932,3977,],0,5,16,20,30,[,149,14,],12,246,[,0,6,0,17,54,1,168,],209,219,-14.867,-66.75,194,2009,2019,BL,,SAN BORJA/CAPT GERM,,851520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851530-99999_fig2.png,851530,99999,1,__Ac,99266,19.4,56.2,32,[,21,1140,4901,],0,7,20,27,41,[,186,13,],8,316,[,0,8,0,26,68,0,214,],263,275,-14.967,-65.633,241,2009,2019,BL,,SAN IGNACIO DE MOXO,,851530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851540-99999_fig2.png,851540,99999,1,HpAc,99345,19.4,56.1,34,[,24,1061,5035,],0,8,20,27,40,[,212,12,],30,357,[,0,11,0,34,98,0,214,],292,306,-14.819,-64.918,155,1987,2020,BL,,TTE AV JORGE HENRICH ARAUZ,,851540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851750-99999_fig2.png,851750,99999,1,HpAc,98543,19.4,56.4,32,[,25,1094,4312,],0,8,21,27,44,[,140,10,],1,317,[,0,11,0,25,85,4,192,],261,272,-15.717,-63.1,247,2019,2019,BL,,ASCENCION GUARAYOS,,851750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851950-99999_fig2.png,851950,99999,3,__Ac,95223,19.4,57.7,26,[,9,100,433,],0,1,3,4,6,[,9,0,],7,44,[,0,3,0,5,20,0,16,],32,34,-16.267,-62.467,520,2019,2019,BL,,SAN JAVIER,,851950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/851960-99999_fig2.png,851960,99999,1,HpAc,95620,19.4,57.6,34,[,58,718,3382,],0,9,21,28,42,[,86,0,],28,359,[,0,20,0,40,188,3,108,],266,283,-16.25,-62.1,497,1991,2019,BL,,CONCEPCION,,851960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/852010-99999_fig2.png,852010,99999,5,Hp__,63067,19.4,78,34,[,3959,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],34,364,[,6,358,0,0,0,0,0,],0,0,-16.513,-68.192,4062,1987,2020,BL,,EL ALTO INTL,,852010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/852070-99999_fig2.png,852070,99999,1,HpAc,96511,19.4,57.2,34,[,46,943,3727,],0,10,22,29,43,[,136,1,],28,359,[,0,16,0,35,149,3,157,],284,292,-16.367,-60.95,413,1991,2019,BL,,SAN IGNACIO VELASCO,,852070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/852230-99999_fig2.png,852230,99999,3,Hp__,75075,19.4,68.3,34,[,530,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],34,364,[,0,211,3,150,0,0,0,],0,0,-17.421,-66.177,2548,1987,2020,BL,,JORGE WILSTERMAN,,852230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/852420-99999_fig2.png,852420,99999,4,Hp__,64412,19.4,76.7,34,[,2351,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],27,359,[,1,356,1,1,0,0,0,],0,0,-17.963,-67.076,3702,1991,2019,BL,,JUAN MENDOZA,,852420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/852440-99999_fig2.png,852440,99999,2,HpAc,96867,19.4,57.1,34,[,96,439,2780,],1,11,19,30,42,[,123,1,],34,364,[,0,36,0,68,197,1,62,],209,248,-17.645,-63.135,373,1987,2020,BL,,VIRU VIRU INTL,,852440-99999_fig2.png
