URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/480010-99999_fig2.png,480010,99999,3,HpAc,106111,19.4,53.7,26,[,95,150,994,],0,2,6,8,14,[,24,2,],6,120,[,0,32,0,21,28,0,40,],57,66,27.333,97.417,409,2019,2020,BM,,PUTAO,,480010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480040-99999_fig2.png,480040,99999,2,HpAc,99583,19.4,56,27,[,26,650,3746,],0,5,12,18,30,[,119,38,],9,260,[,0,21,0,52,53,0,134,],168,186,26,95.7,146,2011,2020,BM,,HKAMTI,,480040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480080-99999_fig2.png,480080,99999,1,HpAc,99264,19.4,56.2,34,[,19,797,4143,],0,8,17,25,42,[,149,37,],13,334,[,0,16,0,86,67,0,165,],215,223,25.367,97.4,147,2000,2020,BM,,MYITKYINA,,480080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480100-99999_fig2.png,480100,99999,2,__Ac,99324,19.4,56.1,30,[,8,743,4114,],0,5,13,19,34,[,142,40,],11,275,[,0,9,0,58,58,0,150,],187,206,24.867,94.917,131,2000,2020,BM,,HOMALIN,,480100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480180-99999_fig2.png,480180,99999,1,__Ac,100178,19.4,55.8,31,[,5,1079,5134,],0,7,18,25,41,[,191,57,],11,338,[,0,5,0,65,72,0,196,],246,261,24.167,96.333,95,2008,2020,BM,,KATHA,,480180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480190-99999_fig2.png,480190,99999,3,__Ac,99518,19.4,56.1,28,[,4,677,2748,],0,6,12,16,27,[,105,28,],13,209,[,0,4,0,49,38,1,117,],151,141,24.267,97.2,113,2011,2020,BM,,BHAMO,,480190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480200-99999_fig2.png,480200,99999,3,__Ac,99939,19.4,55.9,15,[,1,208,935,],0,1,3,4,7,[,33,14,],23,60,[,0,1,0,12,12,0,35,],43,46,23.633,94.417,116,2017,2020,BM,,MAWLAIK,,480200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480250-99999_fig2.png,480250,99999,1,__Ac,99512,19.4,56.1,30,[,3,1272,5067,],0,7,19,26,46,[,188,75,],9,331,[,0,3,0,60,62,6,200,],251,249,23.2,94.3,109,2000,2020,BM,,KALEWA,,480250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480300-99999_fig2.png,480300,99999,3,____,80827,19.4,64.8,1,[,640,1,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],6,340,[,NaN,158,NaN,169,13,NaN,NaN,],1,12,22.65,93.633,1866,2013,2020,BM,,HAKHA,,480300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480310-99999_fig2.png,480310,99999,3,HpVt,85893,19.4,62,4,[,25,4,9,],0,1,1,1,1,[,0,0,],28,34,[,0,10,0,12,12,0,0,],3,10,22.917,93.683,1372,2018,2020,BM,,FALAM,,480310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480330-99999_fig2.png,480330,99999,3,__Ac,99639,19.4,56,7,[,0,215,700,],0,1,3,4,6,[,28,12,],31,44,[,0,0,0,6,7,1,30,],37,36,22.583,95.717,110,2017,2020,BM,,SHWEBO,,480330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480350-99999_fig2.png,480350,99999,2,HpAc,92446,19.4,58.9,34,[,54,505,2183,],1,11,21,28,44,[,43,0,],8,339,[,0,37,0,87,140,9,66,],195,186,22.933,97.75,749,2011,2020,BM,,LASHIO,,480350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480370-99999_fig2.png,480370,99999,0,__Ac,99905,19.4,55.9,34,[,0,1639,5305,],1,11,22,30,47,[,213,121,],10,330,[,0,0,0,44,56,6,224,],280,264,22.1,95.133,82,2000,2020,BM,,MONYWA,,480370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480420-99999_fig2.png,480420,99999,0,__Ac,100006,19.4,55.9,33,[,0,1632,5241,],1,13,23,30,45,[,219,105,],13,332,[,0,0,0,43,54,5,230,],284,268,21.983,96.1,76,2000,2020,BM,,MANDALAY,,480420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480450-99999_fig2.png,480450,99999,3,HpVt,85651,19.4,62.1,15,[,68,59,123,],0,5,6,8,13,[,0,0,],9,152,[,0,32,0,50,66,4,0,],29,51,21.383,93.95,1395,2014,2020,BM,,MINDAT,,480450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480480-99999_fig2.png,480480,99999,0,__Ac,100234,19.4,55.8,18,[,0,1734,5177,],0,14,24,30,46,[,225,100,],8,333,[,0,0,0,43,48,6,236,],284,268,21.2,94.917,55,2011,2020,BM,,NYAUNG-U,,480480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480510-99999_fig2.png,480510,99999,1,__Ac,101289,19.4,55.4,8,[,0,1295,6046,],0,6,18,25,43,[,222,93,],3,338,[,0,1,0,52,55,1,229,],276,275,20.85,92.633,3,2018,2020,BM,,KYAUKTAW,,480510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480530-99999_fig2.png,480530,99999,0,__Ac,98364,19.4,56.5,33,[,0,1404,4891,],0,11,21,28,47,[,207,56,],10,334,[,0,0,0,42,59,11,222,],290,257,20.833,95.833,220,2000,2020,BM,,MEIKTILA,,480530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480570-99999_fig2.png,480570,99999,3,HpVt,85222,19.4,62.4,14,[,15,14,49,],1,4,5,7,11,[,0,0,],28,97,[,0,10,0,54,32,1,0,],11,23,20.783,97.05,1436,2011,2020,BM,,TAUNGGYI,,480570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480600-99999_fig2.png,480600,99999,3,HpAc,91940,19.4,59.1,28,[,22,339,1374,],1,9,15,20,31,[,26,0,],17,234,[,0,14,0,67,106,7,40,],135,132,21.3,99.617,828,2000,2020,BM,,KENGTUNG,,480600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480620-99999_fig2.png,480620,99999,2,__Ac,101489,19.4,55.3,30,[,0,863,5430,],0,4,12,17,31,[,179,39,],11,277,[,0,0,0,28,61,0,188,],227,246,20.133,92.873,8,2000,2020,BM,,SITTWE,,480620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480640-99999_fig2.png,480640,99999,3,__Ac,100097,19.4,55.8,7,[,0,170,625,],0,1,2,3,5,[,25,12,],30,34,[,0,0,0,3,6,0,25,],29,30,20.167,94.883,51,2018,2020,BM,,MINBU,,480640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480710-99999_fig2.png,480710,99999,1,__Ac,100894,19.4,55.5,31,[,0,1058,5949,],0,6,14,18,29,[,193,35,],6,288,[,0,0,0,14,65,0,209,],256,272,19.417,93.55,5,2013,2020,BM,,KYAUKPYU,,480710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480720-99999_fig2.png,480720,99999,0,__Ac,101216,19.4,55.4,8,[,0,1464,7767,],0,5,17,23,34,[,265,67,],2,355,[,0,0,0,8,76,0,271,],332,347,18.85,93.733,9,2019,2020,BM,,MANAUNG,,480720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480740-99999_fig2.png,480740,99999,3,__Ac,99817,19.4,55.9,7,[,0,206,835,],0,1,3,3,6,[,32,12,],31,44,[,0,0,0,2,8,0,34,],41,40,19.717,96.217,104,2017,2020,BM,,PYINMANA,,480740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480750-99999_fig2.png,480750,99999,3,__Ev,91152,19.4,59.5,8,[,0,76,407,],0,1,3,4,6,[,7,0,],30,47,[,0,1,0,11,24,1,10,],31,31,19.683,97.217,895,2014,2020,BM,,LOIKAW,,480750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480770-99999_fig2.png,480770,99999,0,__Ac,100330,19.4,55.8,32,[,0,1699,5859,],1,8,21,28,47,[,250,81,],7,337,[,0,0,0,9,49,5,274,],327,301,18.8,95.217,60,2011,2020,BM,,PROME,,480770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480780-99999_fig2.png,480780,99999,2,__Ac,100363,19.4,55.7,31,[,0,1055,4099,],0,5,14,19,32,[,168,50,],10,239,[,0,0,0,13,39,2,185,],224,212,18.917,96.467,49,2011,2020,BM,,TOUNGOO,,480780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480800-99999_fig2.png,480800,99999,2,__Ac,100794,19.4,55.6,30,[,0,867,4714,],0,3,12,18,28,[,186,56,],7,248,[,0,0,0,14,54,0,180,],221,232,18.467,94.35,11,2011,2020,BM,,SANDOWAY,,480800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480850-99999_fig2.png,480850,99999,1,__Ac,101564,19.4,55.3,8,[,0,1254,6349,],0,10,18,24,38,[,227,29,],5,340,[,0,0,0,15,74,0,251,],313,323,17.583,94.583,3,2013,2020,BM,,GWA,,480850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480870-99999_fig2.png,480870,99999,3,__Ac,101013,19.4,55.5,9,[,0,217,861,],0,1,3,4,6,[,35,12,],29,46,[,0,0,0,1,7,0,38,],44,43,17.667,95.417,26,2013,2020,BM,,HINTHADA,,480870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/480930-99999_fig2.png,480930,99999,3,__Ac,101145,19.4,55.5,7,[,0,168,670,],0,1,2,3,4,[,28,7,],30,35,[,0,0,0,0,3,0,32,],35,34,17.333,96.5,15,2018,2020,BM,,BAGO,,480930-99999_fig2.png
