URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/261148-99999_fig2.png,261148,99999,6,Gs__,98900,19.4,56.3,21,[,4269,3,8,],4,NaN,23,33,36,[,0,0,],21,364,[,148,174,0,37,5,0,0,],3,3,53.882,28.031,204,2000,2020,BO,,MINSK 2,,261148-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/261149-99999_fig2.png,261149,99999,5,GsVt,99016,19.4,56.2,16,[,4069,16,15,],7,15,27,34,37,[,0,0,],16,363,[,141,159,0,52,9,1,1,],10,6,53.95,30.1,194,2005,2020,BO,,MOGILEV,,261149-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265540-99999_fig2.png,265540,99999,6,Gs__,100018,19.4,55.9,34,[,4447,2,6,],3,14,23,32,35,[,0,0,],28,362,[,148,182,0,29,3,0,0,],2,2,55.817,27.95,132,1987,2015,BO,,VERHNEDVINSK,,265540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266430-99999_fig2.png,266430,99999,3,Gs__,100035,19.4,55.9,16,[,1037,2,5,],2,1,5,7,8,[,0,0,],24,87,[,34,43,0,8,2,0,0,],1,1,55.367,27.467,131,2006,2015,BO,,SHARCOVSCHINA,,266430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266450-99999_fig2.png,266450,99999,6,Gs__,99102,19.4,56.2,34,[,4480,2,3,],2,16,24,34,37,[,0,0,],28,362,[,152,182,0,26,2,0,0,],1,1,55.05,26.317,212,1987,2015,BO,,LYNTUPY,,266450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266530-99999_fig2.png,266530,99999,3,Gs__,100028,19.4,55.9,16,[,1042,2,5,],2,1,5,7,8,[,0,0,],24,87,[,35,42,0,8,2,0,0,],2,2,55.467,28.767,133,2006,2015,BO,,POLOTSK,,266530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266570-99999_fig2.png,266570,99999,3,Gs__,99086,19.4,56.2,16,[,797,2,4,],1,0,3,5,5,[,0,0,],22,65,[,27,31,0,6,1,0,0,],1,1,54.883,27.75,193,2006,2010,BO,,DOKSHITSY,,266570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266590-99999_fig2.png,266590,99999,6,Gs__,99378,19.4,56.1,27,[,4410,3,7,],5,13,25,34,36,[,0,0,],26,363,[,147,177,0,35,4,0,0,],3,3,54.883,28.7,174,1987,2013,BO,,LEPEL,,266590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266660-99999_fig2.png,266660,99999,6,Gs__,99244,19.4,56.2,34,[,4309,11,9,],8,17,27,35,37,[,0,0,],34,364,[,141,173,0,43,6,0,1,],6,4,55.127,30.35,208,1987,2020,BO,,VITEBSK,,266660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266661-99999_fig2.png,266661,99999,5,Gs__,99810,19.4,55.9,16,[,3761,12,15,],9,13,25,34,38,[,0,0,],16,363,[,128,175,0,52,8,0,1,],7,5,53.6,24.533,138,2005,2020,BO,,GRODNO,,266661-99999_fig2.png
