URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/816150-99999_fig2.png,816150,99999,0,__Ac,100214,19.4,55.8,4,[,0,1376,4432,],8,16,24,32,41,[,255,0,],2,365,[,0,0,0,0,112,0,253,],362,365,2.805,-60.647,96,2017,2019,BR,,BOA VISTA,,816150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816480-99999_fig2.png,816480,99999,1,____,100700,19.4,55.6,2,[,0,852,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,365,[,NaN,0,NaN,0,365,NaN,NaN,],358,365,-0.983,-62.917,18,2019,2019,BR,,BARCELOS,,816480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816580-99999_fig2.png,816580,99999,0,__Ac,101040,19.4,55.5,4,[,0,1284,6367,],5,15,20,25,31,[,261,0,],3,360,[,0,0,0,0,66,0,294,],360,360,-0.817,-48.517,12,2017,2019,BR,,SOURE,,816580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816600-99999_fig2.png,816600,99999,1,__Ac,100890,19.4,55.5,4,[,0,1067,5775,],5,14,19,24,30,[,173,0,],3,336,[,0,0,0,0,72,0,264,],335,336,-0.617,-47.35,22,2017,2019,BR,,SALINOPOLIS,,816600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816800-99999_fig2.png,816800,99999,0,__Ac,100889,19.4,55.5,4,[,2,1052,6134,],2,11,18,28,35,[,335,0,],3,361,[,0,0,0,0,86,0,275,],360,360,-1.417,-48.433,26,2017,2020,BR,,BELEM,,816800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816820-99999_fig2.png,816820,99999,1,__Ac,100630,19.4,55.6,4,[,0,914,5584,],7,12,19,28,35,[,296,0,],4,359,[,0,0,0,0,179,0,180,],356,359,-1.3,-47.95,66,2017,2020,BR,,CASTANHAL,,816820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816850-99999_fig2.png,816850,99999,0,__Ac,100742,19.4,55.6,4,[,0,1052,6194,],5,11,18,27,33,[,320,0,],2,358,[,0,0,0,0,82,0,276,],356,358,-1.05,-46.783,34,2017,2018,BR,,BRAGANCA,,816850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816870-99999_fig2.png,816870,99999,0,__Ac,100634,19.4,55.6,3,[,0,1008,6182,],6,13,18,25,36,[,268,0,],2,359,[,0,0,0,0,84,0,275,],356,359,-1.667,-45.367,42,2017,2018,BR,,TURIACU,,816870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/816990-99999_fig2.png,816990,99999,1,__Ac,100383,19.4,55.7,4,[,0,960,5810,],6,10,18,27,37,[,282,1,],4,347,[,0,0,0,0,142,0,205,],342,347,-2.056,-60.026,94,2017,2020,BR,,PRESIDENTE FIGUEIREDO,,816990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817000-99999_fig2.png,817000,99999,1,__Ac,100575,19.4,55.7,4,[,0,725,5962,],5,9,16,26,35,[,276,4,],2,356,[,0,0,0,0,176,0,180,],348,356,-2.433,-59.567,60,2018,2019,BR,,RIO URUBU,,817000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817020-99999_fig2.png,817020,99999,0,__Ac,100861,19.4,55.6,4,[,0,1270,6767,],4,11,19,27,35,[,315,10,],2,360,[,0,0,0,0,41,0,319,],359,360,-2.533,-57.75,18,2017,2019,BR,,URUCARA,,817020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817030-99999_fig2.png,817030,99999,1,__Ac,100834,19.4,55.6,4,[,0,1120,5325,],5,14,20,26,38,[,231,0,],2,307,[,0,0,0,0,59,0,248,],307,307,-2.639,-56.756,36,2017,2018,BR,,PARINTINS,,817030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817100-99999_fig2.png,817100,99999,0,__Ac,101086,19.4,55.5,3,[,0,1325,5556,],9,15,22,29,36,[,308,0,],2,344,[,0,0,0,0,77,0,267,],343,344,-2.25,-49.5,24,2017,2019,BR,,CAMETA,,817100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817110-99999_fig2.png,817110,99999,1,__Ac,100651,19.4,55.6,3,[,0,838,4409,],6,11,19,28,40,[,239,0,],2,347,[,0,0,0,2,192,0,153,],340,300,-2.6,-48.367,40,2017,2019,BR,,TOME-ACU,,817110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817150-99999_fig2.png,817150,99999,1,__Ac,100564,19.4,55.7,4,[,0,1003,6218,],6,12,17,24,31,[,256,0,],4,345,[,0,0,0,0,55,0,290,],344,345,-2.533,-44.217,58,2017,2020,BR,,SAO LUIS,,817150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817160-99999_fig2.png,817160,99999,0,__Ac,101045,19.4,55.5,1,[,0,1313,6459,],4,16,20,25,33,[,239,0,],1,351,[,0,0,0,0,7,0,344,],351,346,-2.267,-43.617,10,2017,2018,BR,,SANTANA,,817160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/817170-99999_fig2.png,817170,99999,1,__Ac,101111,19.4,55.5,6,[,0,1042,5080,],0,17,20,25,32,[,97,0,],2,337,[,0,0,0,0,98,0,239,],336,337,-2.593,-42.707,2,2018,2019,BR,,PREGUICAS,,817170-99999_fig2.png
