URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/711070-25342_fig2.png,711070,25342,5,Gs__,100473,19.4,55.7,6,[,3496,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],5,364,[,42,322,0,0,0,0,0,],0,0,51.933,-131,92,1987,1991,CA,BC,CAPE ST JAMES CS,,711070-25342_fig2.png
https://bioclimatic.github.io/predilection/psych/719520-25272_fig2.png,719520,25272,7,Gs__,93027,19.4,58.7,15,[,5744,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],15,360,[,161,194,0,5,0,0,0,],0,0,54.383,-125.95,714,2006,2020,CA,BC,BURNS LAKE CAMPBELL,,719520-25272_fig2.png
https://bioclimatic.github.io/predilection/psych/717110-99999_fig2.png,717110,99999,7,Gs__,100849,19.4,55.6,16,[,5273,5,13,],2,14,24,33,37,[,0,0,],15,365,[,105,219,0,36,5,0,0,],4,4,47.983,-66.333,40,1987,2002,CA,NB,CHARLO,,717110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/719590-26394_fig2.png,719590,26394,8,Gs__,101294,19.4,55.4,1,[,9452,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,331,[,253,74,0,4,0,0,0,],0,0,46.633,-60.933,44,1987,1992,CA,NS,CHETICAMP CS,,719590-26394_fig2.png
https://bioclimatic.github.io/predilection/psych/719390-26114_fig2.png,719390,26114,8,Gs__,101426,19.4,55.4,2,[,10866,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],2,362,[,300,61,0,1,0,0,0,],0,0,68.933,-116.917,16,1987,1992,CA,NU,CAPE YOUNG AIRPORT,,719390-26114_fig2.png
https://bioclimatic.github.io/predilection/psych/717500-54802_fig2.png,717500,54802,7,Gs__,99191,19.4,56.2,15,[,5576,0,0,],1,NaN,16,25,25,[,0,0,],14,360,[,154,194,0,12,0,0,0,],0,0,48.583,-86.3,208,2006,2020,CA,ON,PUKASKWA,,717500-54802_fig2.png
https://bioclimatic.github.io/predilection/psych/718425-99999_fig2.png,718425,99999,6,Gs__,96461,19.4,57.2,19,[,4833,15,20,],8,11,22,28,31,[,0,0,],22,315,[,123,139,0,44,8,0,1,],9,5,49.833,-92.733,413,1987,2008,CA,ON,DRYDEN RGNL,,718425-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/999999-64757_fig2.png,999999,64757,6,____,98405,19.4,56.5,0,[,4238,12,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],16,365,[,NaN,302,NaN,16,46,NaN,NaN,],9,55,44.233,-79.781,246,2005,2020,CA,ON,CRN ON EGBERT 1 W,,999999-64757_fig2.png
https://bioclimatic.github.io/predilection/psych/719690-26463_fig2.png,719690,26463,8,Gs__,101411,19.4,55.4,1,[,9808,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,335,[,278,56,0,1,0,0,0,],0,0,69.583,-140.183,7,1987,1992,CA,YT,KOMAKUK BEACH ARPT,,719690-26463_fig2.png
https://bioclimatic.github.io/predilection/psych/702093-99999_fig2.png,702093,99999,8,Gs__,100189,19.4,55.8,3,[,7334,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],2,364,[,207,156,0,1,0,0,0,],0,0,62.067,-163.3,95,1987,1988,CA,,ANDREAFSKY/ST MARYS,,702093-99999_fig2.png
