URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/434040-99999_fig2.png,434040,99999,3,__Ac,100766,19.4,55.6,12,[,0,892,4145,],0,7,10,13,19,[,141,19,],15,183,[,0,0,0,0,21,0,162,],182,183,9.65,80.017,3,2010,2020,CE,,JAFFNA,,434040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434130-99999_fig2.png,434130,99999,3,__Ac,100894,19.4,55.5,19,[,0,722,3874,],1,6,8,11,15,[,137,7,],23,169,[,0,0,0,0,16,0,153,],169,169,8.983,79.917,3,2010,2020,CE,,MANNAR,,434130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434150-99999_fig2.png,434150,99999,2,__Ac,99871,19.4,55.9,13,[,0,1091,4967,],0,6,13,18,25,[,188,50,],12,231,[,0,0,0,0,29,0,202,],228,231,8.75,80.5,98,2010,2020,CE,,VAVUNIYA,,434150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434180-99999_fig2.png,434180,99999,1,__Ac,100453,19.4,55.7,30,[,0,1359,6371,],1,12,18,25,33,[,255,50,],13,326,[,0,0,0,0,43,0,283,],323,326,8.539,81.182,2,1993,2020,CE,,CHINA BAY,,434180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434210-99999_fig2.png,434210,99999,0,__Ac,99868,19.4,55.9,33,[,0,1234,6228,],2,12,19,28,37,[,279,26,],14,349,[,0,0,0,0,79,0,270,],342,349,8.301,80.428,99,1992,2020,CE,,ANURADHAPURA,,434210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434220-99999_fig2.png,434220,99999,3,__Ac,99561,19.4,56,12,[,0,678,2924,],0,5,9,12,17,[,121,4,],16,154,[,0,0,0,0,22,0,132,],152,154,8.117,80.467,117,2010,2020,CE,,MAHA ILLUPPALLAMA,,434220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434240-99999_fig2.png,434240,99999,0,__Ac,100882,19.4,55.6,34,[,0,1314,7337,],0,11,17,24,36,[,293,18,],13,349,[,0,0,0,0,59,0,290,],345,348,8.033,79.833,2,1992,2020,CE,,PUTTALAM,,434240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434360-99999_fig2.png,434360,99999,0,__Ac,100863,19.4,55.6,32,[,0,1614,7838,],2,12,19,24,37,[,279,37,],11,356,[,0,0,0,0,29,0,327,],356,356,7.706,81.679,6,2010,2020,CE,,BATTICALOA,,434360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434410-99999_fig2.png,434410,99999,2,__Ac,99584,19.4,56,12,[,0,916,4006,],1,6,13,16,25,[,173,6,],13,214,[,0,0,0,0,23,0,191,],213,214,7.467,80.367,116,2010,2020,CE,,KURUNEGALA,,434410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434440-99999_fig2.png,434440,99999,2,__Ac,95637,19.4,57.6,14,[,0,237,2801,],0,8,14,21,30,[,35,0,],14,280,[,0,0,0,6,264,0,10,],201,273,7.333,80.633,477,2010,2020,CE,,KANDY,,434440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434500-99999_fig2.png,434500,99999,0,__Ac,100860,19.4,55.6,33,[,0,1241,6745,],4,12,18,24,38,[,269,2,],27,356,[,0,0,0,0,67,0,289,],355,356,7.181,79.866,9,1991,2020,CE,,BANDARANAIKE INTL COLOMBO,,434500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434660-99999_fig2.png,434660,99999,3,__Ac,100826,19.4,55.6,21,[,0,736,3991,],1,7,10,13,20,[,162,1,],22,192,[,0,0,0,0,16,0,176,],191,192,6.9,79.867,7,2009,2020,CE,,COLOMBO,,434660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/434670-99999_fig2.png,434670,99999,2,__Ac,100893,19.4,55.5,27,[,0,1096,5527,],1,9,13,18,27,[,233,7,],15,261,[,0,0,0,0,19,0,242,],261,261,6.822,79.886,7,2010,2020,CE,,COLOMBO RATMALANA,,434670-99999_fig2.png
