URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/644000-99999_fig2.png,644000,99999,1,__Ac,101076,19.4,55.5,34,[,0,742,5667,],1,10,16,22,30,[,153,1,],24,358,[,0,0,0,2,159,0,197,],280,355,-4.816,11.887,17,1993,2020,CF,,POINTE NOIRE,,644000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644010-99999_fig2.png,644010,99999,2,__Ac,97431,19.4,56.9,28,[,0,442,2638,],0,7,14,19,25,[,80,0,],16,233,[,0,0,0,12,153,0,68,],184,221,-4.2,12.7,331,1994,2018,CF,,DOLISIE,,644010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644030-99999_fig2.png,644030,99999,3,__Ac,99406,19.4,56.1,24,[,0,119,683,],0,1,2,3,4,[,22,0,],8,43,[,0,0,0,0,17,0,26,],41,43,-3.483,12.617,161,2016,2016,CF,,MAKABANA,,644030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644050-99999_fig2.png,644050,99999,3,__Ac,95077,19.4,57.8,25,[,0,136,1053,],0,3,6,7,10,[,7,0,],10,100,[,0,0,0,1,82,0,17,],66,98,-3.683,13.35,531,2017,2020,CF,,SIBITI,,644050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644500-99999_fig2.png,644500,99999,1,__Ac,97572,19.4,56.8,34,[,0,621,3860,],2,12,20,29,38,[,140,1,],30,355,[,0,0,0,11,265,0,79,],285,343,-4.252,15.253,319,1989,2020,CF,,MAYA MAYA,,644500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644520-99999_fig2.png,644520,99999,3,__Ac,97633,19.4,56.8,24,[,0,89,434,],0,1,2,3,4,[,15,0,],10,30,[,0,0,0,0,14,0,16,],28,30,-2.617,16.217,312,2018,2018,CF,,M'POUYA,,644520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644530-99999_fig2.png,644530,99999,3,__Vt,92188,19.4,59,26,[,0,78,1111,],1,6,11,15,20,[,2,0,],13,179,[,0,0,0,13,163,0,3,],75,166,-2.533,14.767,790,2013,2020,CF,,DJAMBALA,,644530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644540-99999_fig2.png,644540,99999,3,__Ac,96877,19.4,57.1,19,[,0,187,923,],0,2,4,6,7,[,34,0,],15,67,[,0,0,0,0,36,0,31,],63,67,-1.867,15.867,377,2016,2018,CF,,GAMBOMA,,644540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644560-99999_fig2.png,644560,99999,3,__Ac,96843,19.4,57.1,25,[,0,223,1532,],0,3,6,9,12,[,52,0,],9,105,[,0,0,0,0,72,0,33,],91,105,-0.017,15.65,380,2014,2018,CF,,MAKOUA,,644560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644580-99999_fig2.png,644580,99999,2,__Ac,97055,19.4,57,31,[,0,777,4304,],0,7,17,23,32,[,176,4,],12,291,[,0,0,0,1,163,0,127,],270,288,1.616,16.038,353,2008,2020,CF,,OUESSO,,644580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644590-99999_fig2.png,644590,99999,2,__Ac,97442,19.4,56.9,31,[,0,764,4471,],0,7,14,21,29,[,180,6,],13,269,[,0,0,0,2,120,0,147,],252,266,1.617,18.067,326,2010,2020,CF,,IMPFONDO,,644590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644620-99999_fig2.png,644620,99999,3,__Ac,96519,19.4,57.2,12,[,0,328,2337,],1,4,9,13,19,[,67,0,],8,164,[,0,0,0,0,118,0,46,],145,164,0.1,13.55,408,2016,2020,CF,,KELLE,,644620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/644630-99999_fig2.png,644630,99999,3,__Ac,96173,19.4,57.4,9,[,0,276,1203,],0,4,8,9,12,[,19,0,],3,101,[,0,0,0,0,55,0,46,],92,101,-5.583,14.817,438,2018,2018,CF,,EWO,,644630-99999_fig2.png
