URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/450040-99999_fig2.png,450040,99999,3,HpAc,100429,19.4,55.7,9,[,129,341,2157,],0,7,10,13,21,[,61,0,],12,213,[,0,45,0,40,52,0,76,],108,126,22.312,114.173,66,1993,1999,CH,,KOWLOON,,450040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/450050-99999_fig2.png,450050,99999,2,HpAc,100695,19.4,55.6,6,[,187,649,3820,],3,13,17,22,34,[,105,1,],5,365,[,0,75,0,74,82,0,134,],183,215,22.3,114.167,62,1987,1991,CH,,HONG KONG OBSERVATORY,,450050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/450320-99999_fig2.png,450320,99999,3,HpAc,101183,19.4,55.4,19,[,221,450,2727,],2,8,12,17,26,[,87,9,],25,261,[,0,58,0,48,58,0,98,],133,154,22.533,114.15,13,2003,2020,CH,,TA KWU LING,,450320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/450350-99999_fig2.png,450350,99999,2,HpAc,100901,19.4,55.5,14,[,267,650,3916,],2,12,17,23,36,[,119,7,],14,361,[,0,75,0,62,83,0,142,],190,222,22.467,113.983,35,2005,2020,CH,,LAU FAU SHAN,,450350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/450390-99999_fig2.png,450390,99999,2,HpAc,101213,19.4,55.4,15,[,242,726,3876,],4,14,18,23,36,[,115,6,],15,363,[,0,75,0,66,81,0,141,],192,220,22.4,114.2,8,2005,2020,CH,,SHA TIN,,450390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/450440-99999_fig2.png,450440,99999,2,HpAc,100424,19.4,55.7,16,[,229,541,4215,],2,10,14,20,35,[,108,11,],16,362,[,0,75,0,62,86,0,138,],182,224,22.2,114.017,79,2003,2020,CH,,CHEUNG CHAU,,450440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/450450-99999_fig2.png,450450,99999,3,Hp__,100683,19.4,55.6,1,[,14,44,0,],0,0,0,0,0,[,0,0,],10,29,[,0,11,0,9,9,0,0,],12,15,22.183,114.3,60,2017,2017,CH,,WAGLAN ISLAND,,450450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470311-99999_fig2.png,470311,99999,1,HpAc,101050,19.4,55.5,16,[,120,747,4757,],2,11,17,25,35,[,162,36,],16,364,[,0,43,0,39,115,0,166,],226,281,19.935,110.459,23,2005,2020,CH,,MEILAN,,470311-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470312-99999_fig2.png,470312,99999,4,GsAc,100475,19.4,55.7,16,[,2807,233,855,],3,11,20,29,45,[,31,4,],16,364,[,29,188,1,51,58,5,32,],79,80,38.281,114.697,71,2005,2020,CH,,ZHENGDING,,470312-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/501360-99999_fig2.png,501360,99999,8,Gs__,96136,19.4,57.4,34,[,7989,1,5,],1,12,23,34,36,[,0,0,],34,364,[,111,220,0,30,3,0,0,],1,2,52.967,122.533,438,1987,2020,CH,,MOHE,,501360-99999_fig2.png
