URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/854060-99999_fig2.png,854060,99999,3,HpVt,100994,19.4,55.5,34,[,274,6,40,],14,19,24,30,32,[,0,0,],34,364,[,0,154,0,194,16,0,0,],9,14,-18.349,-70.339,51,1987,2020,CI,,CHACALLUTA,,854060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854180-99999_fig2.png,854180,99999,3,Hp__,100925,19.4,55.5,34,[,364,4,13,],10,18,24,30,32,[,0,0,],34,362,[,0,180,0,174,8,0,0,],6,6,-20.535,-70.181,47,1987,2020,CI,,DIEGO ARACENA INTL,,854180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854320-99999_fig2.png,854320,99999,3,Hp__,77306,19.4,66.9,23,[,651,0,0,],0,0,0,0,0,[,0,0,],24,237,[,0,166,28,43,0,0,0,],0,0,-22.5,-68.9,2320,2001,2020,CI,,CALAMA,,854320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854420-99999_fig2.png,854420,99999,3,Hp__,99888,19.4,55.9,34,[,734,0,6,],3,16,21,28,30,[,0,0,],34,364,[,0,250,0,112,2,0,0,],0,2,-23.444,-70.445,139,1987,2020,CI,,CERRO MORENO INTL,,854420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854590-99999_fig2.png,854590,99999,3,Hp__,100642,19.4,55.6,16,[,1955,7,1,],4,NaN,32,40,40,[,0,0,],15,362,[,9,301,0,49,3,0,0,],4,1,-40.611,-73.061,57,2005,2019,CI,,CANAL BAJO CARLOS HOTT SIEBER,,854590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854595-99999_fig2.png,854595,99999,3,Hp__,98896,19.4,56.3,13,[,1218,0,0,],2,NaN,28,34,35,[,0,0,],12,362,[,0,297,0,65,0,0,0,],0,0,-27.261,-70.779,204,2007,2020,CI,,DESIERTO DE ATACAMA,,854595-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854670-99999_fig2.png,854670,99999,3,Hp__,99273,19.4,56.2,13,[,1079,0,0,],0,0,0,0,0,[,0,0,],13,321,[,0,266,0,55,0,0,0,],0,0,-27.25,-70.77,204,2006,2020,CI,,DESIERTO DE ATACMA,,854670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854690-99999_fig2.png,854690,99999,2,HpVt,101668,19.4,55.3,34,[,62,28,567,],4,14,20,26,32,[,0,0,],33,359,[,0,55,0,181,123,0,0,],41,123,-27.165,-109.422,69,1987,2020,CI,,MATAVERI INTL,,854690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854700-99999_fig2.png,854700,99999,3,Hp__,97796,19.4,56.7,19,[,578,2,0,],1,NaN,28,34,34,[,0,0,],12,347,[,0,185,1,158,3,0,0,],4,0,-27.296,-70.414,298,1987,2004,CI,,CHAMONATE,,854700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854860-99999_fig2.png,854860,99999,3,Hp__,95324,19.4,57.7,14,[,521,4,0,],0,0,0,0,0,[,0,0,],8,253,[,0,142,1,107,3,0,0,],3,0,-28.596,-70.756,526,1987,1993,CI,,VALLENAR,,854860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/854880-99999_fig2.png,854880,99999,3,Hp__,99920,19.4,55.9,34,[,1541,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],34,361,[,0,344,0,17,0,0,0,],0,0,-29.916,-71.2,147,1987,2020,CI,,LA FLORIDA,,854880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/855580-99999_fig2.png,855580,99999,3,Hp__,100842,19.4,55.6,15,[,211,0,0,],0,0,0,0,0,[,0,0,],18,58,[,0,53,0,5,0,0,0,],0,0,-33.033,-71.633,41,2013,2016,CI,,PUNTA ANGELES,,855580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/855610-99999_fig2.png,855610,99999,3,Hp__,97283,19.4,56.9,8,[,133,0,0,],0,0,0,0,0,[,0,0,],18,40,[,0,31,0,9,0,0,0,],0,0,-33.05,-71.583,342,2010,2011,CI,,VINA DEL MAR,,855610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/855620-99999_fig2.png,855620,99999,3,Hp__,99856,19.4,55.9,2,[,735,5,1,],31,NaN,36,39,39,[,0,0,],1,317,[,0,219,0,95,2,0,1,],3,1,-33.05,-71.417,123,1987,1987,CI,,EL BELLOTO(CAFB),,855620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/855740-99999_fig2.png,855740,99999,3,Hp__,96085,19.4,57.4,34,[,1554,5,0,],0,NaN,NaN,NaN,NaN,[,0,0,],34,364,[,4,244,0,111,5,0,0,],5,0,-33.393,-70.786,474,1987,2020,CI,,ARTURO MERINO BENITEZ INTL,,855740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/855770-99999_fig2.png,855770,99999,3,Hp__,95623,19.4,57.6,16,[,581,3,0,],0,0,0,0,0,[,0,0,],31,144,[,1,94,0,46,3,0,0,],3,0,-33.433,-70.683,520,2006,2020,CI,,QUINTA NORMAL,,855770-99999_fig2.png
