URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/800010-99999_fig2.png,800010,99999,0,__Ac,101239,19.4,55.4,34,[,0,1385,7993,],0,12,17,21,31,[,250,2,],33,357,[,0,0,0,0,26,0,331,],357,357,12.584,-81.711,6,1987,2020,CO,,GUSTAVO ROJAS PINILLA,,800010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800020-99999_fig2.png,800020,99999,3,__Ac,101260,19.4,55.4,22,[,0,693,3596,],1,5,8,9,13,[,114,0,],18,155,[,0,0,0,0,4,0,151,],155,155,13.357,-81.358,3,2012,2019,CO,,EL EMBRUJO,,800020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800090-99999_fig2.png,800090,99999,0,__Ac,100946,19.4,55.5,33,[,0,1829,7325,],2,13,21,27,36,[,323,26,],20,339,[,0,0,0,0,3,0,336,],339,339,11.12,-74.231,7,1987,2019,CO,,SIMON BOLIVAR,,800090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800220-99999_fig2.png,800220,99999,0,__Ac,101067,19.4,55.5,32,[,0,1393,7833,],0,11,16,22,30,[,305,19,],33,347,[,0,0,0,0,28,0,319,],347,347,10.442,-75.513,1,1987,2020,CO,,RAFAEL NUNEZ,,800220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800280-99999_fig2.png,800280,99999,0,__Ac,100739,19.4,55.6,34,[,0,1353,7725,],0,10,17,25,33,[,323,57,],34,360,[,0,0,0,0,37,0,323,],360,360,10.89,-74.781,30,1987,2020,CO,,ERNESTO CORTISSOZ,,800280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800350-99999_fig2.png,800350,99999,3,__Ac,100917,19.4,55.5,20,[,0,937,3304,],1,7,11,14,18,[,145,22,],23,168,[,0,0,0,0,8,0,160,],168,168,11.526,-72.926,13,2006,2019,CO,,ALMIRANTE PADILLA,,800350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800360-99999_fig2.png,800360,99999,1,__Ac,99439,19.4,56.1,30,[,0,1722,4778,],3,12,21,26,36,[,265,30,],11,292,[,0,0,0,0,9,0,283,],292,292,10.435,-73.25,147,2010,2019,CO,,ALFONSO LOPEZ PUMAREJO,,800360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800630-99999_fig2.png,800630,99999,3,__Ac,100825,19.4,55.6,19,[,0,695,3295,],0,3,7,10,14,[,138,34,],20,141,[,0,0,0,0,1,0,140,],141,141,8.824,-75.826,11,2010,2019,CO,,LOS GARZONES,,800630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800840-99999_fig2.png,800840,99999,2,__Ac,101157,19.4,55.5,30,[,0,1120,5675,],2,7,14,18,23,[,241,2,],12,264,[,0,0,0,0,5,0,259,],264,264,7.812,-76.716,14,2010,2019,CO,,ANTONIO ROLDAN BETANCOURT,,800840-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/800910-99999_fig2.png,800910,99999,1,__Ac,99586,19.4,56,30,[,0,1384,6063,],1,8,17,22,29,[,258,9,],12,291,[,0,0,0,0,17,0,274,],290,291,7.024,-73.807,126,2010,2019,CO,,YARIGUIES,,800910-99999_fig2.png
