URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/782210-99999_fig2.png,782210,99999,2,__Ac,101381,19.4,55.4,18,[,2,731,3174,],2,11,17,20,28,[,87,0,],5,262,[,0,2,0,28,105,0,127,],214,229,21.835,-82.784,24,1988,2012,CU,,RAFAEL CABRERA,,782210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782240-99999_fig2.png,782240,99999,1,HpAc,100430,19.4,55.7,32,[,18,507,3462,],1,10,18,27,36,[,129,1,],32,357,[,0,12,0,64,184,0,97,],226,280,22.989,-82.409,64,1987,2020,CU,,JOSE MARTI INTL,,782240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782290-99999_fig2.png,782290,99999,1,__Ac,100550,19.4,55.7,32,[,17,499,3286,],2,11,19,27,37,[,104,1,],30,357,[,0,9,0,64,202,0,82,],230,282,23.034,-81.435,64,1987,2020,CU,,JUAN GUALBERTO GOMEZ INTL,,782290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782390-99999_fig2.png,782390,99999,1,__Ac,101573,19.4,55.3,12,[,3,791,4085,],4,14,20,27,35,[,133,1,],11,348,[,0,2,0,39,167,0,141,],281,303,22.533,-78.367,10,2009,2019,CU,,CAYO COCO,,782390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782430-99999_fig2.png,782430,99999,2,__Ac,100512,19.4,55.7,10,[,16,284,1947,],4,10,15,22,30,[,52,0,],9,271,[,0,10,0,55,175,0,31,],155,205,22.467,-79.983,116,2012,2018,CU,,EL YABU,,782430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782440-99999_fig2.png,782440,99999,3,__Ac,100952,19.4,55.5,17,[,7,558,2347,],1,6,12,16,22,[,83,1,],26,210,[,0,2,0,22,86,0,100,],174,181,22.15,-80.414,31,2002,2020,CU,,JAIME GONZALEZ,,782440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782550-99999_fig2.png,782550,99999,1,__Ac,99920,19.4,55.9,30,[,5,578,3519,],3,12,20,28,38,[,132,1,],28,352,[,0,3,0,43,208,0,98,],252,302,21.42,-77.848,126,1987,2020,CU,,IGNACIO AGRAMONTE INTL,,782550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782561-99999_fig2.png,782561,99999,1,__Ac,101277,19.4,55.4,16,[,2,830,4265,],3,14,20,26,35,[,124,1,],16,357,[,0,2,0,38,170,0,148,],291,312,22.461,-78.328,4,2005,2020,CU,,JARDINES DEL REY,,782561-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782590-99999_fig2.png,782590,99999,3,__Ac,101205,19.4,55.4,6,[,3,354,1463,],0,4,7,9,13,[,49,1,],3,101,[,0,1,0,4,29,1,66,],93,94,20.183,-77.15,10,2006,2006,CU,,MANZANILLO,,782590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782623-99999_fig2.png,782623,99999,1,__Ac,100011,19.4,55.9,27,[,2,736,3437,],3,13,21,30,40,[,144,1,],22,354,[,0,1,0,34,200,0,119,],284,311,20.786,-76.315,110,1994,2020,CU,,FRANK PAIS INTL,,782623-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782640-99999_fig2.png,782640,99999,1,__Ac,100670,19.4,55.6,33,[,3,820,4314,],3,13,20,26,36,[,108,0,],33,356,[,0,1,0,14,196,0,145,],324,336,19.97,-75.835,76,1987,2020,CU,,ANTONIO MACEO INTL,,782640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782650-99999_fig2.png,782650,99999,1,__Ac,100548,19.4,55.7,10,[,3,617,2897,],4,14,22,31,40,[,143,0,],5,347,[,0,3,0,51,197,0,96,],253,284,21.067,-75.617,4,2010,2017,CU,,CABO LURECIA,,782650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/782680-99999_fig2.png,782680,99999,3,__Ac,101230,19.4,55.4,13,[,0,112,657,],0,1,2,2,4,[,15,0,],9,36,[,0,0,0,0,15,0,21,],34,36,20.365,-74.506,8,1987,1987,CU,,GUSTAVO RIZO,,782680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/783100-99999_fig2.png,783100,99999,3,__Ac,101542,19.4,55.3,17,[,1,296,1947,],0,4,7,10,14,[,64,0,],17,138,[,0,1,0,15,53,0,69,],109,122,21.867,-84.95,8,2009,2015,CU,,CABO SAN ANTONIO   PINAR DEL,,783100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/783110-99999_fig2.png,783110,99999,2,__Ac,101277,19.4,55.4,3,[,0,756,3833,],0,8,19,27,36,[,146,2,],1,305,[,0,0,0,43,113,0,149,],237,255,21.917,-84.467,4,1987,1987,CU,,LA BAJADA  PINAR DEL RIO,,783110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/783150-99999_fig2.png,783150,99999,3,__Ac,100931,19.4,55.5,20,[,10,283,2063,],0,6,11,17,23,[,85,0,],19,209,[,0,6,0,35,111,0,57,],132,167,22.417,-83.683,37,1987,2015,CU,,PINAR DEL RIO,,783150-99999_fig2.png
