URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/918000-99999_fig2.png,918000,99999,0,__Ac,101300,19.4,55.4,10,[,0,1535,8340,],1,12,17,20,29,[,313,1,],8,359,[,0,0,0,0,0,0,359,],359,359,-9.017,-158.067,2,1987,1995,CW,,PENRHYN ISLAND,,918000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918020-99999_fig2.png,918020,99999,2,__Ac,101313,19.4,55.4,21,[,0,1184,5833,],1,11,15,20,26,[,247,5,],11,262,[,0,0,0,0,2,0,260,],262,262,-9.033,-158.05,1,2001,2017,CW,,PENRHYN AWS,,918020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918040-99999_fig2.png,918040,99999,0,__Ac,101265,19.4,55.4,10,[,0,1603,7629,],0,14,19,24,32,[,315,2,],9,350,[,0,0,0,0,3,0,347,],350,350,-10.05,-161.1,5,1987,1995,CW,,RAKAHANGA ATOLL,,918040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918090-99999_fig2.png,918090,99999,3,__Ac,101303,19.4,55.4,15,[,0,155,785,],1,2,2,3,3,[,33,0,],9,34,[,0,0,0,0,0,0,34,],34,34,-10.377,-161.002,2,2002,2002,CW,,MANIHIKI (HUMPHREY ISLAND),,918090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918110-99999_fig2.png,918110,99999,3,__Ac,101290,19.4,55.4,17,[,0,569,3177,],0,4,6,8,12,[,127,2,],27,134,[,0,0,0,0,1,0,133,],134,134,-10.915,-165.839,5,1987,1996,CW,,PUKAPUKA ARPT,,918110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918260-99999_fig2.png,918260,99999,1,__Ac,101277,19.4,55.4,10,[,0,866,5678,],2,12,17,21,33,[,114,1,],7,352,[,0,0,0,9,145,0,198,],331,342,-18.067,-163.183,4,1987,1995,CW,,PALMERSTON *,,918260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918300-99999_fig2.png,918300,99999,3,__Ac,101280,19.4,55.4,18,[,0,282,1953,],0,5,7,8,13,[,32,0,],26,137,[,0,0,0,7,67,0,63,],121,130,-18.831,-159.764,4,1987,2014,CW,,AITUTAKI,,918300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918310-99999_fig2.png,918310,99999,2,__Ac,100794,19.4,55.6,19,[,0,440,3739,],3,11,14,19,29,[,50,0,],8,302,[,0,0,0,23,176,0,103,],237,280,-18.833,-159.767,5,2000,2017,CW,,AITUTAKI AWS,,918310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918400-99999_fig2.png,918400,99999,1,__Ac,101220,19.4,55.4,10,[,0,548,4399,],0,10,16,22,34,[,82,0,],9,354,[,0,0,0,37,195,0,122,],270,316,-20.133,-157.35,9,1987,1995,CW,,MAUKE ISLAND,,918400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918410-99999_fig2.png,918410,99999,3,__Ac,101025,19.4,55.5,11,[,0,185,1738,],0,4,6,9,13,[,40,0,],12,134,[,0,0,0,15,66,0,53,],93,119,-20.167,-157.35,25,1999,2004,CW,,MAUKE AWS,,918410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918430-99999_fig2.png,918430,99999,1,__Ac,101240,19.4,55.4,33,[,0,402,3527,],0,10,16,22,31,[,54,0,],34,353,[,0,0,0,67,198,0,88,],219,284,-21.203,-159.806,6,1987,2020,CW,,RAROTONGA INTL,,918430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918440-99999_fig2.png,918440,99999,1,____,101240,19.4,55.4,0,[,0,360,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],13,361,[,NaN,0,NaN,5,356,NaN,NaN,],213,359,-21.2,-159.783,-1000,1999,2011,CW,,RAROTONGA,,918440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918470-99999_fig2.png,918470,99999,2,__Ac,101220,19.4,55.4,10,[,0,278,2939,],0,11,17,22,33,[,29,0,],9,359,[,0,1,0,87,215,0,56,],182,270,-21.917,-157.95,15,1987,1995,CW,,MANGAIA ISLAND,,918470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/918480-99999_fig2.png,918480,99999,3,__Vt,101157,19.4,55.5,14,[,0,18,238,],0,1,2,2,4,[,5,0,],9,34,[,0,0,0,11,17,0,6,],12,23,-21.896,-157.907,14,2001,2001,CW,,MANGAIA,,918480-99999_fig2.png
