URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/175000-99999_fig2.png,175000,99999,2,HpAc,100711,19.4,55.6,15,[,391,963,1425,],0,13,30,33,51,[,49,2,],13,361,[,0,111,0,77,45,16,112,],173,130,35.183,32.983,52,2008,2020,CY,,GUZELYURT,,175000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175010-99999_fig2.png,175010,99999,2,HpAc,101043,19.4,55.5,12,[,554,337,610,],12,21,26,31,43,[,4,0,],12,357,[,0,148,0,94,59,9,48,],115,86,35.817,32.85,129,2009,2020,CY,,LEFKE,,175010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175050-99999_fig2.png,175050,99999,2,HpAc,100276,19.4,55.8,12,[,659,384,1054,],7,15,24,31,47,[,39,2,],12,355,[,0,152,0,77,59,6,61,],119,108,35.3,32.967,89,2009,2020,CY,,AKDENIZ,,175050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175070-99999_fig2.png,175070,99999,2,HpAc,100301,19.4,55.8,11,[,385,627,1175,],10,19,28,30,46,[,14,0,],11,351,[,0,122,0,84,45,6,93,],145,117,35.167,32.733,20,2010,2020,CY,,YESILIRMAK,,175070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175100-99999_fig2.png,175100,99999,2,HpAc,101239,19.4,55.4,15,[,445,577,1329,],9,18,27,31,45,[,40,1,],14,358,[,0,134,0,82,47,3,92,],141,126,35.35,33.333,10,2006,2020,CY,,GIRNE,,175100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175150-99999_fig2.png,175150,99999,2,HpAc,99732,19.4,56,15,[,954,513,311,],12,19,32,42,49,[,53,3,],14,363,[,0,169,0,68,43,29,54,],126,63,35.2,33.35,131,2006,2020,CY,,LEFKOSA,,175150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175300-99999_fig2.png,175300,99999,2,HpAc,100801,19.4,55.6,11,[,918,497,569,],8,16,30,39,48,[,61,3,],11,358,[,0,166,0,68,43,14,66,],124,82,35.233,33.733,45,2010,2020,CY,,GECITKALE,,175300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175350-99999_fig2.png,175350,99999,2,HpAc,100853,19.4,55.6,12,[,787,425,749,],7,15,28,35,46,[,38,1,],12,356,[,0,160,0,74,50,7,65,],122,94,35.283,33.883,39,2009,2020,CY,,ISKELE,,175350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175400-99999_fig2.png,175400,99999,2,HpAc,101219,19.4,55.4,15,[,517,470,1375,],2,16,25,31,42,[,54,2,],13,362,[,0,142,0,81,55,1,83,],132,126,35.133,33.933,0,2008,2020,CY,,GAZIMAGUSA,,175400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175470-99999_fig2.png,175470,99999,2,HpAc,98886,19.4,56.3,10,[,628,344,1246,],4,16,23,29,42,[,34,0,],8,355,[,0,151,0,77,68,2,58,],115,118,35.583,34.383,136,2010,2020,CY,,DIPKARPAZ,,175470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/175500-99999_fig2.png,175500,99999,2,HpAc,99786,19.4,56,12,[,639,402,1116,],10,18,25,33,44,[,50,2,],12,350,[,0,149,0,75,55,3,69,],121,113,35.533,34.017,123,2009,2020,CY,,YENIERENKOY,,175500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/176000-99999_fig2.png,176000,99999,3,HpAc,101230,19.4,55.4,34,[,658,221,1105,],0,10,21,28,39,[,22,0,],34,364,[,0,162,0,83,91,0,28,],102,114,34.718,32.486,12,1987,2020,CY,,PAFOS INTL,,176000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/176010-99999_fig2.png,176010,99999,2,HpAc,101066,19.4,55.5,34,[,637,305,1114,],6,13,22,29,43,[,29,1,],34,364,[,0,157,0,80,81,2,43,],117,113,34.59,32.988,23,1987,2020,CY,,AKROTIRI,,176010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/176070-99999_fig2.png,176070,99999,3,HpAc,99416,19.4,56.1,20,[,450,712,396,],5,12,26,29,37,[,23,1,],18,248,[,0,93,0,41,24,34,56,],113,59,35.15,33.4,161,1991,2008,CY,,NICOSIA/ATHALASSA,,176070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/176074-99999_fig2.png,176074,99999,2,HpAc,100237,19.4,55.8,28,[,897,545,529,],11,17,31,40,49,[,63,4,],17,364,[,0,166,0,68,42,21,66,],129,80,35.15,33.5,91,2001,2020,CY,,ERCAN,,176074-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/176090-99999_fig2.png,176090,99999,2,HpAc,101300,19.4,55.4,34,[,706,391,1093,],5,13,24,31,44,[,45,1,],34,364,[,0,157,0,75,68,5,60,],126,109,34.875,33.625,2,1987,2020,CY,,LARNACA,,176090-99999_fig2.png
