URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/060050-99999_fig2.png,60050,99999,5,Gs__,99480,19.4,56.1,12,[,3836,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],6,339,[,76,263,0,0,0,0,0,],0,0,62.1,-7.683,100,2005,2014,DA,,MYKINES,,060050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060090-99999_fig2.png,60090,99999,5,Gs__,99512,19.4,56.1,27,[,3869,0,0,],0,0,0,0,0,[,0,0,],17,335,[,69,266,0,0,0,0,0,],0,0,61.4,-6.667,102,1987,2018,DA,,AKRABERG,,060090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060110-99999_fig2.png,60110,99999,5,Gs__,99864,19.4,55.9,31,[,4093,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],31,363,[,85,278,0,0,0,0,0,],0,0,62.017,-6.767,61,1987,2020,DA,,TORSHAVN,,060110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060120-99999_fig2.png,60120,99999,4,Gs__,100137,19.4,55.8,6,[,2920,0,0,],0,0,0,0,0,[,0,0,],5,273,[,41,232,0,0,0,0,0,],0,0,62.317,-6.317,56,2003,2009,DA,,KIRKJA,,060120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060170-99999_fig2.png,60170,99999,4,Gs__,101205,19.4,55.4,10,[,2770,0,1,],6,13,20,26,26,[,0,0,],7,339,[,58,264,0,17,0,0,0,],0,0,55.6,7.624,10,2010,2020,DA,,HORNS REV B HELIDECK,,060170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060190-99999_fig2.png,60190,99999,5,Gs__,100833,19.4,55.6,13,[,3452,0,0,],1,NaN,21,33,35,[,0,0,],13,360,[,95,252,0,14,0,0,0,],0,0,56.933,8.633,41,2006,2020,DA,,SILSTRUP,,060190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060220-99999_fig2.png,60220,99999,4,Gs__,100810,19.4,55.6,13,[,3030,0,0,],1,14,15,16,16,[,0,0,],13,362,[,36,322,0,4,0,0,0,],0,0,55.72,4.8,43,2006,2019,DA,,TYRA OST,,060220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060221-99999_fig2.png,60221,99999,4,Gs__,100177,19.4,55.8,7,[,2675,0,0,],2,NaN,16,17,17,[,0,0,],7,347,[,16,325,0,6,0,0,0,],0,0,55.58,4.759,96,2013,2020,DA,,GORM C  OIL PLATFORM HELIPAD,,060221-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060222-99999_fig2.png,60222,99999,4,Gs__,100195,19.4,55.8,7,[,2757,0,0,],2,NaN,16,19,19,[,0,0,],7,347,[,20,318,0,9,0,0,0,],0,0,55.531,5.004,94,2013,2020,DA,,HALFDAN A  OIL PLATFORM HELIP,,060222-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060223-99999_fig2.png,60223,99999,4,Gs__,100188,19.4,55.8,8,[,2766,0,1,],4,14,16,18,19,[,0,0,],7,345,[,24,315,0,6,0,0,0,],0,0,55.722,4.802,95,2013,2019,DA,,TYRA E OIL PLATFORM HELIPAD,,060223-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060224-99999_fig2.png,60224,99999,4,Gs__,100189,19.4,55.8,8,[,2961,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],7,353,[,23,326,0,4,0,0,0,],0,0,56.344,4.272,95,2013,2020,DA,,HARALD HELIDECK OIL RIG,,060224-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060240-99999_fig2.png,60240,99999,5,Gs__,101241,19.4,55.4,21,[,3353,1,3,],5,16,21,26,29,[,0,0,],20,356,[,90,243,0,21,2,0,0,],1,1,57.069,8.705,7,1987,2006,DA,,THISTED,,060240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060300-99999_fig2.png,60300,99999,5,Gs__,101172,19.4,55.4,34,[,3541,0,1,],3,NaN,22,30,30,[,0,0,],34,364,[,103,238,0,22,1,0,0,],0,0,57.093,9.849,3,1987,2020,DA,,FLYVESTATION AALBORG,,060300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060310-99999_fig2.png,60310,99999,5,Gs__,101169,19.4,55.4,13,[,3549,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],13,360,[,102,242,0,16,0,0,0,],0,0,57.183,9.95,13,2006,2020,DA,,TYLSTRUP,,060310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060320-99999_fig2.png,60320,99999,5,Gs__,100480,19.4,55.7,15,[,3599,0,0,],1,NaN,26,34,34,[,0,0,],15,359,[,106,238,0,15,0,0,0,],0,0,57.383,10.333,55,2006,2020,DA,,STENHOJ,,060320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060340-99999_fig2.png,60340,99999,5,Gs__,100989,19.4,55.5,34,[,3410,3,4,],3,19,27,30,34,[,0,0,],13,356,[,101,224,0,28,3,0,0,],3,2,57.504,10.229,28,1987,1999,DA,,SINDAL,,060340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060410-99999_fig2.png,60410,99999,5,Gs__,101065,19.4,55.5,34,[,3434,0,4,],3,12,18,25,26,[,0,0,],34,362,[,96,250,0,14,2,0,0,],0,2,57.733,10.633,5,1987,2020,DA,,SKAGEN,,060410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/060430-99999_fig2.png,60430,99999,5,Gs__,100533,19.4,55.7,13,[,3445,0,0,],5,8,13,18,18,[,0,0,],10,324,[,105,206,0,12,1,0,0,],0,1,57.4,10.517,80,1992,2003,DA,,FREDERIKSHAVN,,060430-99999_fig2.png
