URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/784570-99999_fig2.png,784570,99999,1,__Ac,101270,19.4,55.4,31,[,0,1060,5723,],1,9,17,22,28,[,172,5,],28,323,[,0,0,0,1,124,0,198,],308,323,19.758,-70.57,5,1987,2020,DR,,GREGORIO LUPERON INTL,,784570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784575-99999_fig2.png,784575,99999,0,__Ac,101277,19.4,55.4,13,[,0,1116,7097,],0,7,17,21,30,[,199,3,],13,362,[,0,0,0,0,117,0,245,],350,362,19.267,-69.75,4,2008,2020,DR,,SAMANA,,784575-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784580-99999_fig2.png,784580,99999,1,__Ac,101265,19.4,55.4,26,[,0,825,5427,],0,6,17,25,32,[,205,19,],22,335,[,0,0,0,1,158,0,176,],294,334,19.75,-70.55,5,1997,2020,DR,,PUERTO PLATA,,784580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784600-99999_fig2.png,784600,99999,1,__Ac,99273,19.4,56.2,31,[,0,783,4181,],0,9,18,26,33,[,183,2,],22,328,[,0,0,0,7,173,0,148,],268,321,19.406,-70.605,172,1997,2020,DR,,CIBAO INTL,,784600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784660-99999_fig2.png,784660,99999,3,__Ac,100821,19.4,55.6,3,[,0,171,1075,],0,1,2,2,3,[,32,12,],9,41,[,0,0,0,0,4,0,37,],40,41,19.2,-69.45,42,2012,2012,DR,,ARROYO BARRIL,,784660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784670-99999_fig2.png,784670,99999,2,__Ac,101205,19.4,55.4,30,[,0,602,3645,],0,3,12,16,23,[,125,1,],12,221,[,0,0,0,1,94,0,126,],208,220,19.05,-69.383,10,1997,2011,DR,,SABANA DE LA MAR,,784670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784785-99999_fig2.png,784785,99999,0,__Ac,100449,19.4,55.7,14,[,0,1251,6021,],0,9,18,23,31,[,190,2,],15,341,[,0,0,0,0,102,0,239,],333,341,18.451,-68.912,73,2002,2020,DR,,CASA DE CAMPO INTL,,784785-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784790-99999_fig2.png,784790,99999,0,__Ac,101153,19.4,55.5,23,[,0,1161,6336,],0,10,18,24,33,[,206,1,],19,362,[,0,0,0,0,127,0,235,],354,361,18.567,-68.363,14,1996,2020,DR,,PUNTA CANA INTL,,784790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784820-99999_fig2.png,784820,99999,1,__Ac,101289,19.4,55.4,32,[,0,1459,6332,],0,8,18,23,32,[,228,19,],23,324,[,0,0,0,0,44,0,280,],323,324,18.251,-71.12,3,2000,2020,DR,,MARIA MONTEZ INTL,,784820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784840-99999_fig2.png,784840,99999,3,__Ac,100602,19.4,55.7,10,[,0,543,2684,],1,5,8,10,14,[,79,0,],17,147,[,0,0,0,0,39,0,108,],145,146,18.47,-69.969,60,1999,2005,DR,,HERRERA INTL,,784840-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784850-99999_fig2.png,784850,99999,1,__Ac,101110,19.4,55.5,29,[,0,686,4985,],0,8,17,26,33,[,198,3,],28,343,[,0,0,0,4,191,0,148,],302,338,18.43,-69.669,18,1987,2020,DR,,LAS AMERICAS INTL,,784850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784860-99999_fig2.png,784860,99999,1,__Ac,101160,19.4,55.5,33,[,0,903,6031,],0,9,17,25,35,[,238,8,],24,352,[,0,0,0,2,146,0,204,],332,350,18.433,-69.883,14,1987,2020,DR,,SANTO DOMINGO,,784860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784865-99999_fig2.png,784865,99999,0,__Ac,100966,19.4,55.5,14,[,0,1542,6724,],0,11,20,25,34,[,226,5,],14,362,[,0,0,0,0,65,0,297,],360,361,18.573,-69.986,30,2007,2020,DR,,DR JOAQUIN BALAGUER INTL,,784865-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/784880-99999_fig2.png,784880,99999,1,__Ac,100201,19.4,55.8,14,[,0,957,5603,],0,6,18,26,35,[,217,8,],10,333,[,0,0,0,1,135,0,197,],313,332,18.45,-68.92,94,2008,2020,DR,,DE LA ROMANA INTNAL,,784880-99999_fig2.png
