URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/840010-99999_fig2.png,840010,99999,3,__Ac,100566,19.4,55.7,10,[,0,200,814,],2,4,5,7,9,[,20,0,],29,83,[,0,0,0,6,42,0,35,],72,75,-0.454,-90.266,63,2012,2020,EC,,SEYMOUR,,840010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840060-99999_fig2.png,840060,99999,3,__Vt,89423,19.4,60.3,10,[,0,58,454,],2,7,11,15,20,[,0,0,],10,180,[,0,0,0,39,139,0,2,],52,135,-1.5,-78.067,1043,2016,2020,EC,,RIO AMAZONAS,,840060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840080-99999_fig2.png,840080,99999,3,__Ac,101089,19.4,55.5,19,[,0,255,1582,],1,5,8,10,13,[,35,0,],17,154,[,0,0,0,13,90,0,50,],102,140,-0.917,-89.617,19,2012,2020,EC,,SAN CRISTOBAL,,840080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840250-99999_fig2.png,840250,99999,3,__Ac,97786,19.4,56.7,10,[,0,446,2774,],1,5,9,12,17,[,68,0,],10,180,[,0,0,0,0,97,0,83,],157,180,-0.083,-76.867,299,2016,2020,EC,,LAGO AGRIO,,840250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840260-99999_fig2.png,840260,99999,3,__Ac,101197,19.4,55.4,10,[,0,456,3175,],1,4,7,9,14,[,75,0,],11,163,[,0,0,0,0,38,0,125,],163,163,-0.983,-79.633,10,2016,2020,EC,,GENERAL RIVADENEIRA,,840260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840270-99999_fig2.png,840270,99999,3,Hp__,71229,19.4,71,19,[,121,0,0,],0,0,0,0,0,[,0,0,],14,26,[,0,26,0,0,0,0,0,],0,0,0.81,-77.708,2941,2016,2016,EC,,TENIENTE CORONEL LUIS A MANTI,,840270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840360-99999_fig2.png,840360,99999,3,Hp__,71366,19.4,70.9,9,[,479,0,0,],0,0,0,0,0,[,0,0,],10,95,[,0,95,0,0,0,0,0,],0,0,0.6,-77.817,2860,2012,2015,EC,,SAN GABRIEL,,840360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840500-99999_fig2.png,840500,99999,3,__Ac,97074,19.4,57,10,[,0,123,1337,],0,3,6,9,12,[,27,0,],9,109,[,0,0,0,0,97,0,12,],87,108,0.017,-79.367,360,2012,2015,EC,,LA CONCORDIA,,840500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840690-99999_fig2.png,840690,99999,3,__Vt,95205,19.4,57.8,9,[,0,7,136,],0,0,1,1,1,[,0,0,],26,14,[,0,0,0,0,14,0,0,],6,14,-0.248,-79.214,522,2016,2016,EC,,SANTO DOMINGO LOS COLORADOS,,840690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/840710-99999_fig2.png,840710,99999,3,Hp__,72036,19.4,70.4,29,[,1522,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],26,357,[,0,356,0,1,0,0,0,],0,0,-0.141,-78.488,2813,1987,2012,EC,,MARISCAL SUCRE INTL,,840710-99999_fig2.png
