URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/623000-99999_fig2.png,623000,99999,2,HpAc,101253,19.4,55.4,7,[,365,320,696,],6,17,25,32,44,[,15,0,],3,339,[,0,122,0,95,78,7,36,],119,101,31.533,25.183,6,1987,1991,EG,,SALLOUM,,623000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623050-99999_fig2.png,623050,99999,3,HpAc,101253,19.4,55.4,25,[,619,209,579,],3,15,24,32,45,[,17,0,],16,342,[,0,147,0,84,89,5,17,],99,92,31.567,25.133,6,1999,2017,EG,,SALLUM PLATEAU,,623050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623060-99999_fig2.png,623060,99999,2,HpAc,100970,19.4,55.5,34,[,506,241,984,],4,14,22,29,44,[,15,1,],34,363,[,0,147,0,88,103,2,23,],116,117,31.325,27.222,29,1987,2020,EG,,MERSA MATRUH,,623060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623090-99999_fig2.png,623090,99999,3,HpAc,101110,19.4,55.5,22,[,259,201,713,],3,10,15,19,27,[,16,1,],32,224,[,0,81,0,56,56,1,29,],81,80,31.017,28.433,18,2000,2020,EG,,DABAA,,623090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623180-99999_fig2.png,623180,99999,2,HpAc,101240,19.4,55.4,34,[,438,334,1176,],4,17,23,29,43,[,23,0,],34,364,[,0,135,0,87,92,1,49,],133,132,31.184,29.949,-2,1987,2020,EG,,ALEXANDRIA INTL,,623180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623250-99999_fig2.png,623250,99999,2,HpAc,101300,19.4,55.4,24,[,345,302,1337,],5,14,20,26,36,[,34,1,],23,323,[,0,115,0,77,84,0,47,],118,128,31.55,31.1,2,1995,2016,EG,,BALTIM,,623250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623320-99999_fig2.png,623320,99999,3,HpAc,101250,19.4,55.4,18,[,301,299,1301,],4,14,19,23,34,[,24,1,],21,305,[,0,105,0,69,85,0,46,],119,127,31.283,32.233,6,1988,2008,EG,,PORT SAID/EL GAMIL,,623320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623330-99999_fig2.png,623330,99999,2,HpAc,101250,19.4,55.4,33,[,301,397,1772,],7,16,21,26,38,[,41,1,],28,347,[,0,113,0,79,85,0,70,],141,152,31.267,32.3,6,1987,2020,EG,,PORT SAID,,623330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623370-99999_fig2.png,623370,99999,2,HpAc,100940,19.4,55.5,33,[,562,292,1081,],1,12,23,32,44,[,49,3,],26,357,[,0,143,0,80,94,2,38,],121,123,31.073,33.836,37,1987,2017,EG,,EL ARISH INTL,,623370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623570-99999_fig2.png,623570,99999,2,HpAc,101313,19.4,55.4,22,[,243,634,869,],6,14,27,34,43,[,68,8,],17,301,[,0,86,0,72,43,13,87,],142,106,30.4,30.35,1,1997,2018,EG,,WADI EL NATROON,,623570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623601-99999_fig2.png,623601,99999,3,HpAc,100679,19.4,55.6,15,[,474,272,1009,],4,14,21,28,41,[,22,1,],14,335,[,0,131,0,78,89,1,35,],116,116,30.918,29.696,54,2005,2020,EG,,BORG EL ARAB INTL,,623601-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623660-99999_fig2.png,623660,99999,2,HpAc,100440,19.4,55.7,34,[,361,660,895,],12,20,29,37,49,[,64,3,],34,364,[,0,111,0,83,61,17,91,],169,119,30.122,31.406,116,1987,2020,EG,,CAIRO INTL,,623660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623661-99999_fig2.png,623661,99999,1,HpAc,100409,19.4,55.7,16,[,48,1307,390,],12,30,36,40,50,[,15,0,],15,359,[,0,33,0,108,48,94,76,],218,86,25.557,34.582,76,2005,2019,EG,,MARSA ALAM INTL,,623661-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623664-99999_fig2.png,623664,99999,3,HpEv,86325,19.4,61.8,13,[,1026,256,10,],0,20,31,39,42,[,1,0,],10,347,[,3,155,14,72,68,34,1,],104,1,28.683,34.067,1331,2008,2020,EG,,ST CATHERINE INTL,,623664-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623870-99999_fig2.png,623870,99999,2,HpAc,100850,19.4,55.6,34,[,507,786,488,],13,22,34,42,51,[,71,5,],34,357,[,0,121,0,66,45,35,90,],170,97,28.083,30.733,37,1987,2020,EG,,MINYA,,623870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623930-99999_fig2.png,623930,99999,2,HpAc,100490,19.4,55.7,34,[,474,964,162,],22,27,39,46,52,[,47,3,],29,359,[,0,112,1,67,41,90,48,],180,49,27.047,31.012,235,1987,2020,EG,,ASYUT INTL,,623930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/623980-99999_fig2.png,623980,99999,3,HpAc,100216,19.4,55.8,8,[,190,791,45,],16,17,23,26,29,[,27,1,],11,196,[,0,50,1,36,14,78,18,],110,18,26.333,31.733,93,2015,2020,EG,,SOHAG INTL AIRPORT,,623980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624030-99999_fig2.png,624030,99999,1,HpAc,100177,19.4,55.8,13,[,228,1486,40,],31,32,42,48,52,[,44,1,],12,353,[,0,77,3,65,33,161,15,],210,15,26.2,32.75,96,2005,2016,EG,,SOUTH OF VALLEY UNIVERSITY,,624030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624050-99999_fig2.png,624050,99999,1,HpAc,100140,19.4,55.8,34,[,271,1505,381,],23,32,42,48,54,[,126,19,],34,363,[,0,86,0,65,34,79,99,],212,100,25.671,32.707,90,1987,2020,EG,,LUXOR INTL,,624050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624140-99999_fig2.png,624140,99999,0,HpAc,99020,19.4,56.2,34,[,172,1822,30,],34,36,46,51,55,[,66,2,],31,359,[,0,63,4,64,33,181,14,],229,14,23.964,32.82,202,1987,2019,EG,,ASWAN INTL,,624140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624160-99999_fig2.png,624160,99999,3,____,100118,19.4,55.8,2,[,32,44,9,],1,1,2,2,3,[,2,0,],18,20,[,0,8,0,4,2,4,3,],9,3,29.346,25.507,101,2020,2020,EG,,SIWA OASIS ARPT,,624160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624170-99999_fig2.png,624170,99999,2,HpAc,101510,19.4,55.3,33,[,427,938,253,],21,29,39,45,52,[,66,3,],27,355,[,0,114,0,68,39,63,70,],174,72,29.2,25.483,-15,1987,2018,EG,,SIWA,,624170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624190-99999_fig2.png,624190,99999,3,HpEv,99089,19.4,56.2,15,[,40,535,37,],9,9,13,15,16,[,25,2,],27,105,[,0,17,1,21,9,48,10,],67,10,22.376,31.612,188,2007,2020,EG,,ABU SIMBEL,,624190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/624200-99999_fig2.png,624200,99999,2,HpAc,99770,19.4,56,34,[,429,917,163,],21,27,39,46,52,[,65,3,],27,356,[,0,111,1,70,42,81,51,],175,52,28.333,28.867,130,1987,2020,EG,,BAHARIA,,624200-99999_fig2.png
