URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/260290-99999_fig2.png,260290,99999,4,Gs__,100867,19.4,55.6,20,[,2378,1,3,],3,2,9,13,14,[,0,0,],33,207,[,83,112,0,11,1,0,0,],1,1,59.383,24.033,26,2002,2020,EN,,PAKRI,,260290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/260380-99999_fig2.png,260380,99999,6,Gs__,100930,19.4,55.5,34,[,4422,1,3,],2,14,22,32,34,[,0,0,],34,364,[,152,188,0,22,2,0,0,],1,1,59.413,24.833,40,1987,2020,EN,,TALLINN,,260380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/260381-99999_fig2.png,260381,99999,6,Gs__,101037,19.4,55.5,16,[,4112,3,13,],3,16,22,31,34,[,0,0,],15,363,[,141,186,0,32,4,0,0,],3,4,58.417,24.467,47,2005,2019,EN,,PARNU,,260381-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/260450-99999_fig2.png,260450,99999,6,Gs__,101125,19.4,55.5,32,[,4254,1,5,],3,10,21,30,31,[,0,0,],27,348,[,148,179,0,19,2,0,0,],1,2,59.517,26.55,3,1994,2020,EN,,KUNDA,,260450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/260460-99999_fig2.png,260460,99999,5,Gs__,100307,19.4,55.8,24,[,3085,1,3,],2,3,12,17,18,[,0,0,],27,244,[,106,122,0,15,1,0,0,],1,1,59.333,27.383,75,2002,2020,EN,,JOHVI,,260460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/260580-99999_fig2.png,260580,99999,5,Gs__,100852,19.4,55.6,27,[,3537,2,6,],4,7,16,22,23,[,0,0,],33,285,[,119,141,0,22,2,0,0,],2,2,59.389,28.117,30,1995,2020,EN,,NARVA-JOESUU,,260580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/261150-99999_fig2.png,261150,99999,5,Gs__,101077,19.4,55.5,33,[,4069,1,6,],5,15,21,28,29,[,0,0,],32,362,[,142,199,0,19,2,0,0,],1,2,58.917,22.067,9,1987,2020,EN,,RISTNA,,261150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/261160-99999_fig2.png,261160,99999,3,Gs__,101259,19.4,55.4,17,[,1794,3,5,],5,6,10,12,13,[,0,0,],33,170,[,61,91,0,16,2,0,0,],1,2,58.991,22.831,6,2005,2020,EN,,KARDLA,,261160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/261161-99999_fig2.png,261161,99999,5,Gs__,101277,19.4,55.4,15,[,3728,2,18,],8,15,20,25,28,[,0,0,],15,353,[,131,185,0,32,5,0,0,],2,4,58.217,22.5,4,2005,2020,EN,,KURESSAARE,,261161-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/261240-99999_fig2.png,261240,99999,5,Gs__,100890,19.4,55.5,27,[,3169,1,4,],3,5,14,20,22,[,0,0,],28,268,[,108,141,0,17,2,0,0,],1,2,58.95,23.817,25,2000,2020,EN,,LAANE-NIGULA,,261240-99999_fig2.png
