URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/114060-99999_fig2.png,114060,99999,5,Gs__,95960,19.4,57.4,34,[,3767,3,0,],2,NaN,30,39,39,[,0,0,],34,364,[,126,201,0,35,2,0,0,],3,0,50.067,12.383,490,1987,2020,EZ,,CHEB,,114060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114140-99999_fig2.png,114140,99999,5,Gs__,94604,19.4,58,34,[,4030,2,0,],2,NaN,26,38,38,[,0,0,],31,364,[,137,197,0,28,2,0,0,],2,0,50.203,12.915,606,1989,2020,EZ,,KARLOVY VARY,,114140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114180-99999_fig2.png,114180,99999,5,Gs__,95287,19.4,57.7,12,[,3727,1,0,],2,0,15,19,19,[,0,0,],11,328,[,126,179,0,22,1,0,0,],1,0,49.917,12.717,541,1989,1998,EZ,,MARIANSKE LAZNE,,114180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114230-99999_fig2.png,114230,99999,6,Gs__,93015,19.4,58.7,33,[,4195,3,0,],1,NaN,NaN,34,34,[,0,0,],31,364,[,148,188,0,26,2,0,0,],2,0,49.667,12.683,747,1989,2020,EZ,,PRIMDA,,114230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114232-99999_fig2.png,114232,99999,5,GsVt,97934,19.4,56.7,16,[,3230,14,8,],10,12,27,36,39,[,0,0,],16,362,[,98,199,0,55,8,1,1,],8,3,50.121,14.544,286,2005,2020,EZ,,KBELY,,114232-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114234-99999_fig2.png,114234,99999,5,Gs__,96634,19.4,57.2,8,[,3675,6,2,],5,17,29,36,38,[,0,0,],8,363,[,114,203,0,42,4,0,0,],4,1,50.767,15.017,398,2005,2012,EZ,,LIBEREC,,114234-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114380-99999_fig2.png,114380,99999,5,Gs__,97828,19.4,56.7,34,[,3439,5,3,],6,NaN,26,37,37,[,0,0,],32,364,[,107,206,0,47,4,0,0,],4,1,50.383,13.333,326,1989,2020,EZ,,TUSIMICE,,114380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114480-99999_fig2.png,114480,99999,4,Gs__,97050,19.4,57,27,[,2917,4,4,],4,0,20,27,28,[,0,0,],22,300,[,95,165,0,36,4,0,0,],3,2,49.675,13.275,362,1987,2020,EZ,,PLZEN LINE,,114480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114500-99999_fig2.png,114500,99999,3,Gs__,97338,19.4,56.9,17,[,1620,5,1,],4,1,9,13,13,[,0,0,],33,176,[,50,98,0,25,3,0,0,],3,0,49.767,13.383,372,2005,2020,EZ,,PLZEN-MIKULKA,,114500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114570-99999_fig2.png,114570,99999,6,Gs__,88909,19.4,60.5,33,[,4741,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],33,364,[,154,198,0,12,0,0,0,],0,0,49.067,13.617,1122,1987,2020,EZ,,CHURANOV,,114570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114640-99999_fig2.png,114640,99999,5,Gs__,91973,19.4,59.1,30,[,3802,2,0,],1,0,12,16,16,[,0,0,],33,318,[,134,162,0,21,1,0,0,],1,0,50.55,13.933,843,1987,2020,EZ,,MILESOVKA,,114640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/114870-99999_fig2.png,114870,99999,5,Gs__,95606,19.4,57.6,34,[,3759,4,1,],2,NaN,28,38,38,[,0,0,],32,364,[,124,198,0,39,3,0,0,],3,0,49.467,13.833,522,1989,2020,EZ,,KOCELOVICE,,114870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/115020-99999_fig2.png,115020,99999,5,Gs__,97214,19.4,56.9,34,[,3543,8,2,],7,18,28,37,38,[,0,0,],32,364,[,113,200,0,46,4,1,0,],5,1,50.683,14.033,379,1989,2020,EZ,,USTI NAD LABEM,,115020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/115090-99999_fig2.png,115090,99999,5,Gs__,99804,19.4,56,25,[,3266,8,6,],5,10,26,37,40,[,1,0,],25,364,[,103,199,0,56,6,0,0,],6,3,50.467,14.167,160,1996,2020,EZ,,DOKSANY,,115090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/115180-99999_fig2.png,115180,99999,5,Gs__,97023,19.4,57,34,[,3564,6,2,],6,NaN,28,37,38,[,0,0,],34,364,[,116,201,0,43,4,0,0,],4,1,50.101,14.26,380,1987,2020,EZ,,RUZYNE,,115180-99999_fig2.png
