URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/027010-99999_fig2.png,27010,99999,8,Gs__,89777,19.4,60.1,9,[,7452,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],9,355,[,267,88,0,0,0,0,0,],0,0,69.05,20.85,1009,2009,2020,FI,,KILPISJARVI SAANA,,027010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027020-99999_fig2.png,27020,99999,7,Gs__,99465,19.4,56.1,6,[,6479,1,0,],2,NaN,23,32,32,[,0,0,],6,360,[,212,141,0,6,1,0,0,],1,0,69.133,27.267,156,2015,2020,FI,,INARI KAAMANEN,,027020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027030-99999_fig2.png,27030,99999,6,Gs__,101109,19.4,55.5,7,[,4375,2,12,],6,13,22,30,33,[,0,0,],6,354,[,147,171,0,30,6,0,0,],3,5,60.2,24.733,32,2009,2014,FI,,ESPOO SEPANKYLA,,027030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027040-99999_fig2.png,27040,99999,6,Gs__,100284,19.4,55.8,12,[,4543,1,6,],2,NaN,22,31,35,[,0,0,],12,356,[,156,174,0,24,3,0,0,],2,2,61.117,24.317,87,2009,2020,FI,,HATTULA LEPAA AWS,,027040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027050-99999_fig2.png,27050,99999,7,Gs__,94743,19.4,57.9,10,[,6224,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],9,355,[,210,137,0,8,0,0,0,],0,0,67.017,27.217,488,2009,2020,FI,,PELKOSENNIEMI PYHATUNTURI,,027050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027060-99999_fig2.png,27060,99999,6,Gs__,100881,19.4,55.6,10,[,4307,0,9,],4,13,19,29,31,[,0,0,],10,357,[,149,182,0,23,3,0,0,],1,3,60.25,24.05,37,2009,2020,FI,,LOHJA PORLA,,027060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027080-99999_fig2.png,27080,99999,6,Gs__,98954,19.4,56.3,7,[,4877,0,1,],1,NaN,25,33,36,[,0,0,],7,359,[,171,173,0,15,1,0,0,],1,1,62.183,22.8,161,2014,2020,FI,,KARVIA ALKKIA,,027080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027100-99999_fig2.png,27100,99999,6,Gs__,99892,19.4,55.9,12,[,5088,0,3,],2,8,20,30,33,[,0,0,],11,356,[,170,166,0,19,2,0,0,],1,1,62.917,26.417,120,2010,2020,FI,,VESANTO SONKARI,,027100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027110-99999_fig2.png,27110,99999,7,Gs__,101048,19.4,55.5,3,[,5143,0,1,],7,NaN,25,34,34,[,0,0,],2,365,[,184,152,0,29,0,0,0,],0,0,63.1,21.617,13,2009,2010,FI,,VAASA KESKUSTA,,027110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027130-99999_fig2.png,27130,99999,6,Gs__,99414,19.4,56.1,7,[,4917,0,0,],2,NaN,NaN,33,35,[,0,0,],6,358,[,176,166,0,15,0,0,0,],0,0,61.217,25.133,134,2014,2019,FI,,HAMEENLINNA LAMMI EVO,,027130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027140-99999_fig2.png,27140,99999,7,Gs__,99421,19.4,56.1,12,[,5393,0,1,],1,NaN,22,32,34,[,0,0,],12,351,[,178,158,0,14,1,0,0,],0,0,64.5,26.44,114,2009,2020,FI,,VAALA PELSO,,027140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027170-99999_fig2.png,27170,99999,7,Gs__,98100,19.4,56.6,12,[,6556,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],12,356,[,206,144,0,6,0,0,0,],0,0,68.167,25.767,272,2009,2020,FI,,KITTILA POKKA,,027170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027180-99999_fig2.png,27180,99999,6,Gs__,100153,19.4,55.8,7,[,4590,1,0,],4,NaN,25,33,36,[,0,0,],7,359,[,159,176,0,23,2,0,0,],1,1,61.517,28.183,98,2014,2020,FI,,PUUMALA KK URHEILUKENTTA,,027180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027190-99999_fig2.png,27190,99999,7,Gs__,98475,19.4,56.5,12,[,6477,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],11,356,[,212,137,0,7,0,0,0,],0,0,67.817,27.75,240,2010,2020,FI,,SODANKYLA KOKKA,,027190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027200-99999_fig2.png,27200,99999,7,Gs__,98944,19.4,56.3,14,[,5940,0,0,],1,0,13,17,17,[,0,0,],15,338,[,181,149,0,8,0,0,0,],0,0,67.701,24.847,196,2006,2020,FI,,KITTILA,,027200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027210-99999_fig2.png,27210,99999,6,Gs__,100694,19.4,55.6,12,[,4890,0,4,],3,13,20,27,31,[,0,0,],12,361,[,186,162,0,11,2,0,0,],0,1,63.95,22.85,6,2009,2020,FI,,KOKKOLA TANKAR,,027210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027220-99999_fig2.png,27220,99999,7,Gs__,97749,19.4,56.7,12,[,6546,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],12,356,[,214,136,0,6,0,0,0,],0,0,68.417,27.417,302,2009,2020,FI,,INARI SAARISELKA,,027220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027230-99999_fig2.png,27230,99999,7,Gs__,98226,19.4,56.6,7,[,6407,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],6,349,[,211,133,0,5,0,0,0,],0,0,67.783,24.85,200,2010,2015,FI,,KITTILA LEVITUNTURI,,027230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027240-99999_fig2.png,27240,99999,5,Gs__,100900,19.4,55.5,5,[,3860,1,12,],5,16,22,28,31,[,0,0,],5,363,[,135,205,0,20,3,0,0,],1,3,60.117,20.3,11,2016,2020,FI,,LUMPARLAND LANGNAS HARBOUR,,027240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027250-99999_fig2.png,27250,99999,7,Gs__,99500,19.4,56.1,12,[,5213,0,1,],1,NaN,22,33,35,[,0,0,],12,356,[,175,166,0,14,1,0,0,],0,1,63.45,24.45,153,2009,2020,FI,,HALSUA KANALA PUROLA,,027250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027260-99999_fig2.png,27260,99999,7,Gs__,96023,19.4,57.4,12,[,6798,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],12,357,[,219,133,0,5,0,0,0,],0,0,68.6,23.583,374,2009,2020,FI,,ENONTEKIO NAKKALA,,027260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027270-99999_fig2.png,27270,99999,6,Gs__,100018,19.4,55.9,10,[,4595,1,7,],5,15,21,29,31,[,0,0,],10,356,[,158,173,0,22,3,0,0,],2,3,61.267,25.517,76,2009,2020,FI,,ASIKKALA PULKKILANHARJU,,027270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027280-99999_fig2.png,27280,99999,7,Gs__,100167,19.4,55.8,3,[,5451,8,5,],8,NaN,28,35,38,[,0,0,],2,364,[,175,156,0,27,5,0,0,],5,2,61.3,28.183,88,2009,2010,FI,,TAIPALSAARI KYLANIEMI,,027280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027290-99999_fig2.png,27290,99999,7,GsVt,98886,19.4,56.3,2,[,5198,9,18,],5,15,23,32,38,[,0,0,],1,330,[,159,127,0,34,10,0,0,],7,7,61.883,25.333,205,2010,2010,FI,,JAMSA HIMOS,,027290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027300-99999_fig2.png,27300,99999,6,GsVt,99416,19.4,56.1,1,[,4271,15,43,],10,15,25,33,37,[,0,0,],1,307,[,126,138,0,32,11,0,0,],10,11,61.833,28.85,157,2010,2010,FI,,SAVOLINNA RUUNAVUORI,,027300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027310-99999_fig2.png,27310,99999,7,Gs__,99674,19.4,56,4,[,5147,6,9,],14,16,25,34,36,[,0,0,],3,354,[,159,160,0,29,6,0,0,],6,3,61.533,28.2,127,2010,2012,FI,,PUUMALA KK,,027310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027320-99999_fig2.png,27320,99999,6,Gs__,99893,19.4,55.9,11,[,4803,2,4,],8,17,26,34,35,[,0,0,],9,353,[,165,159,0,25,3,0,0,],2,2,62.8,27.9,87,2010,2020,FI,,KUOPIO RITONIEMI,,027320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027330-99999_fig2.png,27330,99999,6,Gs__,100506,19.4,55.7,9,[,4842,1,6,],1,11,22,32,34,[,0,0,],9,355,[,157,178,0,19,2,0,0,],1,2,61.033,28.567,46,2010,2020,FI,,LAPPEENRANTA KONNUNSUO,,027330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027340-99999_fig2.png,27340,99999,6,Gs__,100146,19.4,55.8,11,[,4933,0,4,],1,NaN,22,32,34,[,0,0,],11,353,[,165,168,0,18,2,0,0,],1,2,61.45,29.467,75,2010,2020,FI,,PARIKKALA KOITSANLAHTI,,027340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027350-99999_fig2.png,27350,99999,6,Gs__,99660,19.4,56,11,[,4955,0,2,],1,10,21,31,34,[,0,0,],11,355,[,165,173,0,16,1,0,0,],0,1,62.333,23.55,140,2010,2020,FI,,VIRRAT AIJANNEVA,,027350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027360-99999_fig2.png,27360,99999,6,Gs__,99661,19.4,56,10,[,4845,1,6,],2,11,24,33,35,[,0,0,],10,353,[,158,170,0,22,2,0,0,],1,2,61.9,27.883,112,2010,2020,FI,,JUVA PARTALA,,027360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027370-99999_fig2.png,27370,99999,7,Gs__,99794,19.4,56,10,[,5209,0,2,],1,NaN,22,32,34,[,0,0,],10,361,[,179,165,0,15,1,0,0,],0,1,63.817,24.167,84,2010,2020,FI,,TOHOLAMPI LAITALA,,027370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027380-99999_fig2.png,27380,99999,7,Gs__,98993,19.4,56.3,11,[,5319,0,2,],0,NaN,19,30,32,[,0,0,],11,356,[,178,163,0,14,1,0,0,],0,1,63.733,25.7,153,2010,2020,FI,,PYHAJARVI OL OJAKYLA,,027380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027390-99999_fig2.png,27390,99999,7,Gs__,98908,19.4,56.3,11,[,5369,0,2,],2,NaN,20,30,31,[,0,0,],11,356,[,175,163,0,16,1,0,0,],1,1,64.117,28.333,162,2010,2020,FI,,SOTKAMO KUOLANIEMI,,027390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027410-99999_fig2.png,27410,99999,6,Gs__,100875,19.4,55.6,11,[,4147,0,6,],2,14,22,30,32,[,0,0,],11,361,[,142,200,0,17,2,0,0,],1,2,60.183,19.983,11,2009,2020,FI,,JOMALA JOMLABY,,027410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027430-99999_fig2.png,27430,99999,5,Gs__,101229,19.4,55.4,10,[,3912,1,17,],5,14,21,27,31,[,0,0,],10,355,[,141,189,0,20,5,0,0,],1,5,59.867,22.2,8,2010,2020,FI,,KEMIONSAARI VANO,,027430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/027440-99999_fig2.png,27440,99999,6,Gs__,100225,19.4,55.8,6,[,4227,6,3,],2,21,27,33,36,[,0,0,],6,358,[,147,179,0,27,5,0,0,],5,1,61.5,23.767,92,2014,2020,FI,,TAMPERE SATAKUNNANKATU,,027440-99999_fig2.png
