URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/916500-99999_fig2.png,916500,99999,0,__Ac,101010,19.4,55.5,34,[,0,1197,7288,],2,11,16,21,29,[,239,0,],12,346,[,0,0,0,0,35,0,311,],346,346,-12.5,177.05,26,1987,2010,FJ,,ROTUMA ISLAND,,916500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916520-99999_fig2.png,916520,99999,1,__Ac,100453,19.4,55.7,32,[,0,738,5320,],4,12,17,22,33,[,112,1,],13,334,[,0,0,0,6,150,0,178,],314,326,-16.133,-179.983,63,1987,2020,FJ,,UDU POINT AWS,,916520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916590-99999_fig2.png,916590,99999,1,__Ac,100893,19.4,55.5,33,[,0,641,4679,],4,12,17,22,32,[,95,0,],13,331,[,0,0,0,10,177,0,144,],296,319,-17,178.7,36,1987,2010,FJ,,NABOUWALU,,916590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916600-99999_fig2.png,916600,99999,2,__Ac,100549,19.4,55.7,30,[,1,735,5055,],1,10,14,19,30,[,134,15,],14,284,[,0,0,0,4,102,0,178,],268,277,-16.7,177.583,50,1994,2020,FJ,,YASAWA-I-RARA AWS,,916600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916690-99999_fig2.png,916690,99999,1,__Ac,100973,19.4,55.5,18,[,0,642,4436,],2,11,17,24,36,[,105,3,],7,322,[,0,0,0,19,177,0,126,],277,302,-17.35,178.217,15,2008,2020,FJ,,RAKIRAKI AWS,,916690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916700-99999_fig2.png,916700,99999,1,__Ac,101001,19.4,55.5,34,[,0,976,5587,],6,14,18,23,33,[,146,3,],14,344,[,0,0,0,5,141,0,198,],333,338,-17.15,176.9,5,1987,2020,FJ,,VIWA AWS,,916700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916760-99999_fig2.png,916760,99999,2,__Ac,100477,19.4,55.7,30,[,0,509,3772,],2,10,13,17,25,[,89,1,],13,249,[,0,0,0,8,124,0,117,],226,239,-17.233,-178.95,52,1990,2020,FJ,,VANUA BALAVU AWS,,916760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916790-99999_fig2.png,916790,99999,1,____,101330,19.4,55.4,0,[,0,778,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],10,353,[,NaN,0,NaN,0,353,NaN,NaN,],318,353,-17.6,177.45,0,1999,2008,FJ,,LAUTOKA QUEENS WHARF,,916790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916800-99999_fig2.png,916800,99999,1,__Ac,101110,19.4,55.5,34,[,0,617,4139,],0,10,18,26,36,[,131,0,],34,364,[,0,0,0,36,208,0,120,],290,326,-17.755,177.443,18,1987,2020,FJ,,NADI INTL,,916800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916820-99999_fig2.png,916820,99999,3,__Ac,100878,19.4,55.6,9,[,0,102,1000,],0,2,4,7,9,[,27,1,],11,86,[,0,0,0,9,53,0,24,],58,77,-18.15,177.417,8,2014,2020,FJ,,SIGATOKA AWS,,916820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916830-99999_fig2.png,916830,99999,1,__Ac,101240,19.4,55.4,34,[,0,475,4552,],1,9,16,23,32,[,105,0,],34,364,[,0,0,0,27,211,0,126,],254,337,-18.043,178.559,5,1987,2020,FJ,,NAUSORI INTL,,916830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916890-99999_fig2.png,916890,99999,1,____,101325,19.4,55.4,0,[,473,514,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],9,363,[,NaN,74,NaN,0,289,NaN,NaN,],257,341,-18.133,178.433,0,2003,2011,FJ,,SUVA KINGS WHARF,,916890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916910-99999_fig2.png,916910,99999,1,__Ac,101241,19.4,55.4,34,[,3,639,4765,],2,11,16,22,32,[,106,2,],13,332,[,0,0,0,19,164,0,148,],277,311,-18.233,-178.8,3,1987,2020,FJ,,LAKEMBA ISLAND,,916910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916930-99999_fig2.png,916930,99999,1,__Ac,100930,19.4,55.5,34,[,0,464,3844,],2,12,17,22,33,[,66,0,],13,336,[,0,0,0,37,196,0,103,],232,298,-19.05,178.167,33,1987,2010,FJ,,VUNISEA,,916930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916970-99999_fig2.png,916970,99999,1,__Ac,101192,19.4,55.4,33,[,0,525,3635,],4,14,18,24,34,[,69,1,],13,338,[,0,0,0,49,188,0,101,],239,288,-19.133,179.75,5,1987,2016,FJ,,MATUKU AWS,,916970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/916990-99999_fig2.png,916990,99999,2,__Ac,101102,19.4,55.5,30,[,0,453,3606,],3,13,17,22,33,[,66,4,],19,336,[,0,0,0,62,173,0,101,],209,273,-20.667,-178.717,28,1987,2020,FJ,,ONO-I-LAU AWS,,916990-99999_fig2.png
