URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/913340-40505_fig2.png,913340,40505,1,__Ac,100896,19.4,55.5,31,[,0,1327,7504,],1,9,15,20,27,[,300,2,],34,333,[,0,0,0,0,1,0,332,],333,333,7.467,151.85,2,1987,2020,FM,FM,CHUUK INTERNATIONAL AIRPORT,,913340-40505_fig2.png
https://bioclimatic.github.io/predilection/psych/914130-40308_fig2.png,914130,40308,0,__Ac,100922,19.4,55.5,34,[,0,1338,7904,],2,8,17,23,31,[,329,3,],34,365,[,0,0,0,0,13,0,352,],365,365,9.483,138.083,13,1987,2020,FM,FM,YAP INTERNATIONAL AIRPORT,,914130-40308_fig2.png
https://bioclimatic.github.io/predilection/psych/912040-99999_fig2.png,912040,99999,0,____,100838,19.4,55.6,0,[,0,1462,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,333,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],333,333,10.033,139.8,2,1996,1996,FM,,ULITHI  ULITHI ATOLL  CAROLIN,,912040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/913280-99999_fig2.png,913280,99999,0,____,101064,19.4,55.5,0,[,0,1353,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],5,363,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],363,363,8.583,149.65,2,1993,1997,FM,,ULUI ATOLL (AMOS),,913280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/913380-99999_fig2.png,913380,99999,3,____,101301,19.4,55.4,0,[,0,341,0,],0,0,0,0,0,[,0,0,],6,88,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],88,88,5.333,153.733,2,1994,1995,FM,,SATAWAN ATOLL AWS  CAROLINE I,,913380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/913430-99999_fig2.png,913430,99999,2,____,101289,19.4,55.4,0,[,0,810,0,],0,0,0,0,0,[,0,0,],4,217,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],217,217,7.633,155.167,3,1992,1997,FM,,OROLUK ATOLL AWS  CAROLINE IS,,913430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/913481-99999_fig2.png,913481,99999,0,__Ac,100857,19.4,55.6,16,[,0,1228,7717,],1,9,16,23,30,[,336,1,],16,363,[,0,0,0,0,7,0,356,],363,363,6.967,158.217,39,2005,2020,FM,,POHNPEI WEATHER CENTER,,913481-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/913520-99999_fig2.png,913520,99999,0,____,101009,19.4,55.5,0,[,0,1292,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],5,357,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],357,357,6.217,160.7,4,1993,1997,FM,,PINGELAP ATOLL AWS  CAROLINE,,913520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/913550-99999_fig2.png,913550,99999,0,____,101301,19.4,55.4,0,[,0,1161,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],4,364,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],364,364,5.35,162.95,2,1993,1996,FM,,KOSRAE ATOLL AWS  CAROLINE IS,,913550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/914110-99999_fig2.png,914110,99999,2,____,100929,19.4,55.5,0,[,0,897,0,],0,0,0,0,0,[,0,0,],1,236,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],236,236,8.3,137.483,3,1996,1997,FM,,NGULU  CAROLINE IS.,,914110-99999_fig2.png
