URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/919250-99999_fig2.png,919250,99999,1,__Ac,100611,19.4,55.7,34,[,0,847,4863,],5,13,20,27,35,[,125,0,],34,362,[,0,0,0,0,242,0,120,],360,361,-9.8,-139.033,53,1987,2020,FP,,HIVA-OA,,919250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919290-99999_fig2.png,919290,99999,0,__Ac,101288,19.4,55.4,22,[,0,1170,6038,],5,14,19,25,34,[,181,0,],22,362,[,0,0,0,0,126,0,236,],360,360,-16.433,-151.75,3,1999,2020,FP,,BORA-BORA,,919290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919300-99999_fig2.png,919300,99999,3,__Ac,101172,19.4,55.4,10,[,0,384,2160,],1,4,6,8,12,[,57,0,],28,135,[,0,0,0,1,52,0,82,],133,134,-16.444,-151.751,3,1987,1997,FP,,BORA BORA,,919300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919380-99999_fig2.png,919380,99999,0,__Ac,101289,19.4,55.4,34,[,0,947,4851,],6,13,20,27,35,[,129,0,],34,364,[,0,0,0,6,195,0,163,],352,356,-17.554,-149.607,2,1987,2020,FP,,TAHITI FAAA,,919380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919410-99999_fig2.png,919410,99999,0,__Ac,101289,19.4,55.4,2,[,0,1246,6623,],4,13,18,22,32,[,200,0,],1,342,[,0,0,0,1,52,0,289,],341,340,-14.954,-147.661,3,1987,1987,FP,,RANGIROA,,919410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919430-99999_fig2.png,919430,99999,0,__Ac,101177,19.4,55.4,34,[,0,1330,6368,],5,16,20,24,31,[,160,1,],28,357,[,0,0,0,0,77,0,280,],357,357,-14.483,-145.033,3,1987,2016,FP,,TAKAROA,,919430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919440-99999_fig2.png,919440,99999,1,__Ac,101426,19.4,55.4,26,[,0,922,5151,],5,15,19,23,33,[,73,0,],25,355,[,0,0,0,4,178,0,173,],344,347,-18.075,-140.946,3,1987,2020,FP,,HAO,,919440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919450-99999_fig2.png,919450,99999,1,__Ac,101384,19.4,55.4,30,[,1,648,4230,],3,13,18,23,33,[,61,0,],22,336,[,0,0,0,21,193,0,122,],287,312,-19.9,-144.949,3,1988,2016,FP,,HEREHERETUE,,919450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919480-99999_fig2.png,919480,99999,2,__Ac,100723,19.4,55.6,34,[,1,201,2488,],2,12,17,22,31,[,2,0,],34,358,[,0,2,0,86,250,0,20,],144,270,-23.133,-134.967,89,1987,2020,FP,,MANGAREVA,,919480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919520-99999_fig2.png,919520,99999,1,__Ac,101584,19.4,55.3,12,[,0,512,3951,],2,13,18,22,33,[,49,0,],10,362,[,0,0,0,42,217,0,103,],258,319,-21.817,-138.8,3,1987,1996,FP,,MUROROA ATOLL (MIL),,919520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919540-99999_fig2.png,919540,99999,2,__Ac,101556,19.4,55.3,34,[,2,263,2618,],1,12,17,22,32,[,15,0,],34,359,[,0,3,0,105,202,0,49,],163,250,-23.365,-149.524,2,1987,2020,FP,,TUBUAI,,919540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/919580-99999_fig2.png,919580,99999,2,HpVt,101760,19.4,55.2,34,[,72,64,1143,],0,12,17,21,29,[,0,0,],34,362,[,0,60,0,158,136,0,8,],59,144,-27.617,-144.333,2,1987,2020,FP,,RAPA,,919580-99999_fig2.png
