URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/070020-99999_fig2.png,70020,99999,4,Gs__,100728,19.4,55.6,32,[,2633,4,3,],8,17,28,34,36,[,0,0,],32,359,[,37,297,0,23,2,0,0,],2,1,50.733,1.6,74,1987,2020,FR,,BOULOGNE,,070020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070030-99999_fig2.png,70030,99999,4,Gs__,101125,19.4,55.5,31,[,2455,4,7,],7,9,24,32,34,[,0,0,],31,346,[,40,273,0,30,3,0,0,],2,3,50.515,1.627,11,1987,2020,FR,,LE TOUQUET PARIS PLAGE,,070030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070050-99999_fig2.png,70050,99999,4,Gs__,100735,19.4,55.6,31,[,2800,3,3,],6,16,25,35,37,[,0,0,],31,363,[,56,277,0,28,2,0,0,],2,1,50.143,1.832,67,1987,2020,FR,,ABBEVILLE,,070050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070090-99999_fig2.png,70090,99999,3,Hp__,101543,19.4,55.3,10,[,617,0,1,],1,0,4,5,5,[,0,0,],32,90,[,8,74,0,8,0,0,0,],0,0,50.967,1.95,3,2012,2020,FR,,CALAIS/DUNKERQUE,,070090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070100-99999_fig2.png,70100,99999,4,Gs__,101340,19.4,55.4,32,[,2470,1,4,],7,14,23,31,34,[,0,0,],31,356,[,35,285,0,34,2,0,0,],1,2,51.05,2.333,17,1987,2020,FR,,DUNKERQUE,,070100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070150-99999_fig2.png,70150,99999,4,Gs__,100646,19.4,55.6,33,[,2667,7,6,],8,10,25,34,36,[,0,0,],34,353,[,57,252,0,40,4,0,0,],4,3,50.562,3.089,48,1987,2020,FR,,LESQUIN,,070150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070160-99999_fig2.png,70160,99999,3,Hp__,100581,19.4,55.7,3,[,99,0,0,],0,0,0,0,0,[,0,0,],24,15,[,1,13,0,1,0,0,0,],0,0,50.333,3,48,2011,2011,FR,,VITRY-EN-ARTOIS,,070160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070170-99999_fig2.png,70170,99999,4,Gs__,100404,19.4,55.7,21,[,2280,4,6,],5,2,19,27,29,[,0,0,],22,294,[,54,206,0,30,3,0,0,],3,3,50.222,3.154,78,1987,2011,FR,,EPINOY,,070170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070190-99999_fig2.png,70190,99999,3,Hp__,101241,19.4,55.4,0,[,1193,0,0,],0,0,0,0,0,[,0,0,],11,187,[,0,176,0,8,3,0,0,],0,3,49.7,-1.267,7,1987,2012,FR,,BARFLEUR (POINT),,070190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070200-99999_fig2.png,70200,99999,4,Gs__,101437,19.4,55.4,29,[,2110,0,0,],1,0,16,22,22,[,0,0,],29,343,[,11,321,0,11,0,0,0,],0,0,49.717,-1.933,12,1987,2020,FR,,LA HAGUE,,070200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070220-99999_fig2.png,70220,99999,3,Hp__,99773,19.4,56,0,[,1264,0,0,],0,0,0,0,0,[,0,0,],10,198,[,0,184,0,9,5,0,0,],0,6,49.65,-1.5,130,1987,2013,FR,,VIGITE DU HAUMET,,070220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070240-99999_fig2.png,70240,99999,4,Gs__,99639,19.4,56,32,[,2686,0,0,],2,NaN,24,34,34,[,0,0,],20,362,[,31,319,0,12,0,0,0,],0,0,49.65,-1.47,140,1987,2020,FR,,MAUPERTUS,,070240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070270-99999_fig2.png,70270,99999,4,Gs__,100490,19.4,55.7,33,[,2508,2,2,],4,0,23,32,34,[,0,0,],34,353,[,38,282,0,31,2,0,0,],1,1,49.173,-0.45,78,1987,2020,FR,,CARPIQUET,,070270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070280-99999_fig2.png,70280,99999,4,Gs__,100027,19.4,55.9,33,[,2557,3,4,],7,14,26,35,37,[,0,0,],33,362,[,34,298,0,28,2,0,0,],2,1,49.534,0.088,95,1987,2020,FR,,OCTEVILLE,,070280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070290-99999_fig2.png,70290,99999,3,Gs__,100775,19.4,55.6,14,[,1621,0,2,],2,3,9,12,12,[,0,0,],19,224,[,21,189,0,13,1,0,0,],0,1,49.35,-0.767,73,1987,2006,FR,,PORT EN BESSIN,,070290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070310-99999_fig2.png,70310,99999,4,Gs__,99531,19.4,56.1,23,[,2107,2,2,],5,3,17,23,23,[,0,0,],27,278,[,34,223,0,19,2,0,0,],1,1,49.365,0.154,146,1987,2020,FR,,ST GATIEN,,070310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070340-99999_fig2.png,70340,99999,3,Hp__,100547,19.4,55.7,7,[,960,2,1,],1,0,5,6,6,[,0,0,],14,147,[,8,122,0,14,3,0,0,],1,4,49.367,-1.8,65,1987,2006,FR,,CARTERET,,070340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070370-99999_fig2.png,70370,99999,4,Gs__,99418,19.4,56.1,30,[,2836,4,3,],6,NaN,26,35,37,[,0,0,],30,363,[,60,266,0,34,3,0,0,],3,2,49.384,1.175,156,1987,2020,FR,,VALLEE DE SEINE,,070370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070380-99999_fig2.png,70380,99999,4,Gs__,100053,19.4,55.9,4,[,2762,15,8,],10,NaN,27,37,40,[,1,0,],4,365,[,63,255,0,41,5,1,1,],6,3,49.029,1.22,141,2001,2004,FR,,FAUVILLE,,070380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070390-99999_fig2.png,70390,99999,3,Gs__,100590,19.4,55.7,11,[,1455,0,1,],1,3,5,7,8,[,0,0,],16,201,[,20,171,0,9,1,0,0,],0,0,49.517,-1.5,61,2000,2008,FR,,VALOGNES (AUT),,070390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070400-99999_fig2.png,70400,99999,4,Gs__,101110,19.4,55.5,34,[,2579,1,2,],5,13,24,34,36,[,0,0,],34,358,[,38,297,0,22,1,0,0,],1,1,49.933,1.1,38,1987,2020,FR,,DIEPPE,,070400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070460-99999_fig2.png,70460,99999,4,Gs__,100526,19.4,55.7,18,[,2522,3,2,],7,NaN,30,38,40,[,0,0,],18,361,[,35,297,0,27,2,0,0,],2,1,49.533,0.083,94,2002,2020,FR,,LE HAVRE-OCTEVILLE,,070460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070530-99999_fig2.png,70530,99999,3,Gs__,100633,19.4,55.6,13,[,789,3,1,],2,1,8,11,12,[,0,0,],28,110,[,15,78,0,15,2,0,0,],2,1,49.083,2.033,88,2011,2020,FR,,CORMEILLES,,070530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070550-99999_fig2.png,70550,99999,4,Gs__,99951,19.4,55.9,34,[,2803,5,4,],5,NaN,25,36,38,[,0,0,],34,364,[,62,259,0,38,4,0,0,],3,2,49.454,2.113,109,1987,2020,FR,,TILLE,,070550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070570-99999_fig2.png,70570,99999,3,Gs__,100584,19.4,55.7,23,[,1818,6,4,],6,3,18,24,26,[,0,0,],31,245,[,40,171,0,31,3,0,0,],3,2,49.254,2.519,89,1999,2020,FR,,CREIL,,070570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070590-99999_fig2.png,70590,99999,3,Gs__,100313,19.4,55.8,9,[,754,2,1,],2,1,6,8,9,[,0,0,],30,101,[,13,76,0,10,1,0,0,],1,1,49.967,2.704,111,2011,2020,FR,,MEAULTE,,070590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070610-99999_fig2.png,70610,99999,4,Gs__,100451,19.4,55.7,31,[,2900,5,8,],7,10,25,35,37,[,0,0,],31,361,[,70,253,0,34,4,0,0,],3,3,49.817,3.2,101,1987,2020,FR,,ST. QUENTIN/ROUPY,,070610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070700-99999_fig2.png,70700,99999,4,Gs__,100251,19.4,55.8,25,[,2853,6,8,],5,12,25,35,38,[,0,0,],24,364,[,69,245,0,44,5,0,0,],4,4,49.31,4.05,95,1987,2011,FR,,CHAMPAGNE,,070700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070720-99999_fig2.png,70720,99999,3,Gs__,100125,19.4,55.8,8,[,659,3,1,],2,0,5,7,8,[,0,0,],32,88,[,13,61,0,11,2,0,0,],2,1,49.217,4.15,96,2013,2020,FR,,REIMS-PRUNAY,,070720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070750-99999_fig2.png,70750,99999,4,Gs__,99900,19.4,55.9,29,[,2845,2,5,],2,4,21,31,32,[,0,0,],32,330,[,74,224,0,29,3,0,0,],2,2,49.784,4.647,149,1990,2020,FR,,CHARLEVILLE MEZIERES,,070750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070900-99999_fig2.png,70900,99999,4,Gs__,99041,19.4,56.2,26,[,2741,12,8,],9,15,26,34,37,[,1,0,],26,347,[,66,222,0,51,7,0,1,],7,3,49.072,6.132,192,1987,2012,FR,,FRESCATY,,070900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/070930-99999_fig2.png,70930,99999,4,Gs__,98169,19.4,56.6,28,[,2949,17,6,],10,13,30,38,40,[,0,0,],28,363,[,79,225,0,50,7,1,1,],9,3,48.982,6.251,265,1993,2020,FR,,METZ NANCY LORRAINE,,070930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071000-99999_fig2.png,71000,99999,4,Hp__,100764,19.4,55.6,34,[,2249,0,0,],0,NaN,18,21,21,[,0,0,],34,361,[,5,353,0,3,0,0,0,],0,0,48.483,-5.05,68,1987,2020,FR,,OUESSANT,,071000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071030-99999_fig2.png,71030,99999,3,Hp__,100260,19.4,55.8,17,[,1313,0,0,],0,0,2,2,2,[,0,0,],28,208,[,7,195,0,6,0,0,0,],0,0,48.033,-4.733,89,1987,2020,FR,,POINTE DU RAZ,,071030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071060-99999_fig2.png,71060,99999,4,Gs__,99890,19.4,55.9,26,[,2126,0,1,],2,5,13,19,19,[,0,0,],24,304,[,21,270,0,13,0,0,0,],0,0,48.53,-4.152,106,1991,2020,FR,,LANDIVISIAU,,071060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071070-99999_fig2.png,71070,99999,3,Hp__,101626,19.4,55.3,25,[,1674,0,0,],0,0,2,2,2,[,0,0,],30,274,[,7,260,0,7,0,0,0,],0,0,48.683,-4.333,18,1987,2017,FR,,BRIGNOGAN,,071070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071090-99999_fig2.png,71090,99999,3,Gs__,100264,19.4,55.8,25,[,1805,0,1,],2,2,11,16,16,[,0,0,],26,282,[,14,252,0,15,1,0,0,],0,0,48.282,-4.445,88,1991,2020,FR,,POULMIC,,071090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071100-99999_fig2.png,71100,99999,4,Gs__,100053,19.4,55.9,34,[,2483,0,1,],1,NaN,24,34,35,[,0,0,],34,363,[,23,323,0,16,1,0,0,],0,0,48.448,-4.419,99,1987,2020,FR,,GUIPAVAS,,071100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/071160-99999_fig2.png,71160,99999,3,Hp__,100881,19.4,55.6,15,[,892,0,0,],0,0,3,4,4,[,0,0,],28,151,[,5,139,0,7,0,0,0,],0,0,48.75,-4.017,37,1987,2020,FR,,BATZ ISLAND,,071160-99999_fig2.png
