URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/785141-99999_fig2.png,785141,99999,3,__Ac,101289,19.4,55.4,1,[,0,342,1666,],0,3,5,6,8,[,47,1,],4,90,[,0,0,0,0,27,0,63,],84,90,15.933,-85.933,3,2008,2008,HO,,TRUJILLO,,785141-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787000-99999_fig2.png,787000,99999,0,__Ac,101271,19.4,55.4,33,[,0,2206,7276,],0,13,23,29,41,[,332,60,],23,348,[,0,0,0,0,3,0,345,],348,348,13.283,-87.667,5,1988,2018,HO,,AMAPALA/LOS PELONAS,,787000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787010-99999_fig2.png,787010,99999,0,__Ac,101175,19.4,55.4,7,[,0,1686,7778,],0,10,19,25,36,[,287,104,],2,330,[,0,0,0,0,31,0,299,],329,330,16.445,-85.907,15,1991,1992,HO,,LA LAGUNA AIRPORT - GUANAJA,,787010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787013-99999_fig2.png,787013,99999,3,__Ac,101301,19.4,55.4,13,[,1,223,698,],0,7,12,15,21,[,2,0,],6,194,[,0,1,0,41,130,1,21,],126,133,16.467,-86.067,2,1990,2008,HO,,GUANAJA ISLAND,,787013-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787030-99999_fig2.png,787030,99999,0,__Ac,101325,19.4,55.4,29,[,0,1533,6949,],0,13,20,24,33,[,227,4,],28,353,[,0,0,0,2,72,0,279,],343,351,16.317,-86.523,6,1991,2020,HO,,JUAN MANUEL GALVEZ INTL,,787030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787040-99999_fig2.png,787040,99999,0,__Ac,101312,19.4,55.4,15,[,0,1471,6338,],0,10,21,26,35,[,215,13,],15,353,[,0,0,0,2,91,0,260,],334,351,15.93,-85.93,3,2006,2020,HO,,TRUJILLO HONDURAS,,787040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787050-99999_fig2.png,787050,99999,1,__Ac,101123,19.4,55.5,33,[,0,882,5412,],0,8,18,25,33,[,189,2,],32,353,[,0,0,0,8,163,0,182,],293,344,15.742,-86.853,15,1987,2020,HO,,GOLOSON INTL,,787050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787060-99999_fig2.png,787060,99999,0,__Ac,101120,19.4,55.5,32,[,0,1314,6883,],0,7,18,23,33,[,238,16,],29,343,[,0,0,0,4,80,0,259,],313,338,15.776,-87.476,2,1988,2020,HO,,TELA,,787060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787070-99999_fig2.png,787070,99999,2,__Ac,93723,19.4,58.4,32,[,6,481,1894,],0,11,21,29,39,[,28,0,],25,313,[,0,6,0,48,195,2,62,],206,248,15.167,-87.117,670,1992,2020,HO,,YORO,,787070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787080-99999_fig2.png,787080,99999,1,__Ac,100977,19.4,55.5,34,[,0,1125,5999,],0,9,19,28,40,[,260,59,],34,353,[,0,0,0,7,115,0,231,],307,345,15.453,-87.924,28,1987,2020,HO,,LA MESA INTL,,787080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787110-99999_fig2.png,787110,99999,0,__Ac,101171,19.4,55.4,34,[,0,1360,6743,],0,11,19,23,33,[,212,2,],26,345,[,0,0,0,0,59,0,286,],341,344,15.261,-83.781,8,1988,2019,HO,,PUERTO LEMPIRA,,787110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787140-99999_fig2.png,787140,99999,1,__Ac,96127,19.4,57.4,34,[,0,707,3162,],0,12,22,30,42,[,89,0,],29,347,[,0,0,0,14,232,2,99,],282,324,14.9,-85.933,442,1988,2020,HO,,CATACAMAS,,787140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787170-99999_fig2.png,787170,99999,2,HpVt,89443,19.4,60.3,32,[,85,68,335,],2,16,22,30,40,[,1,0,],32,353,[,0,44,0,164,141,1,3,],58,123,14.783,-88.783,1079,1987,2020,HO,,SANTA ROSA DE COPAN,,787170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787180-99999_fig2.png,787180,99999,2,__Ac,94027,19.4,58.2,24,[,2,487,1428,],1,13,23,30,41,[,14,0,],18,327,[,0,2,0,53,209,12,51,],232,238,14.433,-89.2,626,1993,2020,HO,,NUEVA OCOTEPEQUE,,787180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787190-99999_fig2.png,787190,99999,3,Hp__,84464,19.4,62.7,30,[,227,1,1,],0,NaN,19,27,31,[,0,0,],23,351,[,0,120,0,230,1,0,0,],1,0,14.333,-88.167,1100,1990,2020,HO,,LA ESPERANZA,,787190-99999_fig2.png
