URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/130330-99999_fig2.png,130330,99999,4,GsVt,99661,19.4,56,9,[,2682,22,32,],4,30,28,33,39,[,0,0,],1,338,[,80,178,0,63,14,0,3,],16,11,46.3,16.383,167,1995,1995,HR,,VARAZDIN,,130330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131160-99999_fig2.png,131160,99999,3,HpAc,100312,19.4,55.8,33,[,1525,192,108,],12,23,31,35,42,[,2,0,],32,345,[,2,205,0,73,37,10,18,],63,29,45.217,14.57,85,1987,2020,HR,,RIJEKA,,131160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131280-99999_fig2.png,131280,99999,3,Hp__,90228,19.4,59.9,4,[,779,0,0,],0,0,0,0,0,[,0,0,],4,68,[,0,62,0,6,0,0,0,],0,0,45.9,15.967,988,1995,1995,HR,,PUNTIJARKA (MOUNT),,131280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131300-99999_fig2.png,131300,99999,4,GsVt,100163,19.4,55.8,9,[,2769,13,21,],4,NaN,27,36,38,[,0,0,],4,353,[,81,196,0,62,13,0,1,],11,7,45.817,16.033,123,1988,1995,HR,,ZAGREB/MAKSIMIR,,131300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131310-99999_fig2.png,131310,99999,4,GsVt,100403,19.4,55.7,10,[,2958,15,38,],5,11,26,36,39,[,1,0,],7,365,[,90,195,0,63,17,0,0,],13,14,45.733,16.067,106,1987,1995,HR,,ZAGREB/PLESO,,131310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131420-99999_fig2.png,131420,99999,4,GsVt,99794,19.4,56,9,[,2689,24,29,],6,13,29,38,40,[,2,0,],4,351,[,78,191,0,65,15,0,2,],14,10,45.6,17.233,161,1988,1995,HR,,DARUVAR,,131420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131500-99999_fig2.png,131500,99999,3,GsVt,100584,19.4,55.7,6,[,2011,22,64,],0,6,16,23,26,[,3,0,],6,256,[,58,138,0,42,16,0,2,],13,15,45.167,18,88,1987,1995,HR,,SLAVONSKI BROD,,131500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131570-99999_fig2.png,131570,99999,4,GsVt,100260,19.4,55.8,6,[,2687,29,33,],11,12,29,38,40,[,3,0,],3,336,[,89,173,0,56,15,0,3,],17,12,45.533,18.733,89,1988,1990,HR,,OSIJEK,,131570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132090-99999_fig2.png,132090,99999,3,GsVt,100811,19.4,55.6,10,[,2000,79,101,],4,14,25,33,41,[,1,0,],7,364,[,14,230,0,74,37,2,7,],39,27,44.9,13.917,67,1987,1995,HR,,PULA,,132090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132140-99999_fig2.png,132140,99999,3,HpAc,100897,19.4,55.5,9,[,1303,113,344,],5,16,24,31,40,[,5,0,],1,319,[,3,187,0,69,44,0,16,],54,53,44.533,14.467,53,1995,1995,HR,,MALI LOSINJ,,132140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132230-99999_fig2.png,132230,99999,5,Gs__,95227,19.4,57.7,9,[,3301,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],3,348,[,89,219,0,39,1,0,0,],1,0,44.55,15.367,564,1988,1990,HR,,GOSPIC,,132230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132240-99999_fig2.png,132240,99999,3,GsEv,100549,19.4,55.7,7,[,1387,72,63,],3,11,20,26,30,[,2,0,],7,255,[,12,160,0,48,24,5,6,],30,18,44.083,15.35,82,1987,1995,HR,,ZADAR/ZEMUNIK,,132240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/133330-99999_fig2.png,133330,99999,3,HpAc,101268,19.4,55.4,10,[,1618,139,62,],13,19,31,37,42,[,1,0,],7,365,[,1,224,0,84,36,8,12,],57,22,43.533,16.3,24,1987,1995,HR,,SPLIT/KASTEL STAFIL,,133330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/133340-99999_fig2.png,133340,99999,3,HpVt,100029,19.4,55.9,5,[,300,31,21,],3,5,6,7,9,[,0,0,],5,70,[,0,43,0,16,7,1,3,],11,5,43.517,16.433,128,1995,1995,HR,,SPLIT/MARJAN,,133340-99999_fig2.png
