URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/127560-99999_fig2.png,127560,99999,5,GsVt,99934,19.4,55.9,18,[,3247,11,26,],4,14,25,36,39,[,2,0,],18,360,[,101,184,0,64,11,0,0,],9,9,48.117,19.517,153,2002,2020,HU,,SZECSENY,,127560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/127660-99999_fig2.png,127660,99999,5,Gs__,98045,19.4,56.6,19,[,3291,10,10,],10,17,26,35,37,[,0,0,],19,360,[,85,202,0,64,9,0,0,],8,4,48.483,20.533,305,2002,2020,HU,,JOSVAFO,,127660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/127720-99999_fig2.png,127720,99999,5,GsVt,99805,19.4,56,34,[,3176,25,21,],11,16,28,37,40,[,1,0,],34,364,[,87,192,0,68,15,1,1,],16,8,48.083,20.767,236,1987,2020,HU,,MISKOLC,,127720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/127860-99999_fig2.png,127860,99999,4,GsVt,100519,19.4,55.7,18,[,3041,29,49,],8,13,27,36,40,[,3,0,],18,360,[,88,178,0,72,20,0,2,],19,14,48.4,22.167,104,2002,2020,HU,,ZAHONY,,127860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128050-99999_fig2.png,128050,99999,4,GsVt,100356,19.4,55.7,34,[,2991,21,32,],7,15,27,36,40,[,1,0,],34,362,[,81,201,0,64,15,0,1,],13,11,47.683,16.6,239,1987,2020,HU,,SOPRON,,128050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128120-99999_fig2.png,128120,99999,4,GsVt,99373,19.4,56.1,34,[,3065,17,20,],6,11,26,36,39,[,1,0,],34,363,[,88,196,0,64,14,0,1,],12,7,47.283,16.633,223,1987,2020,HU,,SZOMBATHELY ARPT / VAS,,128120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128150-99999_fig2.png,128150,99999,4,GsVt,100298,19.4,55.8,24,[,2872,29,29,],9,14,28,37,41,[,2,0,],24,357,[,81,189,0,68,16,1,2,],17,11,47.883,17.283,122,1997,2020,HU,,MOSONMAGYAROVAR,,128150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128220-99999_fig2.png,128220,99999,4,GsVt,99930,19.4,55.9,34,[,2969,29,30,],7,15,27,37,41,[,2,0,],34,364,[,86,192,0,67,16,1,2,],17,11,47.717,17.683,129,1987,2020,HU,,GYOR,,128220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128250-99999_fig2.png,128250,99999,4,GsVt,99580,19.4,56,34,[,2953,29,29,],7,13,28,36,40,[,1,0,],32,363,[,84,195,0,65,16,1,2,],17,11,47.364,17.501,152,1987,2020,HU,,PAPA,,128250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128300-99999_fig2.png,128300,99999,4,GsVt,98448,19.4,56.5,30,[,3066,25,14,],11,16,29,36,39,[,0,0,],28,359,[,84,195,0,63,14,2,1,],16,6,47.067,17.833,281,1989,2020,HU,,VESZPREM/SZENTKIRALYSZABADJA,,128300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128305-99999_fig2.png,128305,99999,4,GsVt,100082,19.4,55.8,6,[,2831,32,24,],6,23,30,35,41,[,0,0,],4,339,[,84,169,0,68,15,0,4,],18,10,47.346,18.981,104,1996,1999,HU,,TOKOL,,128305-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128360-99999_fig2.png,128360,99999,4,GsVt,100279,19.4,55.8,19,[,2868,39,47,],8,17,28,37,42,[,3,0,],19,361,[,82,186,0,69,19,1,4,],20,15,47.65,18.317,129,2002,2020,HU,,TATA,,128360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128380-99999_fig2.png,128380,99999,4,GsVt,99750,19.4,56,6,[,2891,21,15,],11,10,29,37,41,[,0,0,],5,360,[,88,191,0,65,16,0,1,],16,7,47.45,18.967,132,1987,1991,HU,,BUDAORS,,128380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128390-99999_fig2.png,128390,99999,4,GsVt,99120,19.4,56.2,34,[,3033,32,48,],8,14,28,36,40,[,2,0,],34,364,[,88,188,0,66,19,1,2,],19,13,47.437,19.256,151,1987,2020,HU,,FERIHEGY,,128390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128430-99999_fig2.png,128430,99999,4,GsVt,100100,19.4,55.8,34,[,2876,49,28,],13,17,30,38,42,[,1,0,],34,364,[,78,187,0,73,21,2,3,],25,10,47.433,19.183,139,1987,2020,HU,,BUDAPEST/PESTSZENTLORINC,,128430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/128460-99999_fig2.png,128460,99999,4,GsVt,100516,19.4,55.7,19,[,2843,39,60,],9,17,28,36,41,[,3,0,],19,361,[,83,180,0,71,23,1,3,],24,18,47.183,18.617,106,2002,2020,HU,,AGARD,,128460-99999_fig2.png
