URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/960010-99999_fig2.png,960010,99999,0,__Ac,99673,19.4,56,34,[,0,1184,7127,],0,7,17,23,33,[,245,3,],25,352,[,0,0,0,0,46,0,306,],351,352,5.874,95.34,113,1994,2020,ID,,MAIMUN SALEH,,960010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960090-99999_fig2.png,960090,99999,1,__Ac,100615,19.4,55.7,33,[,0,1078,6412,],1,8,17,23,30,[,271,1,],28,335,[,0,0,0,0,48,0,287,],334,335,5.227,96.95,27,1987,2020,ID,,MALIKUS SALEH,,960090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960110-99999_fig2.png,960110,99999,0,__Ac,100723,19.4,55.6,34,[,0,1174,6095,],0,10,19,27,37,[,299,2,],27,350,[,0,0,0,0,75,0,275,],349,350,5.524,95.42,20,1993,2020,ID,,SULTAN ISKANDARMUDA,,960110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960150-99999_fig2.png,960150,99999,1,__Ac,100931,19.4,55.5,34,[,0,1089,7231,],0,6,16,23,30,[,295,2,],25,347,[,0,0,0,0,34,0,313,],345,347,4.25,96.117,90,1994,2020,ID,,MEULABOH/CUT NYAK,,960150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960330-99999_fig2.png,960330,99999,1,__Ac,100913,19.4,55.5,30,[,0,1245,6944,],1,9,16,21,30,[,291,2,],24,322,[,0,0,0,0,6,0,316,],322,322,3.8,98.7,3,1994,2020,ID,,MEDAN/BELAWAN,,960330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960350-99999_fig2.png,960350,99999,0,__Ac,100996,19.4,55.5,34,[,0,1178,7173,],2,9,17,25,33,[,327,9,],31,361,[,0,0,0,0,40,0,321,],360,361,3.558,98.672,35,1987,2020,ID,,POLONIA,,960350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960730-99999_fig2.png,960730,99999,1,__Ac,100802,19.4,55.6,34,[,0,889,6501,],0,6,16,25,33,[,310,2,],28,357,[,0,0,0,0,98,0,259,],351,357,1.556,98.889,13,1993,2020,ID,,PINANG SORE,,960730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960750-99999_fig2.png,960750,99999,1,__Ac,100856,19.4,55.6,34,[,0,849,7026,],0,6,14,22,29,[,274,3,],28,341,[,0,0,0,0,39,0,302,],336,341,1.166,97.705,6,1987,2020,ID,,BINAKA,,960750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960870-99999_fig2.png,960870,99999,1,__Ac,100700,19.4,55.6,28,[,0,1070,6110,],0,9,14,19,25,[,246,1,],23,294,[,0,0,0,0,15,0,279,],293,294,1.117,104.117,24,2002,2020,ID,,BATAM/HANG NADIM,,960870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/960910-99999_fig2.png,960910,99999,1,__Ac,100817,19.4,55.6,33,[,0,1003,6597,],2,9,15,22,29,[,262,0,],18,330,[,0,0,0,0,32,0,298,],328,330,0.923,104.532,18,1988,2020,ID,,KIJANG,,960910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/961090-99999_fig2.png,961090,99999,0,__Ac,100668,19.4,55.6,34,[,0,1288,7084,],0,8,18,26,33,[,332,14,],28,355,[,0,0,0,0,29,0,326,],354,355,0.461,101.445,31,1993,2020,ID,,SULTAN SYARIF KASIM II,,961090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/961450-99999_fig2.png,961450,99999,0,__Ac,100931,19.4,55.5,34,[,0,1331,7305,],0,11,18,23,31,[,272,5,],20,348,[,0,0,0,0,26,0,322,],348,348,3.2,106.25,3,1993,2020,ID,,TAREMPA,,961450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/961470-99999_fig2.png,961470,99999,3,__Ac,100919,19.4,55.5,24,[,0,789,4195,],0,5,9,12,16,[,157,1,],15,184,[,0,0,0,0,5,0,179,],184,184,3.909,108.388,2,2013,2020,ID,,RANAI,,961470-99999_fig2.png
