URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/420270-99999_fig2.png,420270,99999,4,GsVt,84067,19.4,63,34,[,2164,59,144,],6,15,27,35,41,[,1,0,],28,349,[,56,171,0,78,39,0,4,],37,31,34.083,74.833,1587,1987,2020,IN,,SRINAGAR,,420270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420440-99999_fig2.png,420440,99999,3,GsVt,82757,19.4,63.7,6,[,1030,17,61,],2,6,12,17,19,[,0,0,],10,176,[,22,89,0,45,20,0,0,],16,15,33.583,75.083,1690,2016,2020,IN,,QAZI GUND,,420440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420450-99999_fig2.png,420450,99999,3,HpVt,83552,19.4,63.2,6,[,440,15,73,],1,4,7,9,11,[,0,0,],17,106,[,4,55,0,30,17,0,0,],14,14,33.5,75.167,1630,2016,2020,IN,,BANIHAL,,420450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420560-99999_fig2.png,420560,99999,3,HpAc,96541,19.4,57.2,6,[,82,141,401,],0,2,3,4,8,[,18,5,],33,55,[,0,18,0,8,6,3,19,],28,23,32.667,74.833,367,2016,2020,IN,,JAMMU,,420560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420710-99999_fig2.png,420710,99999,2,HpAc,98550,19.4,56.4,34,[,578,1030,3028,],1,10,21,31,51,[,151,79,],31,352,[,0,115,0,52,35,13,138,],183,161,31.71,74.797,230,1987,2020,IN,,AMRITSAR,,420710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420790-99999_fig2.png,420790,99999,3,HpAc,91303,19.4,59.4,6,[,713,253,1330,],1,6,15,24,36,[,71,0,],5,286,[,0,119,0,47,77,6,38,],109,100,31.533,76.9,874,2016,2020,IN,,SUNDERNAGAR,,420790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420801-99999_fig2.png,420801,99999,3,__Ac,101164,19.4,55.4,5,[,0,356,935,],1,4,5,5,10,[,32,7,],5,63,[,0,0,0,8,9,5,41,],55,44,21.752,72.185,13,2019,2019,IN,,BHAVNAGAR,,420801-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420810-99999_fig2.png,420810,99999,3,HpAc,88908,19.4,60.5,6,[,157,111,207,],1,3,7,9,11,[,9,0,],16,77,[,0,29,0,14,15,4,15,],32,22,31.833,77.167,1084,2016,2020,IN,,BHUNTAR,,420810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420830-99999_fig2.png,420830,99999,3,Hp__,79532,19.4,65.5,6,[,152,2,2,],1,0,3,4,5,[,0,0,],33,49,[,1,25,0,20,3,0,0,],2,1,31.1,77.167,2202,2016,2020,IN,,SHIMLA,,420830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/420990-99999_fig2.png,420990,99999,3,__Ev,98299,19.4,56.5,3,[,18,88,199,],0,1,1,2,3,[,8,5,],32,21,[,0,5,0,3,2,1,9,],13,10,30.867,75.933,255,2019,2020,IN,,LUDHIANA,,420990-99999_fig2.png
