URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/407000-99999_fig2.png,407000,99999,3,GsAc,100756,19.4,55.6,28,[,1916,224,377,],4,16,26,35,42,[,27,1,],19,332,[,44,153,0,53,46,4,31,],77,62,39.65,47.917,32,1992,2020,IR,,PARS ABAD MOGHAN,,407000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407010-99999_fig2.png,407010,99999,4,GsEv,85885,19.4,62,29,[,3002,80,1,],2,NaN,34,39,41,[,0,0,],22,348,[,53,188,1,68,28,10,0,],38,0,39.333,44.433,1411,1995,2020,IR,,MAKKO,,407010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407030-99999_fig2.png,407030,99999,4,GsEv,89052,19.4,60.5,32,[,2462,143,1,],6,0,30,35,36,[,1,0,],31,336,[,52,162,1,65,37,19,0,],57,1,38.427,44.974,1213,1992,2020,IR,,KHOY,,407030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407036-99999_fig2.png,407036,99999,0,HpAc,96496,19.4,57.2,10,[,147,2461,1293,],14,27,42,47,58,[,129,63,],5,346,[,0,62,0,62,21,83,117,],221,118,27.373,53.189,410,2011,2020,IR,,LAMERD,,407036-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407037-99999_fig2.png,407037,99999,3,HpAc,99508,19.4,56.1,8,[,1268,612,878,],7,18,29,37,50,[,59,8,],8,354,[,8,168,0,46,41,12,79,],129,102,37.383,55.45,152,2013,2020,IR,,KALALEH,,407037-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407040-99999_fig2.png,407040,99999,4,GsVt,86207,19.4,61.9,29,[,2765,28,0,],3,NaN,35,38,38,[,0,0,],22,345,[,41,205,1,78,18,2,0,],20,0,38.433,47.067,1390,1995,2020,IR,,AHAR,,407040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407060-99999_fig2.png,407060,99999,4,GsEv,86015,19.4,61.9,32,[,2510,197,0,],1,0,12,14,14,[,0,0,],31,338,[,45,167,2,57,37,29,0,],66,0,38.134,46.235,1359,1991,2020,IR,,TABRIZ INTL,,407060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407080-99999_fig2.png,407080,99999,4,Gs__,86660,19.4,61.6,16,[,2081,1,0,],0,0,0,0,0,[,0,0,],13,209,[,49,136,0,24,0,0,0,],0,0,38.25,48.283,1332,1992,2008,IR,,ARDEBIL,,407080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407100-99999_fig2.png,407100,99999,5,Gs__,83257,19.4,63.4,29,[,3297,10,0,],0,0,0,0,0,[,0,0,],23,332,[,72,192,3,58,7,1,0,],7,0,37.933,47.533,1682,1995,2020,IR,,SARAB,,407100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/407120-99999_fig2.png,407120,99999,4,GsVt,86692,19.4,61.6,32,[,2705,49,0,],1,0,16,20,21,[,0,0,],32,337,[,59,171,0,75,28,4,0,],32,0,37.668,45.069,1324,1991,2020,IR,,UROMIYEH,,407120-99999_fig2.png
