URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/111290-99999_fig2.png,111290,99999,3,Gs__,86018,19.4,61.9,8,[,733,0,0,],0,0,0,0,0,[,0,0,],30,60,[,19,39,0,2,0,0,0,],0,0,47,11.5,-1000,2014,2020,IT,,PASSO DEL BRENNERO,,111290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160080-99999_fig2.png,160080,99999,6,Gs__,85382,19.4,62.3,33,[,4346,0,0,],0,0,0,0,0,[,0,0,],34,351,[,83,259,0,9,0,0,0,],0,0,46.75,10.533,1461,1987,2020,IT,,S. VALENTINO ALLA MUTA,,160080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160083-99999_fig2.png,160083,99999,6,Gs__,81490,19.4,64.4,33,[,4412,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],32,359,[,84,265,0,10,0,0,0,],0,0,46.833,10.5,1800,1989,2020,IT,,RESIA PASS,,160083-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160140-99999_fig2.png,160140,99999,3,Gs__,90919,19.4,59.6,9,[,1489,0,0,],0,0,0,0,0,[,0,0,],8,132,[,30,97,0,5,0,0,0,],0,0,46.883,11.433,921,2007,2017,IT,,VIPITENO,,160140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160200-99999_fig2.png,160200,99999,4,GsEv,98460,19.4,56.5,31,[,2297,88,78,],9,14,28,36,41,[,3,0,],30,351,[,40,192,0,74,34,3,8,],43,24,46.46,11.326,240,1987,2020,IT,,BOLZANO,,160200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160210-99999_fig2.png,160210,99999,6,Gs__,79453,19.4,65.6,32,[,5029,0,0,],0,0,0,0,0,[,0,0,],33,339,[,100,239,0,0,0,0,0,],0,0,46.3,11.783,2006,1987,2020,IT,,ROLLE PASS,,160210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160220-99999_fig2.png,160220,99999,7,Gs__,78231,19.4,66.3,32,[,5306,0,0,],0,0,0,0,0,[,0,0,],34,341,[,121,220,0,0,0,0,0,],0,0,46.15,11.033,2129,1987,2020,IT,,PAGANELLA MOUNTAIN,,160220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160230-99999_fig2.png,160230,99999,3,Hp__,99373,19.4,56.1,7,[,584,17,31,],2,2,7,9,10,[,2,0,],8,83,[,6,52,0,15,8,0,2,],8,7,46.017,11.117,190,2017,2018,IT,,TRENTO,,160230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160330-99999_fig2.png,160330,99999,5,Gs__,87440,19.4,61.2,33,[,3992,1,0,],0,0,13,16,17,[,0,0,],34,353,[,94,228,0,30,1,0,0,],1,0,46.733,12.217,1226,1987,2020,IT,,DOBBIACO,,160330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160360-99999_fig2.png,160360,99999,3,GsAc,99927,19.4,55.9,34,[,1975,121,380,],3,12,25,31,38,[,8,0,],29,338,[,32,185,0,63,42,0,16,],48,52,46.032,12.596,117,1987,2019,IT,,AVIANO AB,,160360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160365-99999_fig2.png,160365,99999,4,GsVt,99820,19.4,55.9,9,[,2375,58,118,],7,15,26,34,40,[,1,0,],8,365,[,42,206,0,78,34,0,5,],33,31,46.017,12.617,126,1987,1994,IT,,AVIANO (USAF),,160365-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160370-99999_fig2.png,160370,99999,3,GsVt,100069,19.4,55.9,11,[,1572,28,89,],3,6,15,21,25,[,1,0,],9,252,[,26,149,0,51,24,0,2,],17,23,46.033,12.617,125,1996,2008,IT,,AVIANO (USAF),,160370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/160400-99999_fig2.png,160400,99999,5,GsVt,92321,19.4,59,33,[,3196,13,14,],2,12,25,32,34,[,0,0,],31,348,[,96,186,0,55,9,1,1,],9,5,46.5,13.583,778,1987,2020,IT,,TARVISIO,,160400-99999_fig2.png
