URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/655280-99999_fig2.png,655280,99999,3,__Ac,96392,19.4,57.3,22,[,0,452,1627,],0,6,11,16,24,[,71,2,],25,172,[,0,0,0,11,95,14,52,],151,130,9.5,-7.567,421,1987,2020,IV,,ODIENNE,,655280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655360-99999_fig2.png,655360,99999,3,__Ac,96984,19.4,57,23,[,0,692,2005,],1,8,14,18,28,[,81,1,],28,200,[,0,0,0,2,88,28,82,],191,154,9.387,-5.557,370,1987,2020,IV,,KORHOGO,,655360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655450-99999_fig2.png,655450,99999,1,__Ac,96967,19.4,57,34,[,0,888,3738,],1,12,21,29,46,[,144,2,],23,332,[,0,0,0,2,192,22,116,],304,287,8.05,-2.783,370,1988,2020,IV,,BONDOUKOU/SOKO,,655450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655480-99999_fig2.png,655480,99999,3,__Ac,97474,19.4,56.8,22,[,0,232,1825,],0,4,8,12,19,[,61,1,],22,154,[,0,0,0,9,114,1,30,],120,138,7.272,-7.587,332,1988,2020,IV,,MAN,,655480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655550-99999_fig2.png,655550,99999,3,__Ac,96891,19.4,57.1,23,[,0,476,2273,],1,7,12,17,27,[,69,0,],28,204,[,0,0,0,1,129,13,61,],180,181,7.739,-5.074,375,1988,2020,IV,,BOUAKE,,655550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655570-99999_fig2.png,655570,99999,1,__Ac,98781,19.4,56.3,34,[,0,819,5320,],0,9,18,27,40,[,235,14,],25,334,[,0,0,0,4,160,1,169,],316,326,6.133,-5.95,210,1987,2020,IV,,GAGNOA,,655570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655600-99999_fig2.png,655600,99999,1,__Ac,98026,19.4,56.6,34,[,0,841,5010,],0,10,18,28,43,[,216,9,],21,337,[,0,0,0,4,172,4,157,],317,320,6.793,-6.473,251,1987,2020,IV,,DALOA,,655600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655620-99999_fig2.png,655620,99999,1,__Ac,100080,19.4,55.8,33,[,0,1204,6023,],0,8,18,27,41,[,271,72,],20,319,[,0,0,0,2,68,2,247,],314,311,6.65,-4.7,92,1988,2020,IV,,DIMBOKRO CITY,,655620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655630-99999_fig2.png,655630,99999,1,__Ac,98728,19.4,56.4,34,[,0,889,5033,],0,9,19,29,43,[,239,16,],20,343,[,0,0,0,6,178,2,157,],325,325,6.903,-5.366,213,1987,2020,IV,,YAMOUSSOUKRO,,655630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655780-99999_fig2.png,655780,99999,1,__Ac,101223,19.4,55.4,30,[,0,1026,7425,],0,9,14,21,35,[,235,20,],30,347,[,0,0,0,1,67,0,279,],338,345,5.261,-3.926,6,1987,2020,IV,,ABIDJAN FELIX HOUPHOUET BOIGN,,655780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655850-99999_fig2.png,655850,99999,1,__Ac,100747,19.4,55.6,34,[,0,930,6553,],0,9,16,23,37,[,222,11,],23,334,[,0,0,0,1,85,0,248,],328,332,5.3,-3.3,39,1987,2020,IV,,ADIAKE,,655850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655920-99999_fig2.png,655920,99999,1,__Ac,100949,19.4,55.5,34,[,0,772,6145,],0,8,15,22,35,[,182,2,],25,331,[,0,0,0,1,103,0,227,],321,330,4.417,-7.367,21,1987,2020,IV,,TABOU,,655920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655940-99999_fig2.png,655940,99999,1,__Ac,100826,19.4,55.6,34,[,0,887,6624,],0,9,15,22,36,[,204,5,],18,340,[,0,0,0,1,92,0,247,],331,339,4.747,-6.661,8,1987,2020,IV,,SAN PEDRO,,655940-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/655990-99999_fig2.png,655990,99999,1,__Ac,100423,19.4,55.7,34,[,0,798,6356,],0,9,15,22,36,[,189,3,],24,333,[,0,0,0,1,104,0,228,],318,331,4.95,-6.083,66,1987,2020,IV,,SASSANDRA/DREWIN,,655990-99999_fig2.png
