URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/406030-99999_fig2.png,406030,99999,3,HpEv,96924,19.4,57.1,8,[,201,262,0,],4,0,5,6,6,[,7,0,],21,69,[,1,29,1,7,5,27,0,],32,0,36.367,42.483,373,2006,2010,IZ,,TEL AFER,,406030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406040-99999_fig2.png,406040,99999,3,____,95736,19.4,57.5,9,[,51,58,0,],2,0,2,3,3,[,1,0,],20,16,[,1,5,0,2,1,6,0,],8,0,36.317,41.833,476,1989,1989,IZ,,SINJAR,,406040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406050-99999_fig2.png,406050,99999,3,____,96127,19.4,57.4,9,[,43,34,0,],2,0,2,2,2,[,1,0,],25,12,[,0,5,0,2,1,4,0,],5,0,37.133,42.717,442,1989,1989,IZ,,ZAKHO,,406050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406080-99999_fig2.png,406080,99999,3,HpEv,98756,19.4,56.3,15,[,395,443,37,],10,5,15,17,18,[,23,3,],29,124,[,2,52,0,16,8,38,9,],54,9,36.306,43.147,216,1989,2020,IZ,,MOSUL,,406080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406110-99999_fig2.png,406110,99999,3,____,88920,19.4,60.5,10,[,61,23,0,],2,0,2,2,2,[,0,0,],24,13,[,1,5,0,2,1,3,0,],5,0,36.383,44.2,1088,1989,1989,IZ,,SALLAHDEEN,,406110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406210-99999_fig2.png,406210,99999,3,HpAc,97500,19.4,56.8,18,[,394,764,99,],13,14,21,23,25,[,34,7,],31,170,[,1,65,1,20,10,52,21,],84,21,35.469,44.349,323,1989,2020,IZ,,KIRKUK AB,,406210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406220-99999_fig2.png,406220,99999,3,HpEv,93182,19.4,58.6,11,[,208,230,9,],7,2,8,10,11,[,5,0,],25,64,[,2,25,0,8,5,22,2,],29,2,35.517,44.833,701,1989,2017,IZ,,CHEM-CHAMAL,,406220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406230-99999_fig2.png,406230,99999,3,HpEv,91489,19.4,59.3,15,[,491,258,2,],4,4,7,7,7,[,6,0,],28,113,[,5,53,1,14,8,32,1,],41,1,35.55,45.45,853,1989,2020,IZ,,SULYMANIYAH,,406230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406235-99999_fig2.png,406235,99999,3,HpEv,98612,19.4,56.4,4,[,283,343,0,],7,0,8,9,9,[,9,0,],12,91,[,1,38,1,9,7,35,0,],42,0,35.767,43.125,228,2006,2009,IZ,,QAYYARAH WEST,,406235-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406270-99999_fig2.png,406270,99999,3,HpEv,99211,19.4,56.2,9,[,109,117,13,],2,4,5,5,6,[,5,0,],18,35,[,1,14,0,3,3,11,3,],17,3,34.383,41.017,178,1989,2007,IZ,,AL KAEM,,406270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406290-99999_fig2.png,406290,99999,3,HpVt,99536,19.4,56.1,9,[,76,77,10,],2,3,3,4,4,[,5,0,],27,26,[,0,10,0,4,2,6,3,],12,3,34.367,41.95,150,2012,2013,IZ,,ANAH,,406290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/406310-99999_fig2.png,406310,99999,3,____,99536,19.4,56.1,10,[,35,58,20,],1,1,2,2,2,[,4,2,],24,13,[,0,4,0,1,1,2,4,],7,4,34.9,43.533,150,1989,1989,IZ,,BAIJI,,406310-99999_fig2.png
