URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/472025-99999_fig2.png,472025,99999,5,GsVt,100916,19.4,55.5,13,[,3788,8,67,],11,18,20,22,29,[,0,0,],12,360,[,75,218,0,49,17,0,1,],6,17,45.242,141.186,34,1987,1998,JA,,RISHIRI,,472025-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/472185-99999_fig2.png,472185,99999,4,GsVt,100667,19.4,55.6,13,[,3051,17,250,],9,15,17,19,28,[,0,0,],12,360,[,39,228,0,55,36,0,2,],14,38,42.073,139.43,55,1987,1998,JA,,OKUSHIRI,,472185-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474010-99999_fig2.png,474010,99999,5,GsVt,101102,19.4,55.5,33,[,4061,1,58,],4,11,16,22,26,[,0,0,],34,354,[,86,224,0,31,13,0,0,],1,13,45.417,141.683,12,1987,2020,JA,,WAKKANAI,,474010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474020-99999_fig2.png,474020,99999,6,GsVt,101177,19.4,55.4,28,[,4253,4,44,],4,11,19,27,31,[,0,0,],27,348,[,124,187,0,27,10,0,0,],3,10,44.933,142.583,8,1995,2020,JA,,KITAMIESASHI,,474020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474040-99999_fig2.png,474040,99999,5,GsVt,101160,19.4,55.5,30,[,3742,5,112,],3,11,17,24,30,[,0,0,],30,348,[,90,196,0,41,21,0,0,],5,21,44.367,141.7,10,1992,2020,JA,,HABORO,,474040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474050-99999_fig2.png,474050,99999,6,Gs__,101089,19.4,55.5,30,[,4336,5,44,],2,12,20,28,32,[,0,0,],30,348,[,127,187,0,25,9,0,0,],3,9,44.583,142.967,16,1992,2020,JA,,OMU,,474050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474060-99999_fig2.png,474060,99999,5,GsVt,100982,19.4,55.5,33,[,3767,6,121,],3,11,17,24,30,[,1,0,],34,351,[,106,183,0,40,22,0,0,],5,22,43.95,141.633,24,1987,2020,JA,,RUMOI,,474060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474070-99999_fig2.png,474070,99999,6,GsVt,99607,19.4,56,33,[,4126,15,131,],2,11,20,28,33,[,2,0,],34,354,[,131,151,0,49,21,0,1,],10,22,43.75,142.367,140,1987,2020,JA,,ASAHIKAWA,,474070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474090-99999_fig2.png,474090,99999,6,GsVt,100751,19.4,55.6,33,[,4149,7,65,],4,12,20,28,33,[,1,0,],34,354,[,94,215,0,32,12,0,1,],5,12,44.017,144.283,44,1987,2020,JA,,ABASHIRI,,474090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474110-99999_fig2.png,474110,99999,5,GsVt,100987,19.4,55.5,31,[,3624,11,129,],6,12,20,27,33,[,1,0,],29,360,[,72,214,0,50,23,0,1,],8,23,43.183,141.017,26,1992,2020,JA,,OTARU,,474110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474120-99999_fig2.png,474120,99999,5,GsVt,100981,19.4,55.5,33,[,3461,20,149,],7,13,20,27,34,[,2,0,],34,354,[,54,218,0,56,24,0,2,],13,25,43.067,141.333,26,1987,2020,JA,,SAPPORO,,474120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474130-99999_fig2.png,474130,99999,5,GsVt,100717,19.4,55.6,30,[,3683,10,150,],2,10,17,25,31,[,1,0,],30,337,[,115,157,0,42,23,0,1,],8,23,43.217,141.783,52,1992,2020,JA,,IWAMIZAWA,,474130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474170-99999_fig2.png,474170,99999,5,GsVt,100799,19.4,55.6,33,[,4001,10,88,],2,9,19,29,35,[,2,0,],33,347,[,56,239,0,35,16,0,1,],6,17,42.917,143.217,44,1987,2020,JA,,OBIHIRO,,474170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474180-99999_fig2.png,474180,99999,6,Gs__,100834,19.4,55.6,33,[,4165,0,23,],2,9,14,21,26,[,0,0,],34,354,[,75,251,0,21,7,0,0,],0,7,42.983,144.4,37,1987,2020,JA,,KUSHIRO/KENEBETSU,,474180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474200-99999_fig2.png,474200,99999,6,Gs__,100979,19.4,55.5,32,[,4163,0,22,],1,8,15,23,28,[,0,0,],33,354,[,88,245,0,15,6,0,0,],0,6,43.333,145.583,27,1987,2020,JA,,NEMURO,,474200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474210-99999_fig2.png,474210,99999,5,GsVt,100888,19.4,55.6,33,[,3478,5,137,],4,10,17,23,30,[,1,0,],34,354,[,56,233,0,41,24,0,0,],5,25,42.8,140.217,35,1987,2020,JA,,SUTTSU,,474210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474230-99999_fig2.png,474230,99999,5,GsVt,100747,19.4,55.6,31,[,3409,3,138,],3,9,15,22,28,[,0,0,],32,348,[,67,223,0,33,25,0,0,],3,25,42.317,140.983,49,1987,2020,JA,,MURORAN/YAKUMO,,474230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474240-99999_fig2.png,474240,99999,5,GsVt,101269,19.4,55.4,29,[,3599,1,92,],4,10,15,21,27,[,0,0,],28,335,[,65,218,0,32,20,0,0,],2,20,42.617,141.55,8,1995,2020,JA,,TOMAKOMAI,,474240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474250-99999_fig2.png,474250,99999,6,GsVt,100970,19.4,55.5,34,[,4163,3,117,],5,11,16,23,31,[,0,0,],34,364,[,109,198,0,35,22,0,0,],3,22,42.775,141.692,25,1987,2020,JA,,NEW CHITOSE,,474250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474260-99999_fig2.png,474260,99999,5,GsVt,100865,19.4,55.6,33,[,3647,1,111,],1,9,14,20,25,[,0,0,],34,354,[,54,253,0,26,21,0,0,],1,21,42.167,142.783,38,1987,2020,JA,,URAKAWA,,474260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474280-99999_fig2.png,474280,99999,4,GsVt,101227,19.4,55.4,33,[,3010,13,217,],4,11,17,23,30,[,1,0,],33,347,[,35,232,0,48,31,0,1,],11,32,41.867,140.117,12,1987,2020,JA,,ESASHI,,474280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474300-99999_fig2.png,474300,99999,5,GsVt,100823,19.4,55.6,33,[,3352,13,197,],3,10,17,24,31,[,1,0,],34,354,[,69,210,0,45,29,0,1,],11,30,41.817,140.75,44,1987,2020,JA,,HAKODATE,,474300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474330-99999_fig2.png,474330,99999,5,GsVt,99075,19.4,56.2,30,[,3884,5,121,],1,9,16,24,30,[,1,0,],30,337,[,129,152,0,36,21,0,0,],5,21,42.9,140.75,188,1992,2020,JA,,KUTCHAN,,474330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474340-99999_fig2.png,474340,99999,6,GsVt,101000,19.4,55.5,32,[,4104,4,129,],5,11,16,24,31,[,1,0,],32,363,[,113,192,0,36,22,0,0,],4,23,42.794,141.666,26,1989,2020,JA,,CHITOSE,,474340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474350-99999_fig2.png,474350,99999,5,GsVt,101070,19.4,55.5,30,[,4030,6,49,],4,12,19,27,32,[,1,0,],30,337,[,93,206,0,28,10,0,0,],3,10,44.35,143.35,18,1992,2020,JA,,MOMBETSU,,474350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474400-99999_fig2.png,474400,99999,5,Gs__,100928,19.4,55.5,31,[,3909,5,45,],1,11,19,27,32,[,1,0,],30,347,[,54,261,0,23,9,0,0,],3,10,42.3,143.317,34,1992,2020,JA,,HIROO,,474400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474410-99999_fig2.png,474410,99999,5,GsVt,101216,19.4,55.4,34,[,3956,11,100,],7,16,20,23,29,[,0,0,],34,362,[,96,198,0,48,19,0,1,],8,19,45.404,141.801,9,1987,2020,JA,,WAKKANAI,,474410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474415-99999_fig2.png,474415,99999,3,HpVt,101001,19.4,55.5,0,[,1439,0,0,],0,0,0,0,0,[,0,0,],4,138,[,0,119,0,6,13,0,0,],0,14,45.45,141.033,27,1996,1998,JA,,REBUN ISLAND,,474415-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474740-99999_fig2.png,474740,99999,5,GsVt,101032,19.4,55.5,34,[,3841,30,110,],9,19,23,26,34,[,1,0,],34,363,[,70,226,0,44,19,0,3,],13,19,44.304,143.404,24,1987,2020,JA,,MONBETSU,,474740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474760-99999_fig2.png,474760,99999,6,GsVt,98712,19.4,56.4,34,[,4116,37,160,],4,15,22,28,35,[,1,0,],34,364,[,126,150,0,58,26,0,4,],21,27,43.671,142.448,220,1987,2020,JA,,ASAHIKAWA,,474760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474770-99999_fig2.png,474770,99999,5,GsVt,99952,19.4,55.9,33,[,3252,50,170,],3,16,24,28,36,[,1,0,],4,310,[,97,125,0,55,26,0,7,],24,28,43.795,142.363,115,1987,1990,JA,,ASAHIKAWA,,474770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474790-99999_fig2.png,474790,99999,5,GsVt,101234,19.4,55.4,34,[,3559,26,208,],5,12,20,26,33,[,2,0,],34,363,[,77,195,0,57,31,0,3,],16,32,43.116,141.38,8,1987,2020,JA,,SAPPORO,,474790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474810-99999_fig2.png,474810,99999,5,GsVt,100832,19.4,55.6,34,[,3962,45,154,],4,16,23,28,36,[,2,0,],34,364,[,84,199,0,52,23,1,5,],20,23,43.881,144.164,41,1987,2020,JA,,MEMANBETSU,,474810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474830-99999_fig2.png,474830,99999,5,GsVt,100471,19.4,55.7,34,[,3806,23,141,],4,13,20,24,32,[,1,0,],34,363,[,52,248,0,40,20,0,3,],12,21,43.578,144.96,71,1987,2020,JA,,NAKASHIBETSU,,474830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474880-99999_fig2.png,474880,99999,5,GsVt,100774,19.4,55.6,34,[,3303,11,222,],4,12,17,21,30,[,0,0,],34,364,[,57,227,0,45,34,0,1,],11,35,41.77,140.822,46,1987,2020,JA,,HAKODATE,,474880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474890-99999_fig2.png,474890,99999,5,GsVt,100133,19.4,55.8,34,[,3985,4,46,],6,12,18,24,30,[,0,0,],34,364,[,48,274,0,30,12,0,0,],3,12,43.041,144.193,100,1987,2020,JA,,KUSHIRO,,474890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474900-99999_fig2.png,474900,99999,5,GsVt,99490,19.4,56.1,34,[,4043,33,132,],4,14,22,27,36,[,1,0,],34,364,[,58,236,0,45,21,0,4,],15,21,42.733,143.217,154,1987,2020,JA,,OBIHIRO,,474900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/474905-99999_fig2.png,474905,99999,5,GsVt,100301,19.4,55.8,34,[,3111,37,156,],3,11,22,27,37,[,3,0,],5,308,[,38,199,0,46,20,0,5,],17,21,42.891,143.158,86,1987,2004,JA,,TOKACHI,,474905-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475120-99999_fig2.png,475120,99999,4,GsVt,100976,19.4,55.5,31,[,2557,35,348,],2,10,17,24,33,[,5,0,],30,337,[,18,230,0,44,41,0,4,],21,45,39.067,141.717,38,1992,2020,JA,,OFUNATO,,475120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475150-99999_fig2.png,475150,99999,5,GsVt,100740,19.4,55.6,34,[,3133,39,304,],5,13,19,27,34,[,6,0,],34,362,[,59,219,0,44,34,0,6,],19,39,40.556,141.466,46,1987,2020,JA,,HACHINOHE,,475150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475160-99999_fig2.png,475160,99999,4,GsVt,101200,19.4,55.4,19,[,2183,17,156,],3,9,13,17,22,[,1,0,],27,254,[,45,151,0,34,22,0,2,],10,24,41.233,141.133,10,1987,2008,JA,,OMINATO (JASDF),,475160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475200-99999_fig2.png,475200,99999,4,GsVt,100256,19.4,55.8,32,[,2938,59,504,],1,9,18,27,34,[,15,0,],30,347,[,109,137,0,45,48,0,8,],31,56,38.75,140.317,102,1992,2020,JA,,SHINJO,,475200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475420-99999_fig2.png,475420,99999,5,GsVt,98917,19.4,56.3,34,[,3341,37,272,],5,13,20,25,33,[,2,0,],34,364,[,99,172,0,55,34,0,4,],20,38,40.735,140.691,202,1987,2020,JA,,AOMORI,,475420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475450-99999_fig2.png,475450,99999,4,GsAc,100184,19.4,55.8,34,[,2877,97,525,],4,13,21,26,35,[,7,0,],34,364,[,83,162,0,57,48,0,15,],40,60,39.616,140.219,95,1987,2020,JA,,AKITA,,475450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475490-99999_fig2.png,475490,99999,4,GsAc,100243,19.4,55.8,34,[,2674,156,620,],4,15,22,26,36,[,12,0,],34,364,[,47,185,0,61,47,1,23,],55,63,39.429,141.135,90,1987,2020,JA,,HANAMAKI,,475490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475530-99999_fig2.png,475530,99999,4,GsAc,100039,19.4,55.9,34,[,2604,184,695,],6,15,23,27,37,[,15,0,],34,364,[,83,143,0,62,49,0,27,],63,68,38.412,140.371,108,1987,2020,JA,,YAMAGATA,,475530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475570-99999_fig2.png,475570,99999,4,GsAc,96933,19.4,57.1,25,[,2466,125,673,],3,13,21,26,35,[,10,0,],25,364,[,25,211,0,56,53,0,19,],51,68,37.227,140.431,372,1996,2020,JA,,FUKUSHIMA,,475570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475670-99999_fig2.png,475670,99999,3,HpVt,101205,19.4,55.4,19,[,526,46,228,],2,5,7,8,12,[,3,0,],12,103,[,2,59,0,20,14,0,8,],16,21,38.233,140.917,10,1987,1990,JA,,KASUMINOME (JASDF),,475670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475690-99999_fig2.png,475690,99999,4,GsAc,101270,19.4,55.4,34,[,2322,81,680,],3,11,17,22,35,[,8,0,],34,364,[,16,227,0,51,54,0,16,],39,69,38.14,140.917,5,1987,2020,JA,,SENDAI,,475690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475700-99999_fig2.png,475700,99999,4,GsAc,98959,19.4,56.3,33,[,2758,96,579,],2,10,20,29,36,[,20,1,],34,354,[,99,138,0,52,51,0,14,],43,63,37.483,139.917,214,1987,2020,JA,,WAKAMATSU,,475700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475730-99999_fig2.png,475730,99999,4,GsAc,101219,19.4,55.4,4,[,2129,166,907,],6,14,20,25,35,[,19,0,],4,365,[,39,182,0,59,57,0,28,],59,83,37.956,139.121,9,2001,2004,JA,,NIIGATA,,475730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475740-99999_fig2.png,475740,99999,4,GsVt,100571,19.4,55.7,33,[,2914,27,370,],1,10,17,24,32,[,2,0,],32,355,[,42,222,0,44,43,0,4,],18,47,40.65,139.933,68,1987,2020,JA,,FUKAURA,,475740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475750-99999_fig2.png,475750,99999,4,GsVt,101335,19.4,55.4,33,[,3012,39,314,],2,11,18,26,34,[,6,0,],34,354,[,86,176,0,50,37,0,5,],21,41,40.817,140.767,4,1987,2020,JA,,AOMORI,,475750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475760-99999_fig2.png,475760,99999,5,GsVt,101328,19.4,55.4,31,[,3151,17,242,],0,9,17,24,31,[,3,0,],29,347,[,72,205,0,36,32,0,2,],12,34,41.283,141.217,5,1992,2020,JA,,MUTSU,,475760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475800-44402_fig2.png,475800,44402,5,GsVt,100860,19.4,55.6,15,[,3222,32,252,],5,13,19,26,35,[,3,0,],15,363,[,54,229,0,43,33,0,4,],17,36,40.7,141.367,35,2006,2020,JA,,MISAWA NAVAL AIR STATION,,475800-44402_fig2.png
https://bioclimatic.github.io/predilection/psych/475800-99999_fig2.png,475800,99999,5,GsVt,100860,19.4,55.6,18,[,3280,19,239,],3,11,16,24,32,[,3,0,],18,362,[,82,210,0,36,31,0,3,],11,34,40.705,141.372,39,1987,2004,JA,,MISAWA AB,,475800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475810-99999_fig2.png,475810,99999,4,GsVt,101056,19.4,55.5,33,[,3014,36,262,],2,11,19,27,34,[,6,0,],34,351,[,54,216,0,44,32,0,5,],18,36,40.533,141.517,28,1987,2020,JA,,HACHINOHE,,475810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475820-99999_fig2.png,475820,99999,4,GsAc,101161,19.4,55.5,33,[,2705,82,516,],4,12,19,26,35,[,10,0,],34,354,[,56,187,0,52,47,0,12,],36,58,39.717,140.1,22,1987,2020,JA,,AKITA,,475820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475830-99999_fig2.png,475830,99999,3,GsAc,100260,19.4,55.8,22,[,1872,81,408,],2,9,13,16,23,[,6,0,],34,234,[,56,98,0,35,32,0,12,],32,42,40.192,140.371,89,1999,2020,JA,,ODATE NOSHIRO,,475830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475840-99999_fig2.png,475840,99999,5,GsVt,99575,19.4,56,32,[,3081,46,366,],1,11,19,27,34,[,8,0,],33,352,[,62,194,0,50,40,0,6,],25,45,39.7,141.167,155,1987,2020,JA,,MORIOKA,,475840-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475850-99999_fig2.png,475850,99999,4,GsVt,100839,19.4,55.6,32,[,2863,26,293,],0,9,17,25,33,[,6,0,],33,352,[,27,247,0,39,36,0,3,],16,39,39.65,141.967,47,1987,2020,JA,,MIYAKO,,475850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475870-99999_fig2.png,475870,99999,4,GsAc,101399,19.4,55.4,33,[,2412,97,603,],4,12,19,26,35,[,14,0,],34,351,[,39,194,0,54,48,0,16,],41,63,38.917,139.85,5,1987,2020,JA,,SAKATA,,475870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475874-99999_fig2.png,475874,99999,4,GsAc,101011,19.4,55.5,28,[,2366,147,732,],7,16,21,25,35,[,11,0,],28,364,[,40,189,0,61,50,0,24,],54,71,38.812,139.787,26,1993,2020,JA,,SHONAI,,475874-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475880-99999_fig2.png,475880,99999,4,GsAc,99636,19.4,56,33,[,2685,96,495,],3,12,21,29,36,[,18,1,],32,348,[,85,150,0,55,44,0,14,],40,56,38.25,140.35,154,1987,2020,JA,,YAMAGATA,,475880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475900-99999_fig2.png,475900,99999,4,GsAc,100909,19.4,55.5,33,[,2400,73,565,],3,11,18,25,35,[,12,0,],34,354,[,21,224,0,49,48,0,12,],34,60,38.267,140.9,44,1987,2020,JA,,SENDAI,,475900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475910-99999_fig2.png,475910,99999,4,GsVt,101260,19.4,55.4,34,[,2707,39,552,],5,11,16,22,33,[,5,0,],34,363,[,41,219,0,43,51,0,9,],26,60,38.405,141.22,2,1987,2020,JA,,MATSUSHIMA,,475910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475920-99999_fig2.png,475920,99999,4,GsVt,100939,19.4,55.5,34,[,2662,40,460,],3,11,17,24,34,[,4,0,],34,360,[,42,216,0,48,49,0,5,],26,54,38.433,141.3,43,1987,2020,JA,,ISHINOMAKI,,475920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475950-99999_fig2.png,475950,99999,4,GsAc,100639,19.4,55.6,33,[,2289,130,615,],4,13,21,29,38,[,22,1,],33,347,[,27,199,0,55,46,0,20,],49,63,37.767,140.467,69,1987,2020,JA,,FUKUSHIMA,,475950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475954-99999_fig2.png,475954,99999,4,GsAc,96901,19.4,57.1,2,[,2331,256,1006,],0,17,23,27,35,[,29,0,],1,365,[,18,200,1,62,41,0,43,],66,79,37.233,140.433,375,1994,1994,JA,,FUKUSHIMA ARPT,,475954-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475970-99999_fig2.png,475970,99999,4,GsVt,97255,19.4,56.9,31,[,2618,52,487,],1,10,18,27,35,[,12,0,],29,347,[,27,219,0,44,51,0,6,],31,57,37.133,140.217,357,1992,2020,JA,,SHIRAKAWA,,475970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/475980-99999_fig2.png,475980,99999,3,HpVt,101383,19.4,55.4,33,[,2035,50,649,],1,10,16,22,33,[,6,0,],34,353,[,8,228,0,47,61,0,9,],34,70,36.95,140.9,5,1987,2020,JA,,ONAHAMA,,475980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476000-99999_fig2.png,476000,99999,4,GsAc,101412,19.4,55.4,33,[,2191,116,783,],2,11,19,25,34,[,20,0,],34,354,[,42,187,0,49,56,0,20,],47,75,37.383,136.9,7,1987,2020,JA,,WAJIMA,,476000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476010-99999_fig2.png,476010,99999,3,____,101211,19.4,55.4,0,[,1867,61,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],6,321,[,NaN,231,NaN,19,72,NaN,NaN,],30,95,37.85,136.917,14,1987,1994,JA,,HEGURASHIMA (LGT-H),,476010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476020-99999_fig2.png,476020,99999,4,GsAc,101388,19.4,55.4,33,[,2083,107,715,],5,12,19,24,34,[,13,0,],34,353,[,23,205,0,54,54,0,17,],45,71,38.033,138.233,7,1987,2020,JA,,AIKAWA,,476020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476040-99999_fig2.png,476040,99999,4,GsAc,101402,19.4,55.4,33,[,2164,151,776,],6,14,20,27,36,[,21,1,],34,352,[,39,182,0,56,51,0,24,],55,73,37.9,139.017,6,1987,2020,JA,,NIIGATA,,476040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476050-99999_fig2.png,476050,99999,3,GsAc,101099,19.4,55.5,33,[,1947,200,896,],7,15,21,27,36,[,28,0,],34,354,[,37,175,0,56,52,0,33,],65,83,36.583,136.633,34,1987,2020,JA,,KANAZAWA,,476050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476060-99999_fig2.png,476060,99999,4,GsAc,101360,19.4,55.4,31,[,2188,164,968,],5,13,20,27,37,[,29,2,],29,361,[,58,167,0,52,56,0,29,],58,84,36.8,137.05,13,1992,2020,JA,,FUSHIKI,,476060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476070-99999_fig2.png,476070,99999,3,GsAc,101311,19.4,55.4,33,[,2063,178,977,],3,11,19,27,36,[,31,3,],32,348,[,57,155,0,51,53,0,32,],59,83,36.717,137.2,17,1987,2020,JA,,TOYAMA,,476070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476100-99999_fig2.png,476100,99999,4,GsAc,96549,19.4,57.2,32,[,2667,104,472,],6,14,22,31,38,[,18,0,],32,349,[,79,153,0,56,47,0,14,],45,59,36.667,138.2,420,1987,2020,JA,,NAGANO,,476100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/476120-99999_fig2.png,476120,99999,4,GsAc,101315,19.4,55.4,32,[,2221,148,880,],2,11,19,27,36,[,29,2,],33,351,[,61,160,0,49,55,0,26,],54,80,37.1,138.25,15,1987,2020,JA,,TAKADA,,476120-99999_fig2.png
