URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/402500-99999_fig2.png,402500,99999,2,HpAc,93542,19.4,58.5,29,[,1011,707,191,],13,21,38,45,51,[,33,4,],23,346,[,3,147,1,54,41,70,30,],142,36,32.539,38.195,686,1987,2017,JO,,H4,,402500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402550-99999_fig2.png,402550,99999,3,HpEv,94355,19.4,58.1,29,[,1072,174,211,],9,16,26,35,43,[,6,0,],25,349,[,3,164,1,90,70,13,8,],84,41,32.55,35.85,619,1987,2016,JO,,IRBID (MET),,402550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402600-99999_fig2.png,402600,99999,2,HpAc,93688,19.4,58.4,33,[,1007,690,184,],15,28,38,45,50,[,30,3,],27,352,[,2,150,4,52,44,69,31,],145,33,32.161,37.149,677,1987,2020,JO,,PRINCE HASAN,,402600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402650-99999_fig2.png,402650,99999,3,HpEv,93662,19.4,58.4,32,[,1197,198,53,],10,14,30,39,44,[,7,0,],28,340,[,5,163,2,85,62,17,6,],85,16,32.356,36.259,683,1987,2020,JO,,KING HUSSEIN,,402650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402700-99999_fig2.png,402700,99999,3,HpEv,92508,19.4,58.9,34,[,1222,276,27,],13,20,31,39,44,[,2,0,],34,363,[,6,169,2,84,64,35,3,],102,8,31.973,35.992,779,1987,2020,JO,,MARKA INTL,,402700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402720-99999_fig2.png,402720,99999,3,HpEv,93148,19.4,58.6,33,[,1325,160,23,],7,12,30,40,43,[,6,0,],34,352,[,7,172,2,96,56,16,3,],75,7,31.723,35.993,730,1987,2020,JO,,QUEEN ALIA INTL,,402720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402900-99999_fig2.png,402900,99999,3,HpVt,92530,19.4,58.9,14,[,1379,72,14,],11,13,26,34,38,[,0,0,],13,357,[,8,185,0,120,37,6,1,],42,7,31.867,35.217,759,1987,1999,JO,,JERUSALEM AIRPORT,,402900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/402960-99999_fig2.png,402960,99999,1,HpAc,105601,19.4,53.9,29,[,162,1431,1898,],5,26,34,40,49,[,134,61,],22,347,[,0,70,0,76,33,12,157,],201,165,31.033,35.467,-350,1988,2014,JO,,GHOR SAFI,,402960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403100-99999_fig2.png,403100,99999,3,HpEv,89285,19.4,60.4,33,[,1152,329,13,],17,26,39,46,48,[,4,0,],27,343,[,4,157,3,70,62,42,5,],109,6,30.167,35.783,1069,1987,2020,JO,,MA'AN,,403100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403400-99999_fig2.png,403400,99999,1,HpAc,100710,19.4,55.6,34,[,227,1404,1063,],13,26,37,43,52,[,105,27,],29,361,[,0,83,0,74,36,50,118,],204,124,29.612,35.018,53,1987,2020,JO,,AQABA KING HUSSEIN INTL,,403400-99999_fig2.png
