URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/636120-99999_fig2.png,636120,99999,0,__Ac,95290,19.4,57.7,33,[,0,2078,1817,],3,23,33,40,48,[,120,0,],26,350,[,0,0,0,0,22,47,281,],348,301,3.122,35.609,523,1987,2020,KE,,LODWAR,,636120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636190-99999_fig2.png,636190,99999,3,__Ev,88660,19.4,60.6,29,[,1,115,87,],4,10,16,23,31,[,1,0,],19,274,[,0,3,0,171,90,10,0,],67,41,3.533,39.05,1097,1987,2014,KE,,MOYALE LOWER (ODA),,636190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636240-99999_fig2.png,636240,99999,2,__Ac,98581,19.4,56.4,29,[,0,1344,1850,],3,15,22,27,35,[,114,1,],15,249,[,0,0,0,0,20,22,207,],248,223,3.933,41.867,231,1987,2014,KE,,MANDERA,,636240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636410-99999_fig2.png,636410,99999,3,HpVt,86180,19.4,61.9,32,[,14,6,3,],3,6,17,23,25,[,0,0,],23,313,[,0,19,0,284,10,0,0,],9,2,2.3,37.9,1345,1987,2014,KE,,MARSABIT,,636410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636610-99999_fig2.png,636610,99999,3,Hp__,80740,19.4,64.8,34,[,194,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],28,350,[,0,160,0,188,2,0,0,],2,0,0.972,34.959,1850,1987,2020,KE,,KITALE,,636610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636710-99999_fig2.png,636710,99999,0,__Ac,98430,19.4,56.5,33,[,0,1752,2984,],2,18,29,36,47,[,181,2,],24,346,[,0,0,0,1,45,10,290,],345,329,1.733,40.092,235,1987,2020,KE,,WAJIR,,636710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636860-99999_fig2.png,636860,99999,3,Hp__,78320,19.4,66.2,26,[,358,0,0,],0,0,0,0,0,[,0,0,],29,250,[,0,191,1,58,0,0,0,],0,0,0.483,35.3,2120,1987,2020,KE,,ELDORET,,636860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636870-99999_fig2.png,636870,99999,3,HpVt,84244,19.4,62.9,26,[,48,15,0,],2,0,14,16,16,[,0,0,],12,275,[,0,52,0,211,11,1,0,],12,0,0.271,34.787,1530,1987,2014,KE,,KAKAMEGA,,636870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636880-99999_fig2.png,636880,99999,3,Hp__,78025,19.4,66.4,13,[,361,0,0,],0,0,0,0,0,[,0,0,],12,298,[,0,219,1,78,0,0,0,],0,0,0.404,35.239,2150,2005,2016,KE,,EL DORET INTL,,636880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/636950-99999_fig2.png,636950,99999,3,Hp__,84000,19.4,63,34,[,164,0,0,],0,NaN,24,31,31,[,0,0,],31,345,[,0,139,0,206,0,0,0,],0,0,0.083,37.65,1554,1987,2020,KE,,MERU,,636950-99999_fig2.png
