URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/369110-99999_fig2.png,369110,99999,4,GsEv,92429,19.4,58.9,34,[,3050,92,3,],11,NaN,36,44,45,[,1,0,],33,358,[,72,170,1,73,30,11,1,],42,1,42.833,75.283,817,1987,2020,KG,,TOKMAK,,369110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/369740-99999_fig2.png,369740,99999,6,Gs__,79864,19.4,65.3,34,[,5074,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],31,358,[,97,227,5,28,1,0,0,],1,0,41.433,76,2041,1987,2020,KG,,NARYN,,369740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/369820-99999_fig2.png,369820,99999,8,Gs__,65496,19.4,75.7,33,[,8801,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],29,358,[,175,183,0,0,0,0,0,],0,0,41.883,78.233,3639,1987,2020,KG,,TIAN-SHAN',,369820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/382200-99999_fig2.png,382200,99999,3,GsEv,93903,19.4,58.3,11,[,1709,97,2,],1,0,4,5,5,[,1,0,],17,193,[,50,73,0,36,19,15,1,],34,1,43.067,74.483,637,1996,2013,KG,,MANAS,,382200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/383450-99999_fig2.png,383450,99999,5,Gs__,88059,19.4,60.9,34,[,3559,10,0,],0,NaN,NaN,NaN,NaN,[,0,0,],32,353,[,71,203,0,71,8,0,0,],9,0,42.517,72.217,1218,1988,2020,KG,,TALAS,,383450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/383530-99999_fig2.png,383530,99999,4,GsEv,93159,19.4,58.6,31,[,2781,132,7,],4,9,26,31,33,[,1,0,],31,327,[,75,138,0,64,32,17,2,],51,2,42.85,74.533,760,1987,2020,KG,,BISHKEK,,383530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/383531-99999_fig2.png,383531,99999,5,GsEv,94020,19.4,58.2,16,[,3204,196,0,],4,NaN,38,46,46,[,0,0,],16,362,[,92,139,1,65,35,30,0,],66,0,43.061,74.478,627,2005,2020,KG,,MANAS,,383531-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386130-99999_fig2.png,386130,99999,4,GsEv,92963,19.4,58.7,34,[,2483,199,6,],21,27,37,44,45,[,2,0,],32,358,[,58,155,0,69,46,26,3,],76,3,40.917,72.95,765,1987,2020,KG,,DZHALAL-ABAD,,386130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386150-99999_fig2.png,386150,99999,3,GsEv,91734,19.4,59.2,13,[,1996,80,11,],10,8,21,26,28,[,1,0,],14,245,[,58,104,0,48,24,9,2,],35,3,40.533,72.8,875,1987,1996,KG,,OSH,,386150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386155-99999_fig2.png,386155,99999,4,GsEv,91060,19.4,59.5,13,[,2604,184,9,],16,19,37,44,46,[,1,0,],13,359,[,75,142,0,68,48,23,3,],74,4,40.609,72.793,892,2008,2020,KG,,OSH,,386155-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386160-99999_fig2.png,386160,99999,4,GsEv,91863,19.4,59.2,22,[,2615,126,10,],16,16,34,42,44,[,1,0,],22,362,[,74,149,0,79,46,11,3,],61,5,40.7,72.9,868,1999,2020,KG,,KARA-SUU,,386160-99999_fig2.png
