URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/470030-99999_fig2.png,470030,99999,5,GsVt,101492,19.4,55.3,34,[,4030,7,205,],1,9,16,23,33,[,1,0,],32,356,[,49,242,0,33,31,0,1,],7,32,42.317,130.4,3,1987,2020,KN,,SENBONG,,470030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470050-99999_fig2.png,470050,99999,7,Gs__,85726,19.4,62.1,34,[,6135,0,0,],0,NaN,21,33,34,[,0,0,],33,350,[,133,200,0,17,0,0,0,],0,0,41.817,128.3,1381,1987,2020,KN,,SAMJIYON,,470050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470080-99999_fig2.png,470080,99999,5,GsVt,101045,19.4,55.5,34,[,3667,11,220,],3,10,17,24,34,[,1,0,],34,358,[,50,233,0,41,33,0,1,],9,34,41.783,129.817,43,1987,2020,KN,,CHONGJIN,,470080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470140-99999_fig2.png,470140,99999,6,GsVt,97778,19.4,56.7,34,[,4768,23,264,],1,9,19,29,36,[,6,0,],28,351,[,112,154,0,46,36,0,3,],17,38,41.783,126.883,331,1987,2020,KN,,CHUNGGANG,,470140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470160-99999_fig2.png,470160,99999,7,GsVt,93110,19.4,58.6,34,[,5206,7,53,],3,11,21,32,37,[,1,0,],34,357,[,102,188,0,53,14,0,0,],6,14,41.4,128.167,714,1987,2020,KN,,HYESAN,,470160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470200-99999_fig2.png,470200,99999,6,GsVt,98006,19.4,56.6,34,[,4326,44,352,],2,10,20,30,38,[,8,0,],33,360,[,110,149,0,51,45,0,5,],27,48,40.967,126.6,306,1987,2020,KN,,KANGGYE,,470200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470220-99999_fig2.png,470220,99999,7,Gs__,88025,19.4,61,34,[,5471,0,5,],1,NaN,19,30,32,[,0,0,],29,354,[,96,230,0,26,2,0,0,],0,2,40.817,128.15,1200,1987,2020,KN,,PUNGSAN,,470220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470250-99999_fig2.png,470250,99999,5,GsVt,101179,19.4,55.4,34,[,3347,16,288,],2,10,16,24,34,[,3,0,],30,355,[,60,213,0,42,37,0,3,],12,40,40.667,129.2,23,1987,2020,KN,,KIMCHAEK/SONGJIN,,470250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470280-99999_fig2.png,470280,99999,5,GsVt,100726,19.4,55.6,34,[,3630,44,537,],1,8,17,26,36,[,10,1,],29,355,[,50,198,0,46,55,0,6,],30,61,40.45,124.933,76,1987,2020,KN,,SUPUNG,,470280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470310-99999_fig2.png,470310,99999,7,Gs__,89054,19.4,60.5,34,[,5526,0,12,],1,9,18,27,30,[,0,0,],29,356,[,125,203,0,24,4,0,0,],0,4,40.367,127.25,1080,1987,2020,KN,,CHANGJIN,,470310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470350-99999_fig2.png,470350,99999,5,GsVt,101641,19.4,55.3,33,[,3330,58,607,],2,10,17,24,36,[,9,1,],34,348,[,35,203,0,43,58,0,9,],36,66,40.1,124.383,7,1987,2020,KN,,SINUIJU,,470350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470370-99999_fig2.png,470370,99999,5,GsAc,100080,19.4,55.8,34,[,3508,56,605,],1,9,17,26,37,[,10,1,],29,355,[,47,195,0,47,56,0,10,],35,64,39.983,125.25,99,1987,2020,KN,,KUSONG,,470370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470390-99999_fig2.png,470390,99999,5,GsVt,99830,19.4,55.9,34,[,3719,50,541,],0,8,18,27,37,[,12,1,],30,353,[,91,156,0,45,53,0,8,],32,60,40.167,126.25,155,1987,2020,KN,,HUICHON,,470390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470410-99999_fig2.png,470410,99999,5,GsVt,101273,19.4,55.4,34,[,3158,55,477,],1,9,18,26,37,[,12,1,],33,360,[,46,207,0,49,48,0,10,],27,56,39.933,127.55,22,1987,2020,KN,,HAMHEUNG,,470410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470460-99999_fig2.png,470460,99999,5,GsVt,101270,19.4,55.4,34,[,3165,27,385,],2,10,17,24,33,[,4,0,],31,356,[,56,206,0,46,44,0,4,],19,48,40.033,128.183,19,1987,2020,KN,,SINPO,,470460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470500-99999_fig2.png,470500,99999,5,GsAc,101240,19.4,55.4,34,[,3377,61,626,],1,9,17,25,36,[,10,0,],32,351,[,65,174,0,46,56,0,11,],38,65,39.617,125.65,27,1987,2020,KN,,ANJU,,470500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470520-99999_fig2.png,470520,99999,5,GsVt,98319,19.4,56.5,34,[,3741,33,374,],0,9,18,27,35,[,7,0,],29,354,[,92,164,0,53,41,0,4,],22,44,39.217,126.65,279,1987,2020,KN,,YANGDOK,,470520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470550-99999_fig2.png,470550,99999,4,GsAc,101126,19.4,55.5,34,[,2830,75,508,],2,12,19,25,38,[,10,0,],34,358,[,27,217,0,51,49,1,13,],32,59,39.183,127.433,36,1987,2020,KN,,WONSAN,,470550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470580-99999_fig2.png,470580,99999,5,GsAc,101233,19.4,55.4,34,[,3209,87,711,],3,10,18,26,37,[,16,0,],34,359,[,50,184,0,53,57,0,15,],48,69,39.224,125.67,36,1987,2020,KN,,PYONGYANG INTL,,470580-99999_fig2.png
