URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/470900-99999_fig2.png,470900,99999,4,GsAc,101315,19.4,55.4,34,[,2587,74,520,],3,12,19,25,37,[,9,0,],34,364,[,21,225,0,55,50,0,13,],31,60,38.251,128.565,23,1987,2020,KS,,SOKCHO,,470900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470920-99999_fig2.png,470920,99999,4,GsAc,100445,19.4,55.7,16,[,2559,94,493,],6,15,20,25,36,[,7,0,],16,364,[,16,226,1,58,47,1,15,],37,58,38.061,128.669,74,2005,2020,KS,,YANGYANG INTL,,470920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470950-99999_fig2.png,470950,99999,5,GsVt,99829,19.4,55.9,32,[,3382,57,553,],2,10,18,26,36,[,9,0,],32,364,[,45,204,0,55,52,0,8,],36,59,38.15,127.3,155,1989,2020,KS,,CHEORWON,,470950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470970-99999_fig2.png,470970,99999,4,GsAc,100749,19.4,55.6,11,[,3002,122,704,],4,12,20,28,38,[,19,1,],11,362,[,26,203,0,61,53,0,19,],55,67,37.267,127.483,90,2010,2020,KS,,ICHEON,,470970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470980-99999_fig2.png,470980,99999,4,GsAc,100325,19.4,55.8,19,[,3045,84,601,],4,11,19,27,37,[,13,0,],19,364,[,24,211,0,62,55,0,12,],44,63,37.9,127.067,112,2002,2020,KS,,DONGDUCHEON,,470980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/470990-99999_fig2.png,470990,99999,5,GsAc,101347,19.4,55.4,17,[,3210,84,790,],1,9,17,26,36,[,18,1,],17,363,[,36,204,0,51,55,0,17,],45,71,37.883,126.766,30,2004,2020,KS,,PAJU,,470990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/471000-99999_fig2.png,471000,99999,5,GsVt,92671,19.4,58.8,29,[,3558,2,86,],1,10,15,22,27,[,0,0,],33,309,[,56,206,0,28,19,0,0,],3,19,37.683,128.717,844,1993,2020,KS,,DAEGWALLYEONG,,471000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/471010-99999_fig2.png,471010,99999,5,GsAc,100748,19.4,55.6,34,[,3106,100,695,],3,10,19,27,38,[,17,1,],34,364,[,45,192,0,55,56,0,16,],49,69,37.9,127.733,78,1987,2020,KS,,CHUNCHEON,,471010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/471020-99999_fig2.png,471020,99999,3,GsVt,101120,19.4,55.5,19,[,1690,15,289,],1,6,9,12,18,[,2,0,],32,209,[,15,130,0,31,29,0,4,],12,32,37.966,124.63,146,2002,2020,KS,,BAENGNYEONGDO,,471020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/471025-99999_fig2.png,471025,99999,3,Gs__,87908,19.4,61,14,[,729,0,4,],2,2,3,4,5,[,0,0,],22,59,[,15,37,0,6,1,0,0,],0,1,38.2,127.55,1182,1996,1999,KS,,TAESONG-SAN,,471025-99999_fig2.png
