URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/405500-99999_fig2.png,405500,99999,2,HpAc,101023,19.4,55.5,12,[,342,1522,236,],9,18,27,34,42,[,90,35,],14,260,[,0,75,2,35,16,96,36,],148,41,30.067,47.683,25,2008,2020,KU,,ABDALY,,405500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405510-99999_fig2.png,405510,99999,2,HpAc,99898,19.4,55.9,11,[,356,1798,115,],13,21,32,39,47,[,101,36,],10,286,[,0,78,4,34,18,132,19,],170,21,29.817,47.35,120,2008,2020,KU,,MITRIBAH,,405510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405520-99999_fig2.png,405520,99999,2,HpAc,99886,19.4,55.9,9,[,358,1594,139,],12,19,28,34,42,[,68,18,],8,269,[,0,76,5,29,17,123,18,],159,20,29.617,47.583,120,2008,2017,KU,,JAL ALIYAH,,405520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405530-99999_fig2.png,405530,99999,2,HpAc,101265,19.4,55.4,7,[,254,1297,206,],9,14,21,27,35,[,72,23,],5,213,[,0,58,2,25,18,88,22,],129,24,29.75,47.85,5,2012,2020,KU,,SABRIYAH,,405530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405680-99999_fig2.png,405680,99999,3,HpAc,101254,19.4,55.4,12,[,98,361,341,],0,4,5,7,12,[,26,10,],28,77,[,0,22,0,12,6,17,20,],43,23,29.767,48.367,6,2008,2017,KU,,BUBYAN ISLAND,,405680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405700-99999_fig2.png,405700,99999,3,HpEv,97895,19.4,56.7,12,[,145,531,12,],7,6,11,13,15,[,19,2,],30,96,[,0,29,2,9,7,46,2,],55,2,29.1,46.683,290,2008,2020,KU,,SALMY,,405700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405730-99999_fig2.png,405730,99999,2,HpEv,98564,19.4,56.4,10,[,427,1626,51,],21,25,34,38,42,[,55,7,],9,288,[,0,89,5,28,21,136,8,],166,9,29.367,46.967,232,2008,2020,KU,,ABRAQUE MAZRAA,,405730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405736-99999_fig2.png,405736,99999,0,HpAc,99608,19.4,56,1,[,362,2222,300,],19,31,39,46,59,[,128,23,],1,364,[,0,91,0,52,36,158,27,],222,30,29.347,47.521,144,2020,2020,KU,,ALI AL SALEM AB,,405736-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405800-99999_fig2.png,405800,99999,3,HpAc,101069,19.4,55.5,12,[,88,599,139,],4,7,11,13,16,[,35,12,],29,99,[,0,24,0,16,6,31,21,],59,22,29.3,47.933,21,2008,2020,KU,,RABYAH,,405800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/405810-99999_fig2.png,405810,99999,3,HpAc,101235,19.4,55.4,12,[,115,1248,425,],8,15,20,24,31,[,66,20,],15,191,[,0,40,0,33,14,46,58,],118,60,29.383,48,8,2008,2020,KU,,KUWAIT CITY,,405810-99999_fig2.png
