URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/489210-99999_fig2.png,489210,99999,3,HpEv,86135,19.4,61.9,16,[,224,108,835,],0,11,19,26,41,[,2,0,],2,317,[,1,66,0,86,151,7,6,],64,142,21.633,101.883,923,2010,2016,LA,,BOUNNEUA,,489210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489240-99999_fig2.png,489240,99999,1,HpAc,94609,19.4,58,17,[,35,699,4056,],0,5,18,26,41,[,146,5,],11,349,[,0,17,0,74,104,1,153,],226,252,21.05,101.467,644,2010,2020,LA,,LUANG NAMTHA (M.SING),,489240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489250-99999_fig2.png,489250,99999,3,__Ac,93641,19.4,58.4,19,[,10,116,501,],0,2,5,6,9,[,14,0,],19,67,[,0,4,0,17,28,1,17,],41,42,20.683,102,550,2010,2019,LA,,OUDOMXAY,,489250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489260-99999_fig2.png,489260,99999,3,__Ac,96466,19.4,57.2,17,[,3,277,1052,],1,3,6,8,13,[,43,1,],24,93,[,0,2,0,14,26,1,50,],75,71,20.25,100.433,-1000,2011,2019,LA,,HOUEI-SAI *,,489260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489270-99999_fig2.png,489270,99999,3,HpAc,91231,19.4,59.5,19,[,101,113,655,],0,4,8,10,16,[,5,0,],24,122,[,0,26,0,24,59,1,13,],52,68,20.417,104.233,913,2010,2019,LA,,VIENGSAY,,489270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489280-99999_fig2.png,489280,99999,3,HpVt,90461,19.4,59.8,19,[,91,64,380,],0,4,7,9,13,[,1,0,],22,103,[,0,23,0,26,48,0,5,],38,51,20.417,104.067,1000,2008,2019,LA,,SAM-NEUA,,489280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489300-99999_fig2.png,489300,99999,3,__Ac,97595,19.4,56.8,22,[,13,591,2583,],0,6,12,18,26,[,121,20,],25,211,[,0,7,0,35,55,0,114,],157,164,19.897,102.161,291,2006,2020,LA,,LUANG PHABANG INTL,,489300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489350-99999_fig2.png,489350,99999,3,HpVt,89124,19.4,60.4,19,[,53,51,351,],1,5,8,11,15,[,0,0,],24,123,[,0,18,0,40,62,1,2,],41,58,19.467,103.133,1050,2010,2019,LA,,PLAINE DES JARRES (XIENGKHOUA,,489350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489380-99999_fig2.png,489380,99999,3,__Ac,97707,19.4,56.8,19,[,4,397,1839,],0,4,8,11,17,[,74,6,],25,131,[,0,2,0,15,35,0,79,],105,111,19.233,101.733,326,2009,2019,LA,,SAYABOURY,,489380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/489400-99999_fig2.png,489400,99999,0,__Ac,99155,19.4,56.2,34,[,4,1292,5230,],2,12,21,27,42,[,208,24,],34,362,[,0,2,0,40,74,1,245,],315,307,17.988,102.563,172,1987,2020,LA,,WATTAY INTL,,489400-99999_fig2.png
