URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/262290-99999_fig2.png,262290,99999,4,Gs__,101095,19.4,55.5,27,[,3000,1,5,],3,5,15,20,21,[,0,0,],25,256,[,104,133,0,17,2,0,0,],1,2,57.867,24.367,5,1994,2019,LG,,AINAZI,,262290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/262380-99999_fig2.png,262380,99999,4,Gs__,100355,19.4,55.7,25,[,2485,1,5,],3,4,11,16,17,[,0,0,],20,207,[,86,102,0,17,2,0,0,],1,2,57.9,25.383,12,1997,2019,LG,,RUJIENA,,262380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263130-99999_fig2.png,263130,99999,5,Gs__,101126,19.4,55.5,31,[,4039,0,8,],3,13,20,26,27,[,0,0,],30,362,[,141,199,0,20,2,0,0,],0,2,57.75,22.6,5,1987,2019,LG,,KOLKA,,263130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263140-99999_fig2.png,263140,99999,3,Gs__,101290,19.4,55.4,14,[,1886,0,2,],1,2,5,7,7,[,0,0,],13,169,[,64,97,0,8,0,0,0,],0,0,57.4,21.533,3,1994,2000,LG,,VENTSPILS,,263140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263180-99999_fig2.png,263180,99999,4,Gs__,100224,19.4,55.8,25,[,2368,1,4,],4,2,12,16,17,[,0,0,],20,208,[,83,107,0,16,2,0,0,],1,1,57.183,22.55,79,1999,2019,LG,,STENDE,,263180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263240-99999_fig2.png,263240,99999,4,Gs__,101115,19.4,55.5,26,[,2902,1,6,],3,6,13,18,20,[,0,0,],25,255,[,97,139,0,17,2,0,0,],1,2,57.35,23.117,6,1994,2019,LG,,MERSRAGS,,263240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263260-99999_fig2.png,263260,99999,4,Gs__,101118,19.4,55.5,25,[,2269,2,8,],4,5,12,16,17,[,0,0,],19,201,[,79,101,0,18,3,0,0,],2,2,57.317,24.417,10,1997,2019,LG,,SKULTE,,263260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263350-99999_fig2.png,263350,99999,3,Gs__,99747,19.4,56,24,[,1952,2,5,],4,1,10,12,13,[,0,0,],19,163,[,64,81,0,16,2,0,0,],2,2,57.317,25.333,122,1997,2019,LG,,PRIEKULI,,263350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263390-99999_fig2.png,263390,99999,4,Gs__,98936,19.4,56.3,18,[,2663,1,4,],3,0,10,14,15,[,0,0,],18,214,[,91,106,0,16,1,0,0,],1,1,57.133,25.917,180,2009,2019,LG,,ZOSENI,,263390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263460-99999_fig2.png,263460,99999,5,Gs__,98810,19.4,56.3,28,[,3802,1,4,],4,3,17,22,23,[,0,0,],18,302,[,130,148,0,23,2,0,0,],1,1,57.433,27.033,193,1997,2019,LG,,ALUKSNE,,263460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/263480-99999_fig2.png,263480,99999,5,Gs__,99510,19.4,56.1,30,[,3873,1,4,],4,6,19,26,27,[,0,0,],31,311,[,130,155,0,24,2,0,0,],1,2,57.133,26.717,143,1987,2019,LG,,GULBENE,,263480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264030-99999_fig2.png,264030,99999,3,Gs__,101105,19.4,55.5,18,[,1529,0,3,],2,2,5,7,8,[,0,0,],27,141,[,52,77,0,11,1,0,0,],0,1,56.883,21.183,10,1997,2019,LG,,PAVILOSTA,,264030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264050-99999_fig2.png,264050,99999,5,Gs__,101253,19.4,55.4,16,[,3801,1,7,],2,10,22,32,35,[,0,0,],16,363,[,127,208,0,25,3,0,0,],1,2,57.35,21.533,6,2005,2020,LG,,VENTSPILS,,264050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264060-99999_fig2.png,264060,99999,5,Gs__,101240,19.4,55.4,34,[,3847,1,7,],4,12,22,31,33,[,0,0,],34,364,[,131,204,0,26,3,0,0,],1,3,56.518,21.097,5,1987,2020,LG,,LIEPAJA INTL,,264060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264160-99999_fig2.png,264160,99999,4,Gs__,99877,19.4,55.9,25,[,2990,1,4,],4,1,14,20,21,[,0,0,],26,261,[,102,136,0,21,2,0,0,],1,1,56.683,22.5,112,1997,2019,LG,,SALDUS,,264160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264220-99999_fig2.png,264220,99999,5,Gs__,101140,19.4,55.5,19,[,3547,2,4,],5,6,18,25,26,[,0,0,],22,315,[,121,164,0,27,3,0,0,],2,1,56.917,23.967,26,1987,2008,LG,,RIGA,,264220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264225-99999_fig2.png,264225,99999,5,Gs__,101195,19.4,55.4,26,[,3995,4,13,],5,17,24,33,35,[,0,0,],26,362,[,137,184,0,36,5,0,0,],3,4,56.967,24.05,26,1995,2020,LG,,RIGA,,264225-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264240-99999_fig2.png,264240,99999,4,Gs__,100728,19.4,55.6,17,[,2484,1,6,],3,3,11,18,19,[,0,0,],19,223,[,86,114,0,21,2,0,0,],1,2,56.617,23.317,44,1999,2019,LG,,DOBELE,,264240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264250-99999_fig2.png,264250,99999,4,Gs__,101151,19.4,55.5,24,[,2415,1,8,],5,4,13,19,20,[,0,0,],20,214,[,80,112,0,19,3,0,0,],2,2,56.65,23.733,9,1997,2019,LG,,JELGAVA,,264250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264290-99999_fig2.png,264290,99999,3,Gs__,100881,19.4,55.6,18,[,1699,1,5,],3,3,9,13,14,[,0,0,],29,153,[,58,77,0,16,2,0,0,],1,2,56.4,24.217,33,1997,2019,LG,,BAUSKA,,264290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264350-99999_fig2.png,264350,99999,3,Gs__,100276,19.4,55.8,17,[,1776,1,6,],3,1,9,12,13,[,0,0,],28,155,[,57,80,0,15,2,0,0,],1,2,56.65,25.133,83,1997,2019,LG,,SKRIVERI,,264350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264360-99999_fig2.png,264360,99999,3,Gs__,99958,19.4,55.9,18,[,1678,1,5,],2,2,8,11,12,[,0,0,],27,142,[,58,68,0,14,2,0,0,],1,1,56.517,25.917,109,1997,2019,LG,,ZILANI,,264360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264460-99999_fig2.png,264460,99999,5,Gs__,99357,19.4,56.1,26,[,3112,1,4,],3,2,13,18,19,[,0,0,],23,253,[,101,129,0,21,2,0,0,],1,2,56.533,27.267,157,1994,2019,LG,,REZEKNE,,264460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/264470-99999_fig2.png,264470,99999,3,Gs__,99646,19.4,56,8,[,1351,0,2,],1,0,4,6,6,[,0,0,],27,109,[,31,68,0,8,2,0,0,],0,3,56.85,26.233,133,2009,2019,LG,,MADONA,,264470-99999_fig2.png
