URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/265020-99999_fig2.png,265020,99999,4,Gs__,101204,19.4,55.4,23,[,2442,3,14,],4,5,14,19,21,[,0,0,],33,242,[,81,134,0,23,4,0,0,],2,3,55.973,21.094,10,1999,2020,LH,,PALANGA INTL,,265020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265021-99999_fig2.png,265021,99999,5,Gs__,99678,19.4,56,16,[,4051,3,7,],6,9,24,34,36,[,0,0,],16,364,[,141,184,0,35,4,0,0,],3,2,55.883,23.383,138,2005,2020,LH,,SIAULIAI INTL,,265021-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265090-99999_fig2.png,265090,99999,5,Gs__,101341,19.4,55.4,34,[,3748,3,12,],6,13,23,31,33,[,0,0,],33,364,[,122,207,0,31,4,0,0,],2,3,55.733,21.083,7,1987,2020,LH,,KLAIPEDA,,265090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265180-99999_fig2.png,265180,99999,5,Gs__,99436,19.4,56.1,27,[,3276,1,5,],3,1,15,22,23,[,0,0,],33,283,[,113,148,0,20,2,0,0,],1,2,55.617,22.233,166,1994,2020,LH,,LAUKUVA,,265180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265240-99999_fig2.png,265240,99999,5,Gs__,100028,19.4,55.9,19,[,3643,1,4,],2,5,18,25,26,[,0,0,],22,315,[,126,163,0,24,2,0,0,],1,1,55.933,23.317,107,1987,2008,LH,,SIAULIAI,,265240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265290-99999_fig2.png,265290,99999,3,Gs__,100742,19.4,55.6,12,[,1115,1,2,],1,0,5,6,7,[,0,0,],31,102,[,37,54,0,10,1,0,0,],1,1,55.733,24.417,58,1994,2020,LH,,PANEVEZYS,,265290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265310-99999_fig2.png,265310,99999,5,Gs__,100675,19.4,55.6,26,[,3285,2,8,],6,5,19,25,26,[,0,0,],33,289,[,112,146,0,28,3,0,0,],2,3,56.2,24.767,52,1994,2020,LH,,BIRZAI,,265310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/265470-99999_fig2.png,265470,99999,3,Hp__,99526,19.4,56.1,3,[,218,0,0,],0,0,0,0,0,[,0,0,],17,22,[,8,12,0,2,0,0,0,],0,0,55.517,26.3,168,2020,2020,LH,,DUKSTAS,,265470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266000-99999_fig2.png,266000,99999,3,Gs__,101252,19.4,55.4,10,[,1169,0,4,],1,0,5,7,8,[,0,0,],23,108,[,39,59,0,9,1,0,0,],0,1,55.35,21.467,5,1995,2001,LH,,SILUTE,,266000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266210-99999_fig2.png,266210,99999,3,Gs__,99991,19.4,55.9,11,[,1030,0,1,],1,0,4,5,5,[,0,0,],31,90,[,35,47,0,7,1,0,0,],0,0,55.4,23.15,110,1994,2001,LH,,RASEINIAI,,266210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266290-99999_fig2.png,266290,99999,5,Gs__,100576,19.4,55.7,34,[,4022,3,9,],7,12,24,34,35,[,0,0,],34,364,[,138,186,0,36,4,0,0,],3,3,54.883,23.833,77,1987,2020,LH,,KAUNAS,,266290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266295-99999_fig2.png,266295,99999,5,Gs__,100391,19.4,55.7,22,[,3767,9,16,],7,13,25,33,36,[,0,0,],22,362,[,123,185,0,47,7,0,0,],6,5,54.964,24.085,78,1999,2020,LH,,KAUNAS INTL,,266295-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266330-99999_fig2.png,266330,99999,5,Gs__,100205,19.4,55.8,27,[,3242,2,6,],5,5,18,25,26,[,0,0,],33,285,[,106,149,0,27,3,0,0,],2,2,55.517,25.583,106,1994,2020,LH,,UTENA,,266330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/266360-99999_fig2.png,266360,99999,3,Gs__,98832,19.4,56.3,3,[,928,0,0,],0,0,0,0,0,[,0,0,],4,91,[,34,46,0,12,0,0,0,],0,0,55.15,26.167,222,2020,2020,LH,,SVENCIONYS,,266360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/267130-99999_fig2.png,267130,99999,3,Gs__,100787,19.4,55.6,12,[,1095,1,3,],1,0,6,8,8,[,0,0,],31,104,[,37,56,0,10,1,0,0,],1,1,54.65,22.8,59,1994,2020,LH,,KYBARTAI,,267130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/267300-99999_fig2.png,267300,99999,6,Gs__,99460,19.4,56.1,34,[,4198,3,6,],6,14,24,34,36,[,0,0,],34,364,[,144,182,0,35,4,0,0,],3,2,54.634,25.286,197,1987,2020,LH,,VILNIUS INTL,,267300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/267370-99999_fig2.png,267370,99999,3,Gs__,100237,19.4,55.8,10,[,1060,1,1,],1,1,4,5,5,[,0,0,],33,96,[,34,52,0,9,1,0,0,],1,1,54.25,24.55,111,1994,2020,LH,,VARENA,,267370-99999_fig2.png
