URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/118010-99999_fig2.png,118010,99999,3,GsVt,99339,19.4,56.1,10,[,1631,24,6,],7,3,18,22,24,[,0,0,],16,199,[,44,108,0,35,8,2,2,],11,4,48.4,17.15,207,2012,2020,LO,,MALACKY,,118010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118120-99999_fig2.png,118120,99999,5,GsVt,94900,19.4,57.9,6,[,3263,18,15,],6,11,25,32,36,[,0,0,],5,347,[,100,187,0,47,11,2,0,],10,4,48.25,17.15,368,2013,2020,LO,,MALY JAVORNIK,,118120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118130-99999_fig2.png,118130,99999,4,GsVt,98334,19.4,56.5,8,[,2871,50,23,],12,18,30,38,42,[,1,0,],8,362,[,82,189,0,65,20,3,3,],24,10,48.167,17.117,163,2013,2020,LO,,BRATISLAVA-LOLIBA,,118130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118160-99999_fig2.png,118160,99999,4,GsVt,99733,19.4,56,34,[,2967,29,19,],10,15,29,37,41,[,1,0,],34,364,[,84,191,0,70,16,1,2,],18,8,48.17,17.213,133,1987,2020,LO,,M R STEFANIK,,118160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118190-99999_fig2.png,118190,99999,3,GsVt,99662,19.4,56,11,[,1981,21,13,],6,2,19,25,28,[,0,0,],15,241,[,59,126,0,44,10,1,1,],11,6,48.483,17.667,178,2011,2020,LO,,JASLOVSKE BOHUNICE,,118190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118260-99999_fig2.png,118260,99999,5,GsVt,99818,19.4,55.9,34,[,3190,19,14,],9,20,28,37,40,[,1,0,],34,364,[,97,193,0,62,10,1,1,],11,6,48.617,17.833,164,1987,2020,LO,,PIESTANY,,118260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118410-99999_fig2.png,118410,99999,5,Gs__,98082,19.4,56.6,34,[,3642,3,4,],4,NaN,26,36,38,[,0,0,],34,364,[,118,196,0,46,4,0,0,],3,2,49.233,18.617,311,1987,2020,LO,,ZILINA/HRICOV,,118410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118550-99999_fig2.png,118550,99999,4,GsVt,100122,19.4,55.8,34,[,3042,27,20,],9,16,29,37,41,[,1,0,],32,364,[,92,186,0,68,15,1,2,],16,8,48.283,18.133,136,1989,2020,LO,,NITRA,,118550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118560-99999_fig2.png,118560,99999,4,GsVt,98631,19.4,56.4,9,[,2926,39,23,],10,13,28,37,41,[,0,0,],9,358,[,85,185,0,68,17,1,2,],20,10,48.283,18.45,262,2011,2020,LO,,MOCHOVCE,,118560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118580-99999_fig2.png,118580,99999,4,GsVt,100408,19.4,55.7,34,[,2947,37,30,],10,16,29,37,41,[,2,0,],34,364,[,88,184,0,70,18,1,3,],20,11,47.867,18.2,124,1987,2020,LO,,HURBANOVO,,118580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118670-99999_fig2.png,118670,99999,4,GsVt,98656,19.4,56.4,33,[,3050,24,12,],7,15,28,36,38,[,1,0,],33,349,[,86,189,0,61,11,1,1,],13,5,48.767,18.6,261,1989,2020,LO,,PRIEVIDZA,,118670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/118800-99999_fig2.png,118800,99999,4,GsVt,100101,19.4,55.8,33,[,2959,37,35,],4,14,27,36,40,[,3,0,],33,348,[,89,175,0,64,16,1,3,],18,11,48.167,18.867,140,1989,2020,LO,,DUDINCE,,118800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/119000-99999_fig2.png,119000,99999,4,GsVt,98510,19.4,56.4,8,[,2950,18,23,],5,11,24,35,39,[,1,0,],7,355,[,79,197,0,63,14,1,1,],12,8,48.586,18.852,275,2013,2020,LO,,ZIAR NAD HRONOM,,119000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/119030-99999_fig2.png,119030,99999,4,Gs__,98037,19.4,56.6,23,[,2393,2,1,],3,0,12,17,18,[,0,0,],33,242,[,72,131,0,36,3,0,0,],3,1,48.65,19.15,315,1987,2020,LO,,SLIAC,,119030-99999_fig2.png
