URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/620020-99999_fig2.png,620020,99999,2,HpAc,94537,19.4,58,34,[,796,587,193,],10,19,32,39,50,[,16,1,],19,341,[,0,143,2,68,45,56,26,],126,38,31.514,10.598,621,1987,2013,LY,,NALUT,,620020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620070-99999_fig2.png,620070,99999,2,HpAc,101293,19.4,55.4,34,[,465,380,1774,],1,13,20,26,46,[,53,7,],21,343,[,0,133,0,64,79,2,65,],123,139,32.555,12.056,4,1987,2010,LY,,ZUARA,,620070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620080-99999_fig2.png,620080,99999,3,HpAc,93666,19.4,58.4,34,[,869,459,115,],13,24,32,39,48,[,8,1,],12,338,[,1,146,3,73,51,49,16,],116,23,32.04,12.313,691,1991,2013,LY,,YEFREN,,620080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620100-99999_fig2.png,620100,99999,2,HpAc,100570,19.4,55.7,28,[,673,593,702,],5,17,29,38,52,[,64,12,],26,361,[,0,146,0,70,62,21,63,],141,102,32.664,13.159,80,1987,2013,LY,,TRIPOLI INTL,,620100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620120-99999_fig2.png,620120,99999,2,HpAc,101287,19.4,55.4,30,[,452,362,1368,],1,13,22,29,48,[,45,7,],16,335,[,0,128,0,69,82,3,53,],120,126,32.401,14.143,25,1991,2013,LY,,EL KHOMS,,620120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620140-99999_fig2.png,620140,99999,3,HpAc,98410,19.4,56.5,13,[,199,330,239,],4,11,17,21,27,[,31,3,],4,178,[,0,55,1,47,27,11,38,],75,47,31.741,13.957,271,2009,2010,LY,,BENWLID,,620140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620160-99999_fig2.png,620160,99999,2,HpAc,100940,19.4,55.5,34,[,444,350,1276,],3,14,22,29,48,[,41,5,],22,348,[,0,134,0,75,84,5,51,],123,124,32.243,15.021,33,1987,2013,LY,,MISURATA,,620160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620180-99999_fig2.png,620180,99999,3,HpAc,100549,19.4,55.7,14,[,206,380,718,],0,8,14,19,25,[,52,19,],2,161,[,0,60,0,27,22,2,50,],73,63,30.355,15.254,90,2009,2009,LY,,ABU NJAYM,,620180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620190-99999_fig2.png,620190,99999,2,HpAc,101160,19.4,55.5,32,[,350,348,1395,],0,12,19,25,44,[,41,4,],24,320,[,0,115,0,67,82,6,50,],119,123,31.2,16.583,14,1987,2013,LY,,SIRTE,,620190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620525-99999_fig2.png,620525,99999,3,HpAc,101193,19.4,55.4,11,[,256,293,600,],6,12,16,19,33,[,12,0,],8,217,[,0,75,0,56,40,6,40,],84,68,32.894,13.276,11,2012,2017,LY,,MITIGA,,620525-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620530-99999_fig2.png,620530,99999,3,HpAc,99750,19.4,56,32,[,562,347,544,],5,15,24,31,44,[,17,1,],28,331,[,0,135,0,73,77,16,30,],118,82,32.097,20.269,132,1987,2013,LY,,BENINA AIRPORT,,620530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/620550-99999_fig2.png,620550,99999,2,HpAc,101407,19.4,55.4,25,[,467,488,606,],5,17,27,36,49,[,38,3,],19,343,[,0,123,0,76,72,22,50,],141,91,30.717,20.167,7,1987,2010,LY,,AGEDABIA,,620550-99999_fig2.png
