URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/670090-99999_fig2.png,670090,99999,1,__Ac,100068,19.4,55.9,34,[,0,903,3407,],1,11,21,29,39,[,128,0,],28,349,[,0,0,0,11,177,1,160,],332,300,-12.349,49.292,114,1987,2020,MA,,ARRACHART,,670090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670120-99999_fig2.png,670120,99999,0,__Ac,101168,19.4,55.4,32,[,0,1197,4933,],1,10,20,28,40,[,208,6,],18,347,[,0,0,0,2,107,4,233,],343,332,-13.312,48.315,11,1996,2020,MA,,FASCENE,,670120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670230-99999_fig2.png,670230,99999,1,__Ac,101290,19.4,55.4,34,[,0,611,4072,],0,8,18,25,34,[,132,2,],18,332,[,0,0,0,15,189,0,128,],244,317,-14.279,50.175,6,1989,2020,MA,,SAMBAVA,,670230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670250-99999_fig2.png,670250,99999,3,__Ac,100201,19.4,55.8,31,[,0,231,1602,],1,6,11,16,21,[,46,0,],5,185,[,0,0,0,32,113,0,40,],108,152,-14.999,50.32,6,1988,1994,MA,,ANTSIRABATO,,670250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670270-99999_fig2.png,670270,99999,0,__Ac,101078,19.4,55.5,34,[,0,1113,4423,],1,11,20,29,42,[,212,5,],31,358,[,0,0,0,9,130,3,216,],347,306,-15.667,46.352,26,1987,2020,MA,,PHILIBERT TSIRANANA,,670270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670670-99999_fig2.png,670670,99999,3,____,92789,19.4,58.8,18,[,3,6,35,],0,1,2,2,3,[,0,0,],14,23,[,0,3,0,11,9,0,0,],5,8,-17.633,48.5,780,2014,2014,MA,,AMBOHITSILAOZANA,,670670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670720-99999_fig2.png,670720,99999,3,__Ac,101509,19.4,55.3,26,[,0,375,1871,],2,6,8,10,15,[,37,0,],9,178,[,0,0,0,6,104,0,68,],144,172,-17.094,49.816,2,2011,2020,MA,,SAINTE MARIE,,670720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670730-99999_fig2.png,670730,99999,3,__Ac,101108,19.4,55.5,24,[,0,472,2493,],0,6,11,15,21,[,85,2,],14,183,[,0,0,0,9,84,0,90,],162,170,-18.05,44.033,23,1987,2014,MA,,MAINTIRANO,,670730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670830-99999_fig2.png,670830,99999,3,HpVt,86959,19.4,61.5,34,[,361,1,90,],4,10,20,31,35,[,0,0,],31,359,[,0,140,0,182,37,0,0,],2,36,-18.797,47.479,1280,1987,2020,MA,,IVATO,,670830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/670950-99999_fig2.png,670950,99999,2,__Ac,101535,19.4,55.3,33,[,0,417,3619,],0,8,16,24,32,[,104,1,],31,346,[,0,1,0,46,199,0,100,],192,299,-18.11,49.393,7,1987,2020,MA,,TOAMASINA,,670950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/671130-99999_fig2.png,671130,99999,2,__Ac,101621,19.4,55.3,30,[,1,267,2078,],1,7,14,19,26,[,46,0,],12,252,[,0,1,0,61,144,0,46,],133,189,-19.833,48.8,5,1987,2006,MA,,MAHANORO,,671130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/671170-99999_fig2.png,671170,99999,2,__Ac,101263,19.4,55.4,23,[,0,746,3133,],0,8,17,23,33,[,130,4,],12,292,[,0,0,0,44,102,0,145,],227,241,-20.285,44.318,9,1987,2019,MA,,MORONDAVA,,671170-99999_fig2.png
