URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/336640-99999_fig2.png,336640,99999,3,Gs__,98791,19.4,56.3,13,[,567,2,2,],1,0,4,5,5,[,0,0,],23,63,[,18,29,0,14,2,0,0,],1,1,48.35,27.083,261,2017,2020,MD,,BRICENI,,336640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/336780-99999_fig2.png,336780,99999,3,Gs__,99807,19.4,55.9,13,[,549,3,2,],1,1,3,5,6,[,0,0,],23,63,[,17,28,0,14,3,0,0,],3,1,48.2,28.3,173,2017,2020,MD,,SOROCA,,336780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/336790-99999_fig2.png,336790,99999,3,Gs__,99902,19.4,55.9,12,[,529,6,10,],1,2,4,6,7,[,0,0,],23,63,[,17,28,0,13,5,0,0,],4,3,48.033,28.7,154,2017,2020,MD,,CAMENCA,,336790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/337440-99999_fig2.png,337440,99999,3,GsVt,99762,19.4,56,5,[,961,20,20,],2,4,9,12,14,[,1,0,],12,121,[,29,54,0,24,12,1,1,],13,6,47.583,27.7,162,2017,2020,MD,,FALESTI,,337440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/337450-99999_fig2.png,337450,99999,3,Gs__,99956,19.4,55.9,14,[,1242,7,9,],3,2,10,13,14,[,0,0,],31,135,[,41,64,0,24,6,0,0,],6,3,47.783,27.95,102,1987,2020,MD,,BALTI,,337450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/337480-99999_fig2.png,337480,99999,3,Gs__,98893,19.4,56.3,13,[,502,9,14,],0,1,4,6,7,[,0,0,],23,63,[,16,28,0,12,7,0,0,],6,4,47.333,28.083,232,2017,2020,MD,,CORNESTI,,337480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/337490-99999_fig2.png,337490,99999,3,Gs__,100746,19.4,55.6,5,[,975,8,8,],2,3,8,12,13,[,0,0,],12,121,[,28,57,0,28,8,0,0,],7,3,47.367,28.433,78,2017,2020,MD,,BRAVICEA,,337490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/337540-99999_fig2.png,337540,99999,3,Gs__,100278,19.4,55.8,13,[,524,6,6,],2,1,5,6,7,[,0,0,],23,63,[,17,27,0,14,5,0,0,],5,2,47.767,29.017,119,2017,2020,MD,,RIBNITA,,337540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/338150-99999_fig2.png,338150,99999,5,GsVt,99828,19.4,55.9,34,[,3160,54,21,],15,19,29,37,40,[,1,0,],34,362,[,93,168,0,72,23,4,2,],28,7,47.017,28.983,173,1987,2020,MD,,CHISINAU,,338150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/338210-99999_fig2.png,338210,99999,3,GsVt,101222,19.4,55.4,5,[,934,24,24,],3,4,9,12,14,[,1,0,],12,121,[,29,52,0,24,14,1,1,],15,7,47.283,29.133,40,2017,2020,MD,,DUBASARI,,338210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/338290-99999_fig2.png,338290,99999,3,GsVt,101269,19.4,55.4,5,[,951,24,18,],3,3,9,12,14,[,1,0,],12,121,[,31,51,0,23,14,1,1,],15,6,46.9,29.6,40,2017,2020,MD,,TIRASPOL,,338290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/338387-99999_fig2.png,338387,99999,5,GsVt,99870,19.4,55.9,21,[,3079,55,32,],11,13,28,37,42,[,1,0,],21,364,[,91,167,0,75,25,4,2,],30,11,46.928,28.931,122,2000,2020,MD,,CHISINAU INTL,,338387-99999_fig2.png
