URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/442030-99999_fig2.png,442030,99999,8,Gs__,84074,19.4,63,20,[,8868,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],20,358,[,151,202,0,5,0,0,0,],0,0,51.117,99.667,1583,1987,2020,MG,,RINCHINLHUMBE,,442030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442070-99999_fig2.png,442070,99999,8,Gs__,83070,19.4,63.5,20,[,7951,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],20,362,[,97,264,0,1,0,0,0,],0,0,50.433,100.15,1668,1987,2020,MG,,HATGAL,,442070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442100-99999_fig2.png,442100,99999,7,Gs__,85154,19.4,62.4,13,[,6374,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],13,360,[,50,269,5,35,1,0,0,],2,0,49.6,90.35,1480,2008,2020,MG,,NOGOONNUUR,,442100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442120-99999_fig2.png,442120,99999,8,Gs__,91230,19.4,59.5,33,[,7499,9,0,],0,NaN,NaN,NaN,NaN,[,0,0,],33,362,[,157,151,1,48,5,1,0,],6,0,49.8,92.083,939,1987,2020,MG,,ULAANGOM,,442120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442130-99999_fig2.png,442130,99999,8,Gs__,87879,19.4,61,34,[,7692,9,1,],2,32,35,42,44,[,0,0,],33,360,[,160,156,2,37,4,1,0,],5,0,49.65,94.4,1232,1987,2020,MG,,BARUUNTURUUN,,442130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442140-99999_fig2.png,442140,99999,7,Gs__,82732,19.4,63.7,22,[,6142,1,0,],0,NaN,NaN,NaN,NaN,[,0,0,],22,359,[,28,302,5,23,1,0,0,],1,0,48.933,89.933,1715,1987,2020,MG,,ULGI,,442140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442150-99999_fig2.png,442150,99999,7,Gs__,84021,19.4,63,33,[,6762,1,0,],0,NaN,NaN,NaN,NaN,[,0,0,],32,360,[,89,242,1,26,1,0,0,],1,0,49.017,91.717,1590,1987,2020,MG,,OMNO-GOBI,,442150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442160-99999_fig2.png,442160,99999,4,Gs__,89848,19.4,60.1,19,[,2992,16,0,],0,0,0,0,0,[,0,0,],28,166,[,44,84,2,27,8,1,0,],9,0,48.817,93.1,1051,2008,2020,MG,,HUNHATAOORTOO,,442160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442170-99999_fig2.png,442170,99999,5,Gs__,78607,19.4,66.1,17,[,3972,0,0,],0,0,0,0,0,[,0,0,],30,192,[,38,153,0,1,0,0,0,],0,0,48.417,90.3,2101,2005,2020,MG,,TOLBO,,442170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/442180-99999_fig2.png,442180,99999,7,Gs__,85995,19.4,62,27,[,6249,8,0,],0,NaN,NaN,NaN,NaN,[,0,0,],27,362,[,90,211,5,50,5,1,0,],6,0,48.017,91.567,1405,1987,2020,MG,,HOVD,,442180-99999_fig2.png
