URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/133610-99999_fig2.png,133610,99999,4,Gs__,85580,19.4,62.2,18,[,2506,1,0,],0,0,0,0,0,[,0,0,],11,211,[,73,121,0,16,1,0,0,],1,0,43.15,19.133,1450,2002,2008,MJ,,ZABLJAK,,133610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/133630-99999_fig2.png,133630,99999,5,Gs__,92769,19.4,58.8,34,[,3312,6,0,],1,NaN,29,40,40,[,0,0,],21,347,[,102,189,0,51,5,0,0,],5,0,43.35,19.35,788,1988,2015,MJ,,PLEVLJA,,133630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134550-99999_fig2.png,134550,99999,3,HpAc,101188,19.4,55.4,17,[,830,127,388,],4,10,17,22,29,[,8,0,],11,235,[,1,134,0,41,39,1,19,],47,53,42.45,18.55,10,1994,2008,MJ,,HERCEG NOVI-IGALO,,134550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134570-99999_fig2.png,134570,99999,3,GsEv,101260,19.4,55.4,34,[,1653,108,187,],1,12,26,35,42,[,8,0,],34,362,[,11,216,0,73,50,3,9,],53,44,42.405,18.723,6,1987,2020,MJ,,TIVAT,,134570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134590-99999_fig2.png,134590,99999,4,GsVt,94246,19.4,58.2,33,[,2536,42,17,],2,14,29,37,41,[,0,0,],26,346,[,34,224,0,64,19,3,2,],23,6,42.767,18.95,647,1989,2020,MJ,,NIKSIC,,134590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134610-99999_fig2.png,134610,99999,3,HpAc,101589,19.4,55.3,29,[,845,169,436,],4,11,20,25,33,[,8,0,],20,282,[,0,148,0,59,52,1,22,],69,62,42.1,19.1,6,2004,2020,MJ,,BAR,,134610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134620-99999_fig2.png,134620,99999,3,GsAc,101263,19.4,55.4,34,[,1782,251,131,],10,21,33,40,46,[,10,0,],33,361,[,14,204,0,66,38,14,25,],76,37,42.367,19.25,33,1987,2020,MJ,,PODGORICA / GOLUBOVCI,,134620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134624-99999_fig2.png,134624,99999,3,GsAc,100690,19.4,55.6,27,[,1759,265,131,],12,22,32,39,46,[,9,0,],26,364,[,13,206,0,64,41,15,25,],79,38,42.433,19.283,53,1994,2020,MJ,,PODGORICA TITOGRAD,,134624-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134630-99999_fig2.png,134630,99999,3,HpAc,101142,19.4,55.5,19,[,1494,397,179,],12,25,35,41,48,[,18,0,],17,353,[,7,189,0,62,36,22,37,],94,45,42.433,19.283,50,2003,2020,MJ,,PODGORICA-GRAD,,134630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134640-99999_fig2.png,134640,99999,3,HpAc,101589,19.4,55.3,11,[,1396,156,462,],3,14,24,31,42,[,12,0,],8,346,[,4,195,0,68,57,1,21,],62,70,41.917,19.217,29,2001,2008,MJ,,ULCINJ,,134640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134650-99999_fig2.png,134650,99999,5,Gs__,91004,19.4,59.6,22,[,3271,1,0,],0,NaN,NaN,NaN,NaN,[,0,0,],6,334,[,94,195,0,44,1,0,0,],1,0,42.833,19.533,945,2003,2008,MJ,,KOLASIN,,134650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135620-99999_fig2.png,135620,99999,3,HpAc,101197,19.4,55.4,9,[,1440,119,291,],8,16,23,30,42,[,2,0,],7,350,[,3,202,0,76,54,3,13,],55,53,41.917,19.217,29,1987,1994,MJ,,ULCINJ,,135620-99999_fig2.png
