URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/134615-99999_fig2.png,134615,99999,4,Gs__,93465,19.4,58.5,14,[,2440,4,3,],1,0,16,23,26,[,0,0,],7,307,[,62,179,0,60,6,0,0,],5,2,41.1,20.817,700,2006,2012,MK,,OHRID-AERODROME,,134615-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/134930-99999_fig2.png,134930,99999,4,GsVt,93785,19.4,58.3,34,[,2806,20,1,],5,NaN,31,40,42,[,0,0,],28,352,[,62,207,0,70,12,1,0,],14,1,42.2,22.333,696,1988,2020,MK,,KRIVA PALANKA,,134930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135710-99999_fig2.png,135710,99999,4,GsVt,96430,19.4,57.3,6,[,2125,36,52,],6,6,23,32,35,[,4,0,],6,299,[,56,151,0,63,24,1,4,],24,15,42,20.967,462,2016,2020,MK,,TETOVO,,135710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135750-99999_fig2.png,135750,99999,3,Gs__,91241,19.4,59.5,7,[,796,5,0,],3,0,6,7,8,[,0,0,],17,98,[,18,58,0,19,3,0,0,],3,0,41.85,20.867,885,2016,2020,MK,,POZARANE-PGC,,135750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135760-99999_fig2.png,135760,99999,4,GsVt,87319,19.4,61.3,6,[,2285,20,0,],0,0,0,0,0,[,0,0,],4,257,[,41,161,1,42,10,2,0,],12,0,41.7,20.75,1240,2016,2019,MK,,MAVROVO,,135760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135770-99999_fig2.png,135770,99999,4,Gs__,86656,19.4,61.6,34,[,2878,10,0,],0,NaN,NaN,NaN,NaN,[,0,0,],11,324,[,58,206,1,51,7,1,0,],8,0,41.533,20.7,1321,2008,2019,MK,,LAZAROPOLE,,135770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135780-99999_fig2.png,135780,99999,4,Gs__,92722,19.4,58.8,34,[,2692,11,2,],5,NaN,29,38,39,[,0,0,],28,359,[,58,213,0,79,8,1,0,],9,1,41.18,20.742,705,1991,2020,MK,,OHRID,,135780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135790-99999_fig2.png,135790,99999,3,Gs__,93553,19.4,58.4,14,[,2003,6,2,],3,0,16,22,23,[,0,0,],11,259,[,50,149,0,54,5,1,0,],5,1,41.1,20.817,700,1994,2008,MK,,OHRID-AERODROME,,135790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135800-99999_fig2.png,135800,99999,3,Gs__,90860,19.4,59.6,8,[,803,9,0,],2,0,0,4,4,[,0,0,],15,119,[,11,75,0,27,6,0,0,],6,0,40.983,21.067,910,2016,2020,MK,,PRETOR-PGC,,135800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/135810-99999_fig2.png,135810,99999,3,Gs__,92051,19.4,59.1,6,[,730,14,6,],2,1,8,11,12,[,0,0,],17,104,[,16,57,0,23,6,1,1,],7,2,41.217,21.467,-1000,2016,2020,MK,,TOPOLCANI-PGC,,135810-99999_fig2.png
