URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/612020-99999_fig2.png,612020,99999,3,HuAc,95647,19.4,57.6,26,[,8,1156,129,],10,14,20,23,28,[,33,1,],4,158,[,0,4,12,11,20,83,28,],132,28,20.243,0.977,494,2003,2004,ML,,TESSALIT,,612020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612140-99999_fig2.png,612140,99999,3,__Ev,95931,19.4,57.5,12,[,4,183,42,],0,3,3,4,5,[,9,0,],12,29,[,0,2,1,3,2,13,8,],23,8,18.433,1.35,459,1993,1993,ML,,KIDAL,,612140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612230-99999_fig2.png,612230,99999,0,HuAc,98085,19.4,56.6,26,[,7,2158,1552,],7,25,34,41,55,[,148,39,],14,337,[,0,5,12,38,38,114,130,],283,132,16.73,-3.008,263,1987,2011,ML,,TOMBOUCTOU,,612230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612260-99999_fig2.png,612260,99999,0,__Ac,98055,19.4,56.6,27,[,1,2212,1418,],9,26,34,39,52,[,140,33,],19,310,[,0,1,6,23,37,114,129,],280,130,16.248,-0.005,265,1987,2011,ML,,GAO,,612260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612300-99999_fig2.png,612300,99999,0,__Ac,98417,19.4,56.5,33,[,1,2026,2417,],2,18,27,35,54,[,168,42,],20,341,[,0,1,5,32,47,100,156,],303,165,15.233,-9.35,237,1987,2020,ML,,NIORO DU SAHEL,,612300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612330-99999_fig2.png,612330,99999,1,__Ac,98135,19.4,56.6,32,[,1,1705,1837,],4,15,23,30,45,[,142,40,],12,284,[,0,1,4,26,40,92,122,],254,131,15.167,-7.283,265,1990,2020,ML,,NARA/KEIBANE,,612330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612350-99999_fig2.png,612350,99999,1,__Ac,99941,19.4,55.9,23,[,0,1846,2211,],2,12,19,24,41,[,137,52,],15,253,[,0,0,1,5,21,100,126,],248,128,15.117,-10.567,100,2003,2020,ML,,YELIMANE,,612350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612400-99999_fig2.png,612400,99999,0,__Ac,97696,19.4,56.8,25,[,0,2499,2640,],4,23,32,38,54,[,190,71,],9,335,[,0,0,1,16,35,106,177,],319,181,15.333,-1.683,288,2002,2011,ML,,HOMBORI,,612400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612500-99999_fig2.png,612500,99999,3,__Ac,98030,19.4,56.6,19,[,0,1151,1202,],3,11,14,17,23,[,93,52,],7,149,[,0,0,0,9,16,41,83,],140,83,15.867,2.217,278,2009,2011,ML,,MENAKA,,612500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612570-99999_fig2.png,612570,99999,0,__Ac,100467,19.4,55.7,33,[,0,2164,3356,],1,16,25,33,54,[,214,82,],17,344,[,0,0,0,14,44,97,189,],330,192,14.482,-11.44,52,1987,2020,ML,,KAYES/DAG-DAG,,612570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612650-99999_fig2.png,612650,99999,0,__Ac,97952,19.4,56.7,34,[,1,1934,2470,],3,19,28,35,53,[,169,33,],28,343,[,0,1,2,28,53,97,162,],313,173,14.513,-4.08,276,1987,2020,ML,,AMBODEDJO,,612650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612700-99999_fig2.png,612700,99999,1,__Ac,97392,19.4,56.9,31,[,0,1593,2811,],2,13,22,30,48,[,166,34,],12,311,[,0,0,0,7,75,77,152,],302,190,13.067,-9.467,334,1987,2020,ML,,KITA,,612700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612720-99999_fig2.png,612720,99999,0,__Ac,97901,19.4,56.7,34,[,0,1646,2963,],1,16,25,34,52,[,191,56,],16,330,[,0,0,0,26,64,71,169,],303,188,13.4,-6.15,289,1987,2020,ML,,SEGOU,,612720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612770-99999_fig2.png,612770,99999,0,__Ac,97875,19.4,56.7,34,[,0,1962,3460,],2,16,25,33,53,[,200,69,],12,343,[,0,0,0,16,54,84,189,],327,202,13.333,-4.833,284,1990,2020,ML,,SAN,,612770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612850-99999_fig2.png,612850,99999,1,__Ac,99498,19.4,56.1,32,[,0,1622,3158,],3,12,20,27,45,[,193,45,],14,293,[,0,0,0,3,47,70,173,],289,192,12.85,-11.233,132,2004,2020,ML,,KENIEBA,,612850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612910-99999_fig2.png,612910,99999,0,__Ac,96831,19.4,57.1,34,[,0,1411,2702,],1,13,23,32,51,[,160,11,],34,362,[,0,0,2,22,131,77,130,],331,205,12.534,-7.95,380,1987,2020,ML,,SENOU,,612910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612930-99999_fig2.png,612930,99999,0,__Ac,96946,19.4,57.1,34,[,0,1510,2887,],3,16,25,32,51,[,152,18,],25,336,[,0,0,0,18,96,69,152,],314,204,12.383,-5.467,367,1988,2020,ML,,KOUTIALA,,612930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612960-99999_fig2.png,612960,99999,1,__Ac,97161,19.4,57,34,[,0,1318,3479,],1,13,22,31,49,[,181,32,],19,333,[,0,0,0,13,107,51,162,],315,225,11.417,-7.5,351,1988,2020,ML,,BOUGOUNI,,612960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/612970-99999_fig2.png,612970,99999,1,__Ac,96430,19.4,57.3,33,[,0,1239,2618,],2,15,23,30,47,[,127,7,],21,320,[,0,0,0,11,126,58,125,],299,210,11.35,-5.683,375,1990,2020,ML,,SIKASSO,,612970-99999_fig2.png
